,gid,TL_cnt
354,다사574446,7
355,다사574450,1
356,다사574463,4
357,다사574470,6
358,다사574471,2
359,다사575401,4
360,다사575402,13
361,다사575403,1
362,다사575435,4
363,다사575442,2
364,다사575446,1
365,다사575449,3
366,다사575458,4
367,다사575460,1
368,다사575461,10
369,다사575463,2
370,다사575464,16
371,다사575471,7
372,다사575474,1
373,다사576400,2
374,다사576401,1
375,다사576402,3
376,다사576431,4
377,다사576435,4
378,다사576441,4
379,다사576442,3
380,다사576443,2
381,다사576449,4
382,다사576450,13
383,다사576458,8
384,다사576460,10
385,다사576461,6
386,다사576472,2
387,다사577405,4
388,다사577408,6
389,다사577409,2
390,다사577427,5
391,다사577428,3
392,다사577429,2
393,다사577436,4
394,다사577447,6
395,다사577448,8
396,다사577456,4
397,다사577458,8
398,다사577472,4
399,다사577473,3
400,다사578400,1
401,다사578401,6
402,다사578404,8
403,다사578405,4
404,다사578408,1
405,다사578427,3
406,다사578431,1
407,다사578432,2
408,다사578444,16
409,다사578445,4
410,다사578446,4
411,다사578453,12
412,다사578454,12
413,다사578456,2
414,다사578459,4
415,다사578465,4
416,다사578466,1
417,다사578472,2
418,다사578473,7
419,다사579407,2
420,다사579408,3
421,다사579414,6
422,다사579415,2
423,다사579426,1
424,다사579427,3
425,다사579431,1
426,다사579436,3
427,다사579442,7
428,다사579443,9
429,다사579448,2
430,다사579451,24
431,다사579453,4
432,다사579473,3
433,다사579474,7
434,다사579480,4
435,다사579481,1
436,다사580407,16
437,다사580413,16
438,다사580414,2
439,다사580436,1
440,다사580438,2
441,다사580439,4
442,다사580440,1
443,다사580441,7
444,다사580445,4
445,다사580447,2
446,다사580448,10
447,다사580451,4
448,다사580459,2
449,다사580460,2
450,다사580480,2
451,다사580481,2
452,다사581408,4
453,다사581414,5
454,다사581432,2
455,다사581433,2
456,다사581437,12
457,다사581438,3
458,다사581441,2
459,다사581442,1
460,다사581444,1
461,다사581445,2
462,다사581447,12
463,다사581448,2
464,다사581456,2
465,다사581460,3
466,다사581467,4
467,다사581475,4
468,다사582409,2
469,다사582410,5
470,다사582414,1
471,다사582415,4
472,다사582427,3
473,다사582428,2
474,다사582433,10
475,다사582434,4
476,다사582437,1
477,다사582438,2
478,다사582443,2
479,다사582444,4
480,다사582452,4
481,다사582460,1
482,다사582467,3
483,다사582468,4
484,다사582470,2
485,다사582477,1
486,다사582479,3
487,다사582480,1
488,다사582482,3
489,다사583410,1
490,다사583411,6
491,다사583416,3
492,다사583420,1
493,다사583428,1
494,다사583430,4
495,다사583431,7
496,다사583432,4
497,다사583433,4
498,다사583437,1
499,다사583440,6
500,다사583441,22
501,다사583460,1
502,다사583461,3
503,다사583466,4
504,다사583468,6
505,다사583470,2
506,다사583472,4
507,다사583475,4
508,다사583476,19
