newsname
13일부터 전동킥보드 헬멧 의무화... 다른 나라는?
시각·지체 중복 장애인은 전동휠체어 탈 수 없나요?
이브이샵, '원스텝 14T 전동 스쿠터' 출시
중국 헬멧 시장동향
오랜 염원이든 장애인 파크골프장 개설
여기저기 씽씽 ‘전동킥보드’ 이제 면허 있어야 탈 수 있다
[차이나 모빌리티] 중국 출퇴근길 점령한 40만원짜리 전동스쿠터
[MT시평]헬멧에 갇힌 전동킥보드 안전
전동킥보드 교통법규 알고 탑시다
보행 장애 60대 음주상태서 이동 보조장치 몰다 벌금형 집행유예
안소미, 전동 스쿠터 타고 귀여운 비주얼.."무야호~"
자전거의 역주행, 모빌리티의 변화 주목하라
‘전동킥보드, 이제 안전모 착용하세요’…5월13일부터 운행기준 강화
[간추린 단신] 4년간 전동기구 화재 20건…“품질표시 등 주의” 외
[광명소식] 노인·장애인 전동보조기기 보험 가입 지원
제주도내 전동기구 화재 늘어, 배터리 관리 주의
전동킥보드·스쿠터 규제 풀린다…자전거 업계 기대감 ‘쑥’
전동스쿠터 타고 지하철 승강기로 '쾅'…추락한 80대 참변
AU테크 연구 개발팀 자전거 변환키트 특허 등록 완료…전동스쿠터를 전기자전...
완주경찰서 운주파출소 "전동스쿠터 교통사고" 예방 활동 펼쳐
안동지역 9개 로타리클럽, 전동스쿠터·버섯재배키트 전달
대구 청라언덕역 80대 추락사…"전동휠체어 조작 미숙 추정"
정읍시, `장애인 전동보조기기 보험' 운영
‘좌충우돌’ 전동스쿠터… 美도 사고 방지대책 골머리
진해구, 장애인 전동보장구 이용자 안전용품 지원
"전동 스쿠터 충전 중 화재"…아파트 주민 105명 긴급 대피
영주시·SK머티리얼즈, 장애인 전동보장구 급속충전기 10대 설치
중랑구, 장애인 휠체어·스쿠터 수리센터 운영 개시
100년 전 처음 출시됐다가 너무 위험해 단종됐는데 다시 등장한 '전동킥보드'
김영희, 결혼 선물로 전동스쿠터 받았다.."♥윤승열, 사이좋게 번갈아 타자"
만원짜리 장난감을 990원에…가정의 달 ‘최저가 전쟁’ 확전
퍼스널모빌리티 전문 AU테크, 혼다S05 외 다양한 전동스쿠터 선보여
PC방서 여성 손님 커피에 오줌 탄 남성…전동 스쿠터 훔쳐 달아나
‘뜨는’ 스쿠터·자전거에 ‘달리는’ 자전거주
전동 퀵보드 안전수칙 준수로 안전하고 편리하게
'AU테크' 연구개발 팀 발 받침·계기판 특허 출원 완료…전동킥보드 편의성 및...
전동 퀵보드 안전수칙 준수해야
(주)퍼스널팩토리, 광주 지역 전동킥보드스마트모빌리티 시장 확대 이끈다
퍼스널모빌리티 시장 급상승…광주 퍼스널팩토리 전동킥보드 매장 확대 나서
'노인을 위한 일자리'는 있을까?
"전동보조기기 야광표지판 신청하세요"
연제구, 장애인 전동보장구 무료 급속충전기 보급 확대
라임, 킥보드 이어 이번엔 '공유 전기스쿠터'
개인 모빌리티 '전동 스쿠터'로 출퇴근 쉽게 해보자
"전동 이동보조기기 우의, 46명에게 지원합니다"
11번가도 '최저가' 경쟁 합류 … 최대 61%, 65만원 할인
(주)퍼스널팩토리, 광주 전동킥보드 판매 매장 통합…스마트모빌리티 기업 발...
인도 전기 차량 파이낸싱 시장 현황
인천시보조기기센터, 전동스쿠터 차광막 설치 지원사업 실시
[이슈+] '오락가락' 전동킥보드 규제...업체들 안전교육 실효성 의문
한국아트라스BX, 전동 이동보조기기 배터리 나눔
노원구, 장애인 휠체어 등 이동기기 수리비 지원…연간 최대 15만원
이동수단 진화에 급성장하는 소형배터리 시장
부산 장애인 ‘전동 이동보조기기 우의’ 지원해요
인천광역시보조기기센터, 전동스쿠터 차광막 설치 지원사업 실시
완주군, 수급장애인 맞춤형 보조기기 지원 '호평'
"가정의달 '선물하기'로 마음 전해요"…롯데하이마트, 행사 풍성
[알고 지냅시다] 전동킥보드 관련법 개정안 
광주 (주)퍼스널팩토리, 스마트모빌리티 성장 속 전동킥보드 매장 확대
장애인은 갈 수 없는 개금테마공원
전동스쿠터 타고 지하철 승강기 돌진..80대 추락사
5월 가정의달 앞두고 유통가 대규모 선물 대전 진행
제주장애인자립생활센터, 기증받은 전동 보장구 중증장애인에 지원
라오스, 자동차 전동화 대열에 합류하나
"전동킥보드 타려면 운전면허 따세요"
(주)스쿠터나라, 출퇴근용 접이식 전동스쿠터 '히어로S8' 출시
모토벨로, 2021년 신제품 라인업 강화...입문자용 제품 추가
영주시-SK머티리얼즈, `전동보장구 급속충전소` 설치 지원
김천시, 퍼스널 모빌리티 선두기업 이엠이코리아와 투자양해각서 체결
광주 (주)퍼스널팩토리, "전동킥보드 넘어 스마트 모빌리티 전문기업으로 도약...
이엠이코리아, 김천에 1인용 이동수단 제조 공장 건립
모토벨로, 25일 네이버 쇼핑라이브 전기자전거, 전동킥보드 포함 5개 모델 방...
동해시, 장애인 전동보장구 안전표지판 부착 지원
승강기 안전 검사 보름 만에 '추락 사고'…대책 시급
늘어난 전동스쿠터에 차량 운전자 살얼음길
[팩트파인더] 전동킥보드, 친구랑 인도에서 타도 된다구요? 안돼요
[오늘e유통] 롯데하이마트, 온라인서 '하이마트는 사랑을 싣고' 행사 外
진주시, 2021년 장애인보장구 안전보호기 설치 지원
나인봇 위협하는 전동킥보드 샛별
기아 초록여행, 장애인 가정에 맛집 여행지원
장애인 보장구 빼앗거나 망가뜨리면 가중처벌
