,Unnamed: 0,역이름,위도,경도,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원
174,174,신논현역,37.5048075124198,127.025469415506,31,1,2782,1739,12190,14573,31150,41755,42132,90326,27545,99339,22978,53548,28018,39753,33374,38446,36737,44874,39148,40805,44692,39709,53981,45008,73748,56988,107131,89588,76376,51739,55307,23870,66788,19982,67879,20561,7760,7767,6,571,0,0,0,0,0,0
182,182,신반포역,37.5034947245635,126.996064297745,0,0,368,806,1846,6615,5482,7147,6576,8968,4349,5367,3249,3962,3179,3275,3768,3709,4303,4715,4230,4239,5646,4722,10515,4542,10322,5233,8889,7799,5081,5253,3468,2858,2994,2792,2602,3339,512,1393,0,11,0,0,0,0,0,0
184,184,신사역,37.5164314730183,127.02029272549,35,4,2420,1467,5240,19804,10197,44201,17155,114242,13267,136267,16834,65990,21617,43271,25333,43825,29407,46811,36419,45270,43723,41770,55219,42495,84284,49665,135887,66628,93050,33281,59376,12626,75070,9289,68525,9166,6107,3801,0,92,0,0,0,0,0,0
198,198,압구정로데오역,37.5275085746723,127.040591450907,55,0,1187,724,3231,10528,5097,22995,6999,70720,6260,104489,7785,46994,12406,35455,15742,32164,17650,32010,22462,29437,29188,27584,37680,29078,56617,34399,83310,42941,62562,21694,50179,7062,41781,4583,40926,4442,3363,1708,29,317,0,0,0,0,0,0
199,199,압구정역,37.5264849726148,127.028486030642,49,3,2827,1977,7469,21563,14969,44514,22818,134161,17748,154460,22024,70970,27816,51609,32146,45226,35433,48774,42684,46581,50714,38770,61391,41940,87196,47398,129862,55275,93332,30415,69986,13987,57848,10463,43851,11294,4803,3777,5,844,0,0,0,0,0,0
202,202,양재역,37.4845687081114,127.034146039501,67,1,4876,2382,13042,38771,34576,105902,43510,240644,31103,126230,28111,52654,31854,41024,35532,36816,38803,44287,42043,39054,50732,38228,65197,40772,121602,53458,201266,72799,88697,48225,56754,28751,56461,25197,43439,25136,4743,9860,5,740,0,0,0,1,0,0
207,207,언주역,37.5073281931356,127.033952822224,4,0,1050,801,2419,7344,5862,18677,8324,57679,6902,40405,7383,18493,8980,10518,10590,10312,10707,11793,12215,10451,14022,9498,17902,9750,32560,10718,51667,12798,23515,9538,12925,5598,12439,5166,10945,5324,1782,2655,1,110,0,0,0,0,0,0
210,210,역삼역,37.5006600052986,127.036460414211,38,2,3075,7003,7618,43544,13696,128541,22786,329368,21623,264016,22125,97649,30165,59594,36128,50425,43888,57694,52516,48845,67809,43207,91072,40724,181514,44699,279053,51224,137375,31953,75214,17380,78151,14512,60337,16250,10106,6425,0,1,0,0,0,0,0,0
239,239,이수역,37.4867887823399,126.982202828739,52,0,4090,1042,8572,8544,26686,15025,41048,41524,26069,26313,17326,17937,17109,16250,18496,16636,20267,18632,20194,18537,20675,20225,23867,24353,29026,31564,43095,51967,23394,34097,21317,17869,24574,15495,23336,16491,3972,6312,10,499,0,0,0,0,0,0
241,241,이태원역,37.534507184382,126.994320286276,4,0,2046,950,4345,6735,8811,11233,13514,26480,9693,20908,7490,13327,8184,13350,10251,14861,11910,16556,12548,15701,15825,16576,21146,19446,25196,23177,29296,30335,20974,21682,18383,10927,25493,7955,28228,8969,3618,4329,1,414,0,0,0,0,0,0
242,242,일원역,37.4839850708765,127.084120707858,3,0,2041,1367,7977,8706,21830,29554,20500,25794,14423,17003,13853,14589,14613,10705,14191,12220,13454,14211,14492,11677,18640,11256,24344,10136,31861,12734,16791,18286,8658,15603,5671,9359,3900,9217,3283,10911,840,3473,2,37,0,0,0,1,0,0
246,246,잠원역,37.5128827106508,127.011401392881,2,0,889,461,4546,5134,11912,6916,15034,10048,9154,6587,6228,4451,6049,5061,6852,5696,6968,6314,6258,6333,7093,6757,8826,7655,10273,9983,10110,14540,6418,10247,4256,6060,4457,5852,3773,7447,585,2311,0,5,1,1,0,0,0,0
267,267,청담역,37.5194483760543,127.053708883222,11,0,1987,3667,5986,27050,10050,59048,12956,146644,10841,95240,10384,36640,13081,20701,15333,19390,17661,21600,19992,18330,28768,16284,37422,15877,60125,17453,109758,19262,56399,12766,31124,8168,28626,7744,26384,6244,4014,2725,4,1252,0,0,0,0,0,0
269,269,총신대입구역,37.4867887823399,126.982202828739,75,2,5727,839,15463,11117,46534,18108,57006,42121,33787,31841,24825,23039,23646,21730,26450,23841,27033,26351,25689,28516,26221,32448,28848,37755,34054,49837,42340,73316,25454,48034,21114,26174,21143,21956,18114,23230,2334,9272,1,46,0,0,0,0,0,0
274,274,학동역,37.5143566006166,127.031897380783,3,0,1778,2439,4272,25517,8265,53770,10957,188240,10233,138279,9859,44886,12375,24277,15431,20097,18370,22625,22877,19427,29180,16582,37943,16380,69856,16691,165498,18876,74654,11814,36578,7097,36915,6457,30919,6101,5617,2679,10,171,0,0,0,0,0,0
275,275,학여울역,37.4968779978912,127.071153022687,1,0,539,286,1783,1764,3740,3346,4089,7762,2580,5418,2073,4995,2646,3717,3500,3755,3728,4073,3901,4080,4886,3706,5674,3119,7139,3333,6960,4395,3112,3140,1831,2007,1762,1693,1176,2163,193,817,0,2,0,0,0,0,0,0
281,281,한티역,37.496274896741,127.052900695072,19,3,1911,1034,7008,9303,19990,25343,22904,44301,13815,37652,11317,22198,13002,17470,15426,19336,16139,24015,16372,17407,20440,17155,25144,21984,34325,28083,42359,32604,27005,23379,28092,12170,20743,10816,23042,12176,3065,4300,59,231,0,0,0,0,0,0
