ARS-ID,표준ID,정류소명,X좌표,Y좌표,7시하차총승객수,8시하차총승객수,9시하차총승객수,10시하차총승객수
22001,121000001,교육개발원입구,127.0383424487,37.4785138305,143.9075630252101,422.84033613445376,237.65546218487395,90.33613445378151
22002,121000002,교육개발원입구,127.0386756802,37.477766643,183.6060606060606,313.1515151515151,201.43939393939394,120.43181818181819
22003,121000003,양재역.서초문화예술회관,127.0358472562,37.4825218847,166.20138888888889,267.36805555555554,171.5,101.80555555555556
22004,121000004,양재역.서초문화예술회관,127.0368254772,37.4818709299,264.8076923076923,370.65384615384613,253.24358974358975,191.73076923076923
22005,121000005,뱅뱅사거리,127.0323668915,37.4875924092,168.3694581280788,251.84729064039408,159.3152709359606,117.53694581280789
22006,121000006,뱅뱅사거리,127.0329932458,37.4868970819,176.80729166666666,259.5625,207.03125,131.34375
22007,121000007,래미안아파트.파이낸셜뉴스,127.0303401827,37.4918234471,244.26960784313727,555.6715686274509,431.5735294117647,214.12254901960785
22008,121000008,래미안아파트.파이낸셜뉴스,127.0310112315,37.4910427255,269.6510416666667,441.4895833333333,426.5104166666667,246.27083333333334
22009,121000009,신분당선강남역,127.0283494302,37.4960264799,504.47222222222223,838.7388888888889,636.7944444444445,333.47777777777776
22010,121000010,신분당선강남역,127.0291626566,37.4949565251,341.9166666666667,529.078125,498.2291666666667,299.9114583333333
22011,121000011,지하철2호선강남역,127.0257282697,37.5016093307,262.5877192982456,534.8552631578947,636.6491228070175,423.94736842105266
22012,121000012,지하철2호선강남역,127.0264182006,37.5007569902,188.41666666666666,303.9791666666667,381.4791666666667,307.5875
22013,121000013,논현역,127.0230119453,37.5072203243,211.44444444444446,367.32936507936506,388.43650793650795,249.58333333333334
22014,121000014,논현역,127.0237329243,37.5063685121,126.75757575757575,239.79545454545453,254.2348484848485,192.45833333333334
22015,121000015,신사역.푸른저축은행,127.019844,37.514627,326.4217391304348,533.2217391304348,538.0391304347826,335.1695652173913
22016,121000016,신사역,127.0206424089,37.5129301089,228.625,320.73148148148147,263.2083333333333,158.88888888888889
22017,121000017,반포역,127.0121019483,37.5084012467,178.24074074074073,209.60185185185185,204.07407407407408,215.38888888888889
22018,121000018,반포역,127.0110379812,37.5079080414,164.56666666666666,259.25,187.65,115.24166666666666
22019,121000019,고속터미널,127.0052627142,37.5063349939,392.871921182266,494.38916256157637,411.1970443349754,389.98522167487687
22020,121000020,고속터미널,127.0038414608,37.5056371202,669.7407407407408,935.2638888888889,853.8101851851852,702.7222222222222
22021,121000021,신반포역.세화여중고,126.9958082515,37.5034551594,140.92777777777778,148.17222222222222,100.28333333333333,89.57222222222222
22022,121000022,신반포역.세화여중고,126.9888861642,37.5016753064,188.53333333333333,276.9888888888889,212.9111111111111,159.29444444444445
22023,121000023,구반포역.세화고등학교,126.9899929686,37.5020434082,73.6,72.71666666666667,66.43333333333334,71.2
22024,121000024,구반포역.세화고등학교,126.986551,37.501138,344.48333333333335,417.3277777777778,316.1388888888889,243.42777777777778
22025,121900303,아리랑TV.국립국악원,127.009111162,37.4787981106,221.33333333333334,728.7083333333334,400.75,145.875
22026,120000671,남태령역,126.9881707204,37.4657132812,147.0,158.64814814814815,107.07407407407408,57.73148148148148
22027,121000533,이수역,126.9820604091,37.4823321911,165.51111111111112,325.8388888888889,303.75,196.86111111111111
22028,121001315,사당역,126.981733,37.475853,403.1818181818182,501.3719008264463,447.87603305785126,289.75206611570246
22029,121000532,총신대입구역.남성시장입구앞,126.9823336799,37.4875327559,336.53333333333336,432.22222222222223,488.78333333333336,420.21666666666664
22031,121000531,경문고등학교,126.9827295523,37.4904376391,98.42222222222222,163.7888888888889,112.45,81.10555555555555
22033,121000530,정금마을,126.9828180395,37.4932521524,100.67857142857143,245.05357142857142,163.32142857142858,80.92261904761905
