,역이름,위도,경도,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원
405,영등포역,37.5156764732488,126.90785793823,3995,79,16433,5921,16995,20274,38874,56305,51267,119606,34937,85194,32336,62890,36745,60631,43656,62192,49827,66494,52693,62519,62406,64212,74392,65054,92141,78089,139473,104500,79951,65649,82457,33396,72181,25192,57325,25520,9083,9460,40,1768,0,0,0,0,0,0
406,오금역,37.5021280700015,127.127930582636,4,0,3642,10,7346,2363,24746,5432,28254,13797,14315,5575,8059,4339,6836,3947,7522,4830,7491,5461,5797,5073,5682,7286,7351,8198,9537,12863,11214,19905,4908,15241,3051,9456,2866,8214,2400,10065,369,3994,3,1089,0,0,0,0,0,0
407,오금역,37.5021280700015,127.127930582636,2,0,1136,348,2951,3143,8843,9186,8203,20716,4970,6374,4068,3646,4433,3002,5256,3424,4552,3470,4750,3441,5747,3706,8303,4483,9502,5635,14375,7365,4569,6572,3426,3854,3003,3274,2566,4304,554,1855,0,266,0,0,0,0,0,0
410,오류동역,37.4943827932767,126.844807477983,483,1,11720,2026,17886,5047,51884,6454,52812,11183,27134,9766,18030,9148,16180,9565,18179,11449,16381,12597,14198,13686,13951,16693,14751,18969,15196,27458,14742,44125,8382,38896,6353,22905,5751,20223,4862,20009,1251,8738,27,648,0,0,0,0,0,0
411,오목교역,37.5245304608023,126.875289218474,0,0,4368,1473,14127,8196,49094,28981,56513,75928,27341,53831,20320,29756,21888,27610,25725,27832,25894,31635,26641,29771,30484,30941,35892,36896,46489,48073,71592,76339,35970,49903,36393,25225,29240,21642,29329,22706,4616,9600,0,12,0,0,0,0,0,0
412,옥수역,37.5415518643708,127.017380201215,206,19,2659,898,9352,4506,23083,8639,30283,14661,18684,10258,13446,8915,11880,9534,12859,11020,13343,12141,12890,12359,14084,14691,15559,17084,16998,23251,17728,33691,11232,25281,8433,15419,7921,13574,6360,16476,1431,5228,12,364,0,0,0,0,0,0
413,옥수역,37.5415518643708,127.017380201215,1,0,0,13,1,51,27,47,142,211,63,24,26,147,17,182,17,84,18,23,40,5,18,26,343,28,398,66,33,38,410,16,34,19,42,13,14,11,8,2,0,1,0,0,0,0,0,0
416,온수역,37.4919566907461,126.823825338009,59,1,6958,931,15779,3942,49109,10736,58865,16642,24924,11174,12229,6602,10698,6330,11703,8190,10826,8516,9375,8771,11068,10577,14986,13138,14802,20810,13587,41662,6085,33861,4194,18347,4003,16504,3117,15864,852,8727,10,2593,0,0,0,0,0,0
417,온수역,37.4919566907461,126.823825338009,181,3,5477,1245,8508,3643,23521,9451,23461,13692,12920,8089,10077,6098,9418,5956,10625,7430,9907,7548,9082,7761,9650,8611,13173,11367,12194,13878,11562,22456,6008,19326,4064,10988,4247,9598,3155,10531,1149,4415,30,393,0,0,0,0,0,0
420,올림픽공원역,37.5163245709914,127.130963650207,3,2,934,850,4902,4052,12029,6702,11624,8855,6615,5352,5769,4839,5667,4564,6158,5165,5978,5654,5629,5571,7250,5414,9557,6177,10112,6778,9692,9004,5115,7429,3062,4492,2463,4163,1883,4055,461,2228,0,50,0,0,0,0,0,0
