ARS-ID,표준ID,정류소명,X좌표,Y좌표,18시하차총승객수,19시하차총승객수,20시하차총승객수,21시하차총승객수
22001,121000001,교육개발원입구,127.0383424487,37.4785138305,155.46218487394958,140.57142857142858,99.97478991596638,98.4453781512605
22002,121000002,교육개발원입구,127.0386756802,37.477766643,358.469696969697,173.6060606060606,98.0530303030303,80.63636363636364
22003,121000003,양재역.서초문화예술회관,127.0358472562,37.4825218847,229.63888888888889,190.77777777777777,147.27777777777777,138.68055555555554
22004,121000004,양재역.서초문화예술회관,127.0368254772,37.4818709299,1097.9935897435898,453.19871794871796,236.58333333333334,194.46794871794873
22005,121000005,뱅뱅사거리,127.0323668915,37.4875924092,245.32512315270935,186.1871921182266,140.99014778325125,126.5615763546798
22006,121000006,뱅뱅사거리,127.0329932458,37.4868970819,167.43229166666666,103.01041666666667,64.30729166666667,67.18229166666667
22007,121000007,래미안아파트.파이낸셜뉴스,127.0303401827,37.4918234471,216.25980392156862,202.48529411764707,151.51470588235293,144.02941176470588
22008,121000008,래미안아파트.파이낸셜뉴스,127.0310112315,37.4910427255,365.6979166666667,218.33333333333334,149.09375,132.234375
22009,121000009,신분당선강남역,127.0283494302,37.4960264799,585.1,479.75555555555553,298.30555555555554,287.1611111111111
22010,121000010,신분당선강남역,127.0291626566,37.4949565251,733.53125,392.5208333333333,203.78125,172.83333333333334
22011,121000011,지하철2호선강남역,127.0257282697,37.5016093307,963.640350877193,839.4166666666666,478.8640350877193,409.3377192982456
22012,121000012,지하철2호선강남역,127.0264182006,37.5007569902,837.9125,577.6333333333333,322.2916666666667,261.2416666666667
22013,121000013,논현역,127.0230119453,37.5072203243,540.1904761904761,452.0992063492063,287.4484126984127,242.6626984126984
22014,121000014,논현역,127.0237329243,37.5063685121,549.1287878787879,384.20075757575756,236.0568181818182,221.71969696969697
22015,121000015,신사역.푸른저축은행,127.019844,37.514627,528.0217391304348,410.04347826086956,258.95652173913044,246.9217391304348
22016,121000016,신사역,127.0206424089,37.5129301089,461.912037037037,293.27777777777777,164.77314814814815,153.86111111111111
22017,121000017,반포역,127.0121019483,37.5084012467,525.6574074074074,452.0462962962963,336.0,324.2962962962963
22018,121000018,반포역,127.0110379812,37.5079080414,253.06666666666666,205.5,146.775,139.79166666666666
22019,121000019,고속터미널,127.0052627142,37.5063349939,808.2068965517242,636.64039408867,442.7832512315271,406.3743842364532
22020,121000020,고속터미널,127.0038414608,37.5056371202,835.6157407407408,598.3935185185185,369.7916666666667,329.9166666666667
22021,121000021,신반포역.세화여중고,126.9958082515,37.5034551594,280.09444444444443,253.7888888888889,180.37222222222223,160.7277777777778
22022,121000022,신반포역.세화여중고,126.9888861642,37.5016753064,173.4388888888889,130.17777777777778,90.14444444444445,78.06666666666666
22023,121000023,구반포역.세화고등학교,126.9899929686,37.5020434082,295.9,255.59444444444443,179.49444444444444,166.15555555555557
22024,121000024,구반포역.세화고등학교,126.986551,37.501138,346.7055555555556,258.7944444444444,162.42222222222222,157.05555555555554
22025,121900303,아리랑TV.국립국악원,127.009111162,37.4787981106,244.16666666666666,213.33333333333334,200.45833333333334,186.08333333333334
22026,120000671,남태령역,126.9881707204,37.4657132812,66.21296296296296,40.925925925925924,27.48148148148148,24.72222222222222
22027,121000533,이수역,126.9820604091,37.4823321911,271.1388888888889,211.2111111111111,133.0388888888889,117.96111111111111
22028,121001315,사당역,126.981733,37.475853,361.24793388429754,224.40495867768595,141.34710743801654,121.76859504132231
22029,121000532,총신대입구역.남성시장입구앞,126.9823336799,37.4875327559,451.35555555555555,362.85,239.68333333333334,208.48333333333332
22031,121000531,경문고등학교,126.9827295523,37.4904376391,139.07777777777778,125.1,82.44444444444444,75.88888888888889
22033,121000530,정금마을,126.9828180395,37.4932521524,147.61904761904762,131.16666666666666,88.35119047619048,81.58333333333333
22068,121900317,서초포레스타5단지정문,127.0582054029,37.4512933373,2.9166666666666665,1.0833333333333333,0.9166666666666666,0.75
22095,121900331,서초종합체육관,127.0414865726,37.4585014038,8.375,10.625,2.5833333333333335,2.0416666666666665
22096,121900299,서울추모공원,127.0426835704,37.4541410996,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.08333333333333333
22097,121900302,양재동화물터미널,127.0367509028,37.4600348322,36.0,40.416666666666664,49.916666666666664,55.083333333333336
22098,121900301,양재동화물터미널,127.0374906587,37.4598861698,2.0,0.9166666666666666,1.25,2.75
22099,121900300,서울추모공원,127.0428019712,37.454225246,6.0,2.25,2.8333333333333335,0.4166666666666667
22100,121900002,한국소비자원,127.0436919184,37.4661489773,12.125,9.666666666666666,9.208333333333334,9.5
22101,121000025,지하철3호선교대역,127.0140972015,37.4917727254,444.46666666666664,271.9,142.4,124.31666666666666
22102,121000026,서울교대사거리,127.0149073993,37.4872736263,75.58333333333333,50.638888888888886,33.72222222222222,35.22222222222222
22103,121000027,지하철2호선교대역2,127.0151722537,37.4940263356,256.0327868852459,229.9672131147541,147.86885245901638,136.8360655737705
22104,121000028,서초동유원아파트,127.0202260349,37.4955757305,96.84931506849315,86.54794520547945,60.0,56.054794520547944
22105,121000029,창신교회앞.서리풀노리학교,127.0213662544,37.4905140641,252.77083333333334,213.04166666666666,157.79166666666666,141.72916666666666
22106,121000030,창신교회.서리풀노리학교,127.0211892004,37.4902399015,176.5,157.27777777777777,102.16666666666667,98.25
22107,121000031,서울교대정문앞,127.0162439582,37.488862735,452.125,371.0416666666667,253.79166666666666,240.33333333333334
22108,121000032,서울교대정문앞,127.014658,37.488286,106.0,67.75,56.333333333333336,66.91666666666667
22109,121000033,남부터미널,127.0173128172,37.4832770023,,,,
22110,121000034,서울시인재개발원입구,127.0224066461,37.4829928478,80.80555555555556,66.97222222222223,41.916666666666664,33.44444444444444
22111,121000035,서울시인재개발원.한우리문화센터,127.0215900394,37.4827130909,60.875,50.041666666666664,45.458333333333336,28.625
22112,121000036,서일초등학교,127.0213559346,37.4864233445,273.26666666666665,193.18333333333334,141.58333333333334,125.6
22113,121000037,서일초등학교,127.0210583888,37.4861953374,203.72916666666666,178.77083333333334,127.875,121.5
22114,121000038,롯데칠성,127.0239660947,37.4967331858,158.46575342465752,112.36986301369863,67.67123287671232,64.27397260273973
22115,121000039,롯데칠성,127.0251450068,37.4950545834,194.5,118.77777777777777,74.36111111111111,89.61111111111111
22116,121000986,서초포레스타2단지 앞,127.0630129736,37.4554507343,593.9166666666666,740.5,380.9166666666667,335.75
22117,121000041,래미안에스티지에스,127.0260354162,37.4931865944,205.88888888888889,160.11111111111111,128.80555555555554,116.55555555555556
22118,121000042,래미안에스티지,127.0260101962,37.4930163269,149.52777777777777,130.52777777777777,89.52777777777777,75.0
22119,121000043,서초청소년도서관,127.0285876352,37.4926330938,350.44444444444446,284.47222222222223,176.22222222222223,157.83333333333334
22120,121000044,서초청소년도서관,127.0289422049,37.4926432864,278.2708333333333,191.14583333333334,137.33333333333334,139.83333333333334
22121,121000045,서초동신동아아파트,127.0255496495,37.4916731875,204.91666666666666,212.66666666666666,141.16666666666666,132.20833333333334
22122,121000046,서초2동주민센터서이초등학교,127.0256283107,37.4916097852,384.77777777777777,328.3611111111111,206.44444444444446,177.80555555555554
22123,121000047,래미안리더스원아파트,127.0274259079,37.4901792734,91.29166666666667,67.70833333333333,56.916666666666664,53.208333333333336
22124,121900330,추모공원입구,127.0390224473,37.4582592768,32.166666666666664,30.916666666666668,37.166666666666664,32.833333333333336
22125,121000049,뱅뱅사거리,127.0293731704,37.4889262562,171.11666666666667,139.25,107.96666666666667,113.4
22126,121000050,뱅뱅사거리,127.0298425735,37.4889223913,407.0833333333333,294.1666666666667,225.41666666666666,215.77083333333334
22127,121000051,서초동무지개아파트,127.0266066809,37.4880752935,97.85416666666667,98.20833333333333,76.375,78.85416666666667
22128,121000052,서초동무지개아파트,127.0259959863,37.4877440858,221.02083333333334,173.72916666666666,123.41666666666667,106.875
22129,121000053,서초구청,127.0309471279,37.4842092481,76.11111111111111,60.27777777777778,35.44444444444444,31.333333333333332
22130,121000054,서초구청,127.0308741901,37.4840274648,228.33333333333334,124.16666666666667,89.75,80.29166666666667
