,학교명,소재지도로명주소,위도,경도
76,서일중학교,서울특별시 서초구 서운로21길 2,37.49886081,127.0223402
77,반포중학교,서울특별시 서초구 신반포로 67,37.50304393,126.9921528
78,서울서래초등학교,서울특별시 서초구 방배로 260,37.49629538,126.9893083
79,개원중학교,서울특별시 강남구 영동대로 101,37.49134112,127.0713703
80,서울역삼초등학교,서울특별시 강남구 강남대로66길 21,37.49316528,127.0326527
81,경기여자고등학교,서울특별시 강남구 삼성로 29,37.48667354,127.065823
82,서울학동초등학교,서울특별시 강남구 선릉로115길 42,37.51212997,127.0398509
83,서울언주초등학교,서울특별시 강남구 남부순환로363길 19,37.48655528,127.0370393
84,서문여자고등학교,서울특별시 서초구 동광로12길 84,37.48953343,126.9854276
85,진선여자고등학교,서울특별시 강남구 선릉로85길 27,37.50185588,127.0469382
86,서울수서초등학교,서울특별시 강남구 광평로51길 46,37.49102353,127.1015496
87,국립국악고등학교,서울특별시 강남구 개포로22길 65,37.47642432,127.051273
88,서울포이초등학교,서울특별시 강남구 개포로22길 87,37.47562093,127.0523485
89,진선여자중학교,서울특별시 강남구 선릉로85길 27,37.50232303,127.0483723
90,서울서초초등학교,서울특별시 서초구 서운로 178,37.49924055,127.024108
91,서울대치초등학교,서울특별시 강남구 양재천로 363,37.4909822,127.062292
92,서울서이초등학교,서울특별시 서초구 서운로 35,37.49120943,127.0259479
93,서울방배초등학교,서울특별시 서초구 방배중앙로13길 26,37.48748657,126.9871924
94,서울매헌초등학교,서울특별시 서초구 언남길 8,37.47113833,127.0420698
95,청담중학교,서울특별시 강남구 압구정로61길 36,37.5288535,127.0453566
96,세화여자고등학교,서울특별시 서초구 신반포로 56-7,37.50219492,126.9932967
97,서울우암초등학교,서울특별시 서초구 바우뫼로7길 38,37.47185411,127.0245296
98,서울전자고등학교,서울특별시 서초구 과천대로 852-23,37.46966285,126.9883284
99,서울대현초등학교,서울특별시 강남구 역삼로98길 16,37.50391526,127.0637099
100,서울양전초등학교,서울특별시 강남구 개포로 513,37.49047397,127.0700626
101,서울도곡초등학교,서울특별시 강남구 선릉로64길 33,37.49906114,127.0546704
102,상문고등학교,서울특별시 서초구 명달로 45,37.47877647,127.0042138
103,서울개일초등학교,서울특별시 강남구 개포로 401,37.48574428,127.0580022
104,구룡중학교,서울특별시 강남구 선릉로 103,37.48590542,127.0564166
105,언남고등학교,서울특별시 서초구 동산로13길 35,37.47289781,127.043131
106,세곡중학교,서울특별시 강남구 자곡로 81,37.47186015,127.092308
107,서울고등학교,서울특별시 서초구 효령로 197,37.4841086,127.0061148
108,세화고등학교,서울특별시 서초구 신반포로 56-7,37.5018343,126.9918657
109,서울언북초등학교,서울특별시 강남구 삼성로135길 42,37.51996032,127.0456394
110,대청중학교,서울특별시 강남구 양재천로 321,37.49016889,127.0585662
