ARS-ID,표준ID,정류소명,X좌표,Y좌표,17시승차총승객수,18시승차총승객수,19시승차총승객수,20시승차총승객수
22001,121000001,교육개발원입구,127.0383424487,37.4785138305,157.0252100840336,203.60504201680672,112.63865546218487,95.0672268907563
22002,121000002,교육개발원입구,127.0386756802,37.477766643,409.8787878787879,659.6818181818181,270.1515151515151,166.9090909090909
22003,121000003,양재역.서초문화예술회관,127.0358472562,37.4825218847,330.7291666666667,466.7361111111111,386.59027777777777,309.0138888888889
22004,121000004,양재역.서초문화예술회관,127.0368254772,37.4818709299,271.46153846153845,333.7628205128205,215.23717948717947,166.0448717948718
22005,121000005,뱅뱅사거리,127.0323668915,37.4875924092,163.51231527093597,203.63546798029557,134.8177339901478,112.16748768472907
22006,121000006,뱅뱅사거리,127.0329932458,37.4868970819,260.96875,325.90625,204.53645833333334,151.984375
22007,121000007,래미안아파트.파이낸셜뉴스,127.0303401827,37.4918234471,259.8627450980392,322.2598039215686,212.60294117647058,159.44607843137254
22008,121000008,래미안아파트.파이낸셜뉴스,127.0310112315,37.4910427255,645.1666666666666,884.4322916666666,483.4895833333333,292.25
22009,121000009,신분당선강남역,127.0283494302,37.4960264799,505.9166666666667,661.5277777777778,468.53333333333336,393.8333333333333
22010,121000010,신분당선강남역,127.0291626566,37.4949565251,763.1510416666666,1010.5833333333334,660.703125,494.3333333333333
22011,121000011,지하철2호선강남역,127.0257282697,37.5016093307,521.8728070175439,585.5921052631579,522.9824561403509,468.2938596491228
22012,121000012,지하철2호선강남역,127.0264182006,37.5007569902,875.8916666666667,1021.7291666666666,798.85,662.6541666666667
22013,121000013,논현역,127.0230119453,37.5072203243,285.8968253968254,347.4166666666667,297.6468253968254,217.78174603174602
22014,121000014,논현역,127.0237329243,37.5063685121,366.10227272727275,433.1969696969697,362.38257575757575,278.6439393939394
22015,121000015,신사역.푸른저축은행,127.019844,37.514627,338.40434782608696,504.6521739130435,325.8391304347826,200.69565217391303
22016,121000016,신사역,127.0206424089,37.5129301089,309.2916666666667,393.087962962963,314.3611111111111,232.24074074074073
22017,121000017,반포역,127.0121019483,37.5084012467,265.51851851851853,305.44444444444446,220.94444444444446,150.87962962962962
22018,121000018,반포역,127.0110379812,37.5079080414,251.88333333333333,257.51666666666665,201.76666666666668,166.05
22019,121000019,고속터미널,127.0052627142,37.5063349939,1251.0443349753696,1428.7487684729065,1305.7487684729065,1108.5320197044334
22020,121000020,고속터미널,127.0038414608,37.5056371202,749.3935185185185,829.7962962962963,761.2037037037037,659.2777777777778
22021,121000021,신반포역.세화여중고,126.9958082515,37.5034551594,278.06666666666666,265.93333333333334,209.04444444444445,154.89444444444445
22022,121000022,신반포역.세화여중고,126.9888861642,37.5016753064,174.23888888888888,165.49444444444444,108.8,72.70555555555555
22023,121000023,구반포역.세화고등학교,126.9899929686,37.5020434082,294.22777777777776,328.09444444444443,284.5,220.4611111111111
22024,121000024,구반포역.세화고등학교,126.986551,37.501138,309.30555555555554,272.1111111111111,203.11111111111111,138.23333333333332
22025,121900303,아리랑TV.국립국악원,127.009111162,37.4787981106,451.3333333333333,533.125,223.625,100.91666666666667
22026,120000671,남태령역,126.9881707204,37.4657132812,138.86111111111111,161.37962962962962,98.52777777777777,64.02777777777777
22027,121000533,이수역,126.9820604091,37.4823321911,193.7888888888889,206.7277777777778,165.34444444444443,135.07222222222222
22028,121001315,사당역,126.981733,37.475853,484.53719008264466,565.0,490.8099173553719,351.0330578512397
22029,121000532,총신대입구역.남성시장입구앞,126.9823336799,37.4875327559,442.27777777777777,498.7388888888889,392.60555555555555,298.14444444444445
22031,121000531,경문고등학교,126.9827295523,37.4904376391,101.27777777777777,102.38333333333334,70.54444444444445,55.34444444444444
22033,121000530,정금마을,126.9828180395,37.4932521524,102.27380952380952,121.36904761904762,70.89880952380952,48.220238095238095
22068,121900317,서초포레스타5단지정문,127.0582054029,37.4512933373,15.0,6.833333333333333,1.9166666666666667,1.3333333333333333
22095,121900331,서초종합체육관,127.0414865726,37.4585014038,13.416666666666666,20.833333333333332,24.708333333333332,36.458333333333336
22096,121900299,서울추모공원,127.0426835704,37.4541410996,0.0,0.0,0.0,0.0
22097,121900302,양재동화물터미널,127.0367509028,37.4600348322,0.9166666666666666,0.25,1.0,0.5833333333333334
22098,121900301,양재동화물터미널,127.0374906587,37.4598861698,97.25,76.33333333333333,28.583333333333332,29.416666666666668
22099,121900300,서울추모공원,127.0428019712,37.454225246,80.58333333333333,26.0,18.583333333333332,16.166666666666668
22100,121900002,한국소비자원,127.0436919184,37.4661489773,88.83333333333333,104.41666666666667,28.791666666666668,17.25
22101,121000025,지하철3호선교대역,127.0140972015,37.4917727254,145.68333333333334,214.13333333333333,152.68333333333334,99.63333333333334
22102,121000026,서울교대사거리,127.0149073993,37.4872736263,127.97222222222223,171.47222222222223,99.05555555555556,77.94444444444444
22103,121000027,지하철2호선교대역2,127.0151722537,37.4940263356,324.4590163934426,430.0983606557377,312.40983606557376,228.60655737704917
22104,121000028,서초동유원아파트,127.0202260349,37.4955757305,158.06849315068493,195.3835616438356,136.57534246575344,91.75342465753425
22105,121000029,창신교회앞.서리풀노리학교,127.0213662544,37.4905140641,306.2291666666667,415.6875,220.89583333333334,161.1875
22106,121000030,창신교회.서리풀노리학교,127.0211892004,37.4902399015,252.11111111111111,303.94444444444446,187.0,114.66666666666667
22107,121000031,서울교대정문앞,127.0162439582,37.488862735,447.6666666666667,599.375,360.5833333333333,222.25
22108,121000032,서울교대정문앞,127.014658,37.488286,263.0833333333333,293.5833333333333,167.91666666666666,182.91666666666666
22109,121000033,남부터미널,127.0173128172,37.4832770023,,,,
22110,121000034,서울시인재개발원입구,127.0224066461,37.4829928478,278.4166666666667,656.1944444444445,173.58333333333334,69.80555555555556
22111,121000035,서울시인재개발원.한우리문화센터,127.0215900394,37.4827130909,187.20833333333334,381.9166666666667,116.58333333333333,54.416666666666664
22112,121000036,서일초등학교,127.0213559346,37.4864233445,457.1333333333333,520.0666666666667,259.98333333333335,220.71666666666667
22113,121000037,서일초등학교,127.0210583888,37.4861953374,249.22916666666666,357.9583333333333,190.66666666666666,132.22916666666666
22114,121000038,롯데칠성,127.0239660947,37.4967331858,159.32876712328766,208.68493150684932,114.86301369863014,80.78082191780823
22115,121000039,롯데칠성,127.0251450068,37.4950545834,216.0,373.5,136.94444444444446,89.0
22116,121000986,서초포레스타2단지 앞,127.0630129736,37.4554507343,883.75,514.9166666666666,235.16666666666666,143.83333333333334
22117,121000041,래미안에스티지에스,127.0260354162,37.4931865944,263.6666666666667,224.55555555555554,149.61111111111111,98.33333333333333
22118,121000042,래미안에스티지,127.0260101962,37.4930163269,113.05555555555556,121.75,75.19444444444444,56.583333333333336
22119,121000043,서초청소년도서관,127.0285876352,37.4926330938,337.47222222222223,457.44444444444446,286.97222222222223,222.13888888888889
22120,121000044,서초청소년도서관,127.0289422049,37.4926432864,577.4791666666666,894.8333333333334,529.875,392.0833333333333
22121,121000045,서초동신동아아파트,127.0255496495,37.4916731875,248.25,257.875,187.29166666666666,106.625
22122,121000046,서초2동주민센터서이초등학교,127.0256283107,37.4916097852,229.69444444444446,205.66666666666666,126.19444444444444,87.91666666666667
22123,121000047,래미안리더스원아파트,127.0274259079,37.4901792734,296.5416666666667,106.79166666666667,50.208333333333336,28.291666666666668
22124,121900330,추모공원입구,127.0390224473,37.4582592768,0.5,0.3333333333333333,0.5,0.75
22125,121000049,뱅뱅사거리,127.0293731704,37.4889262562,507.18333333333334,595.7833333333333,437.46666666666664,317.26666666666665
22126,121000050,뱅뱅사거리,127.0298425735,37.4889223913,112.14583333333333,129.5,75.0,60.479166666666664
22127,121000051,서초동무지개아파트,127.0266066809,37.4880752935,298.4375,334.9583333333333,175.89583333333334,128.8125
22128,121000052,서초동무지개아파트,127.0259959863,37.4877440858,180.375,126.0625,72.0625,49.625
22129,121000053,서초구청,127.0309471279,37.4842092481,255.41666666666666,412.52777777777777,269.6388888888889,171.55555555555554
22130,121000054,서초구청,127.0308741901,37.4840274648,23.791666666666668,31.583333333333332,21.5,20.958333333333332
22131,121000055,수협서초지점,127.0296160859,37.4933861394,330.8333333333333,446.53333333333336,321.95,240.9
22132,121000056,서초문화예술정보학교,127.0321452121,37.4880652076,187.06666666666666,247.91666666666666,170.1,147.16666666666666
22133,121000057,법조단지,127.0129905855,37.4964790571,221.125,170.33333333333334,71.91666666666667,56.333333333333336
22134,121000058,교대역3,127.0130353587,37.4935255647,192.68,208.4,187.4,176.64
22135,121000059,서초역.서울중앙지법등기국,127.0072658333,37.4928824468,436.1333333333333,662.9333333333333,433.5,318.81666666666666
22136,121000060,서초역1번출구,127.0086430991,37.4920474755,261.8,292.16,194.2,167.52
22137,121000061,서울중앙지방검찰청,127.0063907898,37.4946605227,87.80555555555556,287.19444444444446,62.05555555555556,34.111111111111114
22138,121000062,서울중앙지방검찰청대검찰청,127.0063341369,37.494401214,62.833333333333336,82.41666666666667,38.888888888888886,30.083333333333332
22139,121000063,서초아트자이아파트,127.0106825134,37.4856807289,238.0625,294.2083333333333,181.47916666666666,133.85416666666666
22140,121000064,서초동삼성아파트,127.0092871405,37.4886174131,219.02083333333334,303.8541666666667,164.6875,121.22916666666667
22141,121000065,서초유스센터.서초아트자이,127.0105605243,37.4854983218,201.27777777777777,329.75,192.33333333333334,124.52777777777777
22142,121000066,서초동삼성아파트,127.0091104527,37.4885557668,159.56666666666666,230.83333333333334,136.15,96.65
22143,121000067,서초3동주민센터,127.0117197882,37.4831552137,579.625,872.2083333333334,487.9166666666667,413.9166666666667
22144,121000068,서초3동주민센터,127.0119717269,37.4831878415,343.5,331.1666666666667,190.36111111111111,139.61111111111111
22145,121000069,서초동예술의전당,127.0127340383,37.4816390955,499.2916666666667,595.5,305.25,145.5
22146,121000070,서초중학교,127.0085568299,37.4835440126,350.65625,446.2395833333333,244.17708333333334,175.84375
22147,121000071,서초중학교,127.0087822745,37.4834621803,283.39285714285717,279.14285714285717,153.41666666666666,106.86904761904762
22148,121000072,서울고등학교,127.0050174958,37.4828729587,209.38541666666666,288.0416666666667,152.875,118.78125
22149,121000073,서울고등학교,127.0055529996,37.4828316926,260.1904761904762,528.5833333333334,164.22619047619048,96.36904761904762
22150,121000074,상문고교,127.0047616322,37.4819161512,136.5,204.41666666666666,89.0,67.5
22151,121000075,서초동예술의전당,127.0107815044,37.479428854,95.75,89.66666666666667,54.166666666666664,32.916666666666664
22152,121000076,서초동예술의전당,127.0108317239,37.4796623445,780.0,939.2083333333334,646.75,453.5833333333333
22153,121000077,남부터미널.기쁨병원,127.0169147424,37.4818523385,88.16666666666667,141.04166666666666,57.25,38.583333333333336
22154,121000078,남부터미널.기쁨병원,127.017544095,37.4818611748,80.70833333333333,82.08333333333333,41.0,36.25
22155,121500100,남부터미널,127.016698427,37.4840897724,,,,
22156,121000080,남부터미널.한일시멘트,127.0142415341,37.4846572778,534.5333333333333,643.95,551.2166666666667,475.93333333333334
22157,121000081,남부터미널,127.0154563858,37.4847683916,451.5595238095238,564.7619047619048,436.26190476190476,297.4404761904762
22158,121000082,서울교대사거리,127.0147508651,37.4873987101,56.833333333333336,80.41666666666667,38.55555555555556,40.30555555555556
22159,121000083,서울교대사거리,127.0133630507,37.4880064658,318.8333333333333,485.5,253.83333333333334,201.75
22160,121000084,서울교대사거리,127.012947983,37.4877963794,235.16666666666666,317.1666666666667,196.91666666666666,161.08333333333334
22161,121000085,지하철3호선교대역,127.0139679573,37.4918399902,96.16666666666667,114.88888888888889,90.58333333333333,101.08333333333333
22162,121000086,KCC사옥,127.0196771517,37.5031082219,61.75,59.861111111111114,56.75,41.69444444444444
22163,121000087,서초푸르지오써밋,127.0221156359,37.5011810858,40.375,51.708333333333336,43.625,24.208333333333332
22164,121000088,서초푸르지오써밋.롯데캐슬클래식,127.0221001442,37.5014555692,129.27083333333334,133.97916666666666,89.47916666666667,85.875
22165,121000089,진흥아파트,127.0237379474,37.4977337315,142.5,188.44444444444446,145.83333333333334,134.25
22166,121000090,진흥아파트,127.0239500646,37.4975413868,167.39583333333334,210.58333333333334,112.125,68.60416666666667
22167,121000091,강남역.강남역사거리,127.0266304927,37.497732613,233.54117647058823,299.0705882352941,254.2941176470588,209.05882352941177
22168,121000092,서초동진흥아파트,127.0228061159,37.4965167257,69.8108108108108,60.351351351351354,54.75675675675676,39.027027027027025
22169,121000093,서초동유원아파트,127.0196602551,37.4955449115,53.86486486486486,47.108108108108105,39.945945945945944,38.810810810810814
22170,121000094,지하철2호선교대역4출구,127.0158789726,37.4943891487,96.31147540983606,88.54098360655738,91.1311475409836,87.72131147540983
22171,121000095,법조단지,127.013160005,37.4962719536,136.02777777777777,145.44444444444446,103.41666666666667,82.05555555555556
22172,121000096,신논현역.구교보타워사거리,127.0251220072,37.5028759418,388.0422535211268,449.67605633802816,392.2676056338028,331.32394366197184
22173,121000097,강남역,127.0264252273,37.5001155344,232.15,305.01666666666665,257.6,225.96666666666667
