,gid,2030val,layer,geometry
485,ㅼ궗599445,98.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0463370949868 37.49889164395104, 127.0463316419043 37.49979298239371, 127.0474629520965 37.49979732165843, 127.0474683915818 37.49889598307531, 127.0463370949868 37.49889164395104)))"
486,ㅼ궗634437,138.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0859724254181 37.49182631725074, 127.085967450017 37.49272766150814, 127.0870986595653 37.49273162056515, 127.0871036213737 37.4918302761796, 127.0859724254181 37.49182631725074)))"
488,ㅼ궗621433,79.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0712875045092 37.48816849395817, 127.0712823533214 37.48906983707147, 127.0724135055748 37.48907393640132, 127.0724186431725 37.4881725931553, 127.0712875045092 37.48816849395817)))"
489,ㅼ궗587442,96.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0327784022077 37.49613471844294, 127.0327727867102 37.49703605558857, 127.0339040531584 37.49704052442271, 127.0339096550606 37.49613918713243, 127.0327784022077 37.49613471844294)))"
490,ㅼ궗592474,10.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0382570256645 37.52499969652439, 127.0382514702304 37.52590102995496, 127.0393831732893 37.52590544920096, 127.0393887151087 37.52500411562738, 127.0382570256645 37.52499969652439)))"
491,ㅼ궗592436,64.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0384679489 37.49074892346641, 127.0384624028612 37.49165026216318, 127.0395935889882 37.49165467597729, 127.0395991214354 37.49075333713763, 127.0384679489 37.49074892346641)))"
492,ㅼ궗607428,47.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0554782912659 37.48360325995895, 127.0554729510063 37.48450460187014, 127.0566040320484 37.48450885212578, 127.056609358721 37.48360751007699, 127.0554782912659 37.48360325995895)))"
493,ㅼ궗608446,244.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0565134423055 37.49983164576378, 127.0565081113606 37.50073298531939, 127.0576394373095 37.5007372272182, 127.0576447546565 37.49983588752529, 127.0565134423055 37.49983164576378)))"
494,ㅼ궗614443,133.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.063317066621 37.49715291187327, 127.0633118179651 37.49805425266294, 127.0644431045339 37.4980584291516, 127.0644483395937 37.49715708822673, 127.063317066621 37.49715291187327)))"
495,ㅼ궗594442,33.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0406971773966 37.49616577179346, 127.040691657066 37.49706710994429, 127.0418229252481 37.4970715029506, 127.0418284319834 37.49617016465759, 127.0406971773966 37.49616577179346)))"
496,ㅼ궗650418,308.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.1041619470453 37.47476275507733, 127.1041571931537 37.47566410397219, 127.1052881480042 37.47566788740295, 127.1052928883144 37.47476653838559, 127.1041619470453 37.47476275507733)))"
497,ㅼ궗598461,170.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.045118302533 37.51330869019623, 127.0451128319559 37.51421002628111, 127.0462443595424 37.51421437863282, 127.0462498165126 37.51331304240709, 127.045118302533 37.51330869019623)))"
498,ㅼ궗601430,195.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0486810477469 37.48538021389356, 127.0486756254826 37.48628155469478, 127.0498067322642 37.48628587019623, 127.0498121409403 37.4853845292553, 127.0486810477469 37.48538021389356)))"
499,ㅼ궗599432,21.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0464079629614 37.48717423158891, 127.0464025130355 37.48807557183262, 127.0475336465115 37.4880799092717, 127.0475390828481 37.48717856888758, 127.0464079629614 37.48717423158891)))"
500,ㅼ궗607437,107.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0554302203658 37.49171533217352, 127.0554248779651 37.49261667283814, 127.0565560813174 37.49262092433226, 127.0565614101257 37.49171958353001, 127.0554302203658 37.49171533217352)))"
501,ㅼ궗573472,45.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0167666013779 37.52311101161547, 127.016760787785 37.52401234253958, 127.01789245881 37.52401696751674, 127.0178982587896 37.52311563644296, 127.0167666013779 37.52311101161547)))"
502,ㅼ궗577464,19.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0213392964569 37.51591878871296, 127.021333539369 37.51682012134285, 127.0224651025344 37.51682470176218, 127.0224708460139 37.51592336898405, 127.0213392964569 37.51591878871296)))"
503,ㅼ궗588475,54.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0337246604756 37.52588324453328, 127.033719050333 37.52678457724969, 127.0348507660136 37.52678904001516, 127.034856362541 37.52588770715434, 127.0337246604756 37.52588324453328)))"
504,ㅼ궗594479,76.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0404927613133 37.52951519108208, 127.0404872318772 37.53041652410533, 127.0416190035118 37.53042092237532, 127.0416245193303 37.52951958920976, 127.0404927613133 37.52951519108208)))"
505,ㅼ궗600438,50.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.047506461196 37.49258660911427, 127.0475010234064 37.49348794866719, 127.0486322386732 37.4934922761176, 127.0486376628699 37.49259093642461, 127.047506461196 37.49258660911427)))"
506,ㅼ궗602419,47.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.049871620481 37.47546976976296, 127.0498662144542 37.47637111222755, 127.0509971720403 37.47637541536788, 127.0510025644857 37.47547407276397, 127.049871620481 37.47546976976296)))"
507,ㅼ궗647436,91.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.100682788387 37.49097559249123, 127.1006779899058 37.49187693852571, 127.1018091886872 37.49188075665436, 127.1018139735761 37.49097941049627, 127.100682788387 37.49097559249123)))"
508,ㅼ궗599460,44.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0462552732398 37.51241170604279, 127.0462498165126 37.51331304240709, 127.0473813307353 37.51331738377903, 127.0473867738562 37.51241604727422, 127.0462552732398 37.51241170604279)))"
509,ㅼ궗602452,121.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0496930943985 37.50521399795537, 127.0496876804198 37.50611533584855, 127.0508190865345 37.50611964358818, 127.0508244869118 37.50521830555557, 127.0496930943985 37.50521399795537)))"
510,ㅼ궗591440,75.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0373145366039 37.49434985234786, 127.0373089759828 37.49525119034712, 127.0384402162354 37.49525561556462, 127.0384457632625 37.49435427742211, 127.0373145366039 37.49434985234786)))"
511,ㅼ궗600449,151.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0474466321866 37.50250133657651, 127.0474411917321 37.50340267460544, 127.0485725565614 37.50340700359696, 127.0485779834164 37.5025056654279, 127.0474466321866 37.50250133657651)))"
512,ㅼ궗604444,88.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0519989652351 37.49801189195924, 127.0519935803785 37.49891323123921, 127.0531248781788 37.49891751619685, 127.0531302494388 37.49801617677819, 127.0519989652351 37.49801189195924)))"
513,ㅼ궗606446,191.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0542508183164 37.49982312973962, 127.0542454601758 37.50072446901957, 127.0553767856492 37.50072873258652, 127.0553821301919 37.49982739316856, 127.0542508183164 37.49982312973962)))"
514,ㅼ궗597443,26.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0440854623475 37.49708025646552, 127.0440799825588 37.49798159490335, 127.0452112650709 37.49798595555306, 127.0452167312636 37.49708461697409, 127.0440854623475 37.49708025646552)))"
515,ㅼ궗648406,269.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.1019574211885 37.46393896141034, 127.1019526426888 37.46484031171946, 127.1030834341786 37.46484411532114, 127.1030881991042 37.46394276488886, 127.1019574211885 37.46393896141034)))"
516,ㅼ궗600420,94.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0476043000047 37.47636247347321, 127.0475988665729 37.47726381551961, 127.048729837259 37.47726814044908, 127.0487352571087 37.47636679826267, 127.0476043000047 37.47636247347321)))"
517,ㅼ궗584451,42.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0293337295332 37.50423327277803, 127.0293280709822 37.50513460824018, 127.0304594590621 37.50513911088333, 127.0304651040125 37.50423777527545, 127.0293337295332 37.50423327277803)))"
518,ㅼ궗591438,252.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0373256571031 37.49254717593361, 127.0373200969773 37.49344851421002, 127.0384513100424 37.49345293914103, 127.0384568565753 37.49255160072139, 127.0373256571031 37.49254717593361)))"
519,ㅼ궗658420,151.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.113200192388 37.47659541805745, 127.1131955467341 37.47749676764576, 127.1143265304214 37.47750046471942, 127.1143311624927 37.47659911501141, 127.113200192388 37.47659541805745)))"
520,ㅼ궗593438,39.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0395880562946 37.49255601467839, 127.0395825233546 37.49345735324091, 127.0407137369132 37.49346175650962, 127.0407192562604 37.49256041780456, 127.0395880562946 37.49255601467839)))"
521,ㅼ궗591475,75.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.037119767419 37.5258965998652, 127.0371141981221 37.52679793301378, 127.0382459145488 37.52680236324692, 127.0382514702304 37.52590102995496, 127.037119767419 37.5258965998652)))"
522,ㅼ궗606475,21.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0540953352988 37.52596191261189, 127.0540899702322 37.52686324787406, 127.0552216903075 37.52686751544451, 127.0552270417586 37.52596618004423, 127.0540953352988 37.52596191261189)))"
523,ㅼ궗608458,8.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0564494552926 37.51064771128848, 127.0564441214975 37.51154904918176, 127.0575756106684 37.51155329272844, 127.0575809308583 37.51065195469782, 127.0564494552926 37.51064771128848)))"
524,ㅼ궗606439,55.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0542883186191 37.49351375090125, 127.0542829621488 37.49441509115086, 127.0554141924498 37.49441935375184, 127.0554195353265 37.49351801336424, 127.0542883186191 37.49351375090125)))"
525,ㅼ궗641411,25.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0940176120094 37.46841877990409, 127.0940127374058 37.46932012864941, 127.0951435952724 37.46932400862129, 127.095148456299 37.46842265975035, 127.0940176120094 37.46841877990409)))"
526,ㅼ궗578472,74.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0224248910138 37.5231340273269, 127.0224191454873 37.52403535899585, 127.0235508177979 37.52403992975821, 127.0235565497112 37.52313859794136, 127.0224248910138 37.5231340273269)))"
527,ㅼ궗638413,145.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0906152495573 37.47020977202963, 127.0906103337847 37.4711111201192, 127.091741218154 37.47111503281049, 127.0917461203484 37.47021368459423, 127.0906152495573 37.47020977202963)))"
528,ㅼ궗601476,102.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.048431373453 37.52684174735849, 127.0484259400674 37.52774308178635, 127.0495576725576 37.52774740371773, 127.0495630923272 37.52684606915003, 127.048431373453 37.52684174735849)))"
529,ㅼ궗630438,67.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0814426140458 37.49271171696924, 127.0814375840498 37.49361306057206, 127.0825688063013 37.49361706308295, 127.082573822704 37.49271571935058, 127.0814426140458 37.49271171696924)))"
530,ㅼ궗630436,68.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0814526733656 37.49090902934828, 127.0814476438177 37.49181037322798, 127.0825788388833 37.49181437547976, 127.0825838548391 37.4909130314705, 127.0814526733656 37.49090902934828)))"
531,ㅼ궗608450,150.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0564921171012 37.5034370031551, 127.0564867852065 37.50433834215661, 127.057618165553 37.50434258460466, 127.0576234838474 37.50344124546583, 127.0564921171012 37.5034370031551)))"
532,ㅼ궗574472,106.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0178982587896 37.52311563644296, 127.01789245881 37.52401696751674, 127.0190241300933 37.52402158165093, 127.0190299164596 37.52312025042784, 127.0178982587896 37.52311563644296)))"
533,ㅼ궗594456,157.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0406198703882 37.50878449329538, 127.0406143466142 37.50968582950622, 127.0417458051943 37.50969022450366, 127.0417513153645 37.50878888815059, 127.0406198703882 37.50878449329538)))"
534,ㅼ궗647434,272.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.1006923847082 37.48917290000711, 127.1006875866544 37.49007424631836, 127.1018187582519 37.49007806419981, 127.1018235427146 37.48917671776496, 127.1006923847082 37.48917290000711)))"
535,ㅼ궗631434,45.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0825938860806 37.48911034303668, 127.0825888705715 37.49001168732281, 127.083720038677 37.49001567848546, 127.0837250405951 37.48911433407013, 127.0825938860806 37.48911034303668)))"
536,ㅼ궗600417,7.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0476205988483 37.47365844650295, 127.0476151661424 37.47455978896487, 127.0487460960841 37.47456411347429, 127.0487515152097 37.47366277087234, 127.0476205988483 37.47365844650295)))"
537,ㅼ궗618426,77.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0679304271317 37.4818467285224, 127.067925236792 37.48274807220478, 127.0690562932371 37.48275220308718, 127.0690614699909 37.48185085927108, 127.0679304271317 37.4818467285224)))"
538,ㅼ궗584467,74.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0292431624644 37.51865462353889, 127.0292374998791 37.51955595678319, 127.0303691056519 37.51956046175857, 127.0303747546268 37.51865912836849, 127.0292431624644 37.51865462353889)))"
539,ㅼ궗582453,189.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0270596095734 37.50602690547795, 127.0270539233146 37.50692824037035, 127.028185338093 37.50693276497768, 127.0281910107499 37.50603142993883, 127.0270596095734 37.50602690547795)))"
542,ㅼ궗617419,229.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.066835805494 37.47553317823179, 127.0668306031906 37.47643452274933, 127.0679615643159 37.47643866352038, 127.0679667530377 37.47553731886877, 127.066835805494 37.47553317823179)))"
543,ㅼ궗588457,60.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.033825600322 37.50965923193483, 127.0338199946757 37.51056056714624, 127.0349514653747 37.51056502731278, 127.0349570574167 37.50966369195702, 127.033825600322 37.50965923193483)))"
544,ㅼ궗635437,92.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0871036213737 37.4918302761796, 127.0870986595653 37.49273162056515, 127.0882298693346 37.49273556879106, 127.0882348175503 37.49183422427771, 127.0871036213737 37.4918302761796)))"
546,ㅼ궗605422,58.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.053248356651 37.47818667452228, 127.0532429906516 37.47908801698829, 127.0543739897047 37.47909228806969, 127.0543793421207 37.47819094546542, 127.053248356651 37.47818667452228)))"
547,ㅼ궗624439,377.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0746502552667 37.49358881804715, 127.0746451434835 37.49449016072678, 127.0757763779755 37.49449422835773, 127.0757814761649 37.49359288554645, 127.0746502552667 37.49358881804715)))"
548,ㅼ궗597441,106.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0440964211927 37.49527757917424, 127.0440909418921 37.49617891788915, 127.0452221972129 37.49618327825656, 127.0452276629187 37.49528193940051, 127.0440964211927 37.49527757917424)))"
549,ㅼ궗586478,74.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0314443442226 37.52857828362362, 127.0314387060961 37.52947961563426, 127.0325704621256 37.52948410052329, 127.032576086635 37.52858276836753, 127.0314443442226 37.52857828362362)))"
550,ㅼ궗591478,101.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0371030587841 37.52860059889515, 127.0370974887429 37.52950193162793, 127.0382292460191 37.52950636229116, 127.0382348024432 37.52860502941503, 127.0371030587841 37.52860059889515)))"
551,ㅼ궗586456,106.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0315683194863 37.5087489443179, 127.0315626868823 37.50965027937815, 127.032694143477 37.5096547610752, 127.0326997624773 37.50875342586989, 127.0315683194863 37.5087489443179)))"
552,ㅼ궗590452,141.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0361164032216 37.50516146156409, 127.0361108260263 37.50606279775681, 127.0372422292072 37.50606723552954, 127.0372477928012 37.5051658991932, 127.0361164032216 37.50516146156409)))"
553,ㅼ궗600478,13.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0472887605749 37.52864008315948, 127.0472833130881 37.52954141716996, 127.04841507257 37.5295457502263, 127.0484205064397 37.52864441607562, 127.0472887605749 37.52864008315948)))"
554,ㅼ궗618432,115.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0678992816254 37.48725478853969, 127.0678940898985 37.48815613139126, 127.0690252278716 37.48816026307614, 127.069030406009 37.48725892009082, 127.0678992816254 37.48725478853969)))"
555,ㅼ궗611463,91.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0598174154445 37.51516709913869, 127.059812121286 37.5160684367503, 127.0609436792011 37.51607264846359, 127.0609489597513 37.51517131071567, 127.0598174154445 37.51516709913869)))"
556,ㅼ궗648432,24.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.1018331110007 37.48737402448013, 127.1018283269642 37.48827537119174, 127.1029594715933 37.48827917799657, 127.1029642420399 37.48737783116172, 127.1018331110007 37.48737402448013)))"
557,ㅼ궗588452,29.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0338536248083 37.50515255379882, 127.0338480204104 37.50605388970322, 127.0349794230938 37.50605834914802, 127.0349850138905 37.50515701309931, 127.0338536248083 37.50515255379882)))"
558,ㅼ궗657420,64.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.1120692224903 37.47659171027856, 127.1120645632537 37.47749305974683, 127.1131955467341 37.47749676764576, 127.113200192388 37.47659541805745, 127.1120692224903 37.47659171027856)))"
559,ㅼ궗610465,81.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0586752556036 37.51696555153337, 127.058669947364 37.51786688873126, 127.0598015322615 37.51787111155793, 127.0598068268917 37.51696977422338, 127.0586752556036 37.51696555153337)))"
560,ㅼ궗579470,123.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0235680127717 37.52133593389172, 127.0235622813691 37.52223726598586, 127.0246939267091 37.52224182561013, 127.0246996444996 37.52134049336843, 127.0235680127717 37.52133593389172)))"
561,ㅼ궗586448,88.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0316133712875 37.50153825884615, 127.0316077406902 37.50243959501522, 127.0327390884723 37.50244407555197, 127.0327447054707 37.50154273923788, 127.0316133712875 37.50153825884615)))"
563,ㅼ궗633438,139.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0848362406902 37.49272369162004, 127.0848312514741 37.49362503561048, 127.0859624743942 37.4936290056271, 127.085967450017 37.49272766150814, 127.0848362406902 37.49272369162004)))"
564,ㅼ궗581470,61.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0258312764822 37.52134504200322, 127.0258255723038 37.52224637439213, 127.0269572181526 37.52225091233181, 127.0269629087188 37.52134957979606, 127.0258312764822 37.52134504200322)))"
565,ㅼ궗585476,23.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.030323904793 37.52677112388869, 127.030318253553 37.52767245603113, 127.0314499820979 37.52767695147435, 127.0314556197221 37.52677561918644, 127.030323904793 37.52677112388869)))"
566,ㅼ궗621432,198.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0712926554676 37.48726715070638, 127.0712875045092 37.48816849395817, 127.0724186431725 37.4881725931553, 127.0724237805412 37.48727124977082, 127.0712926554676 37.48726715070638)))"
568,ㅼ궗595458,34.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0417402947785 37.51059156071817, 127.0417347841173 37.5114928967941, 127.0428662701523 37.51149728123785, 127.0428717672085 37.51059594502004, 127.0417402947785 37.51059156071817)))"
569,ㅼ궗606417,37.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0544061006252 37.47368423036663, 127.054400749401 37.47458557366338, 127.0555316807818 37.47458983322955, 127.0555370184257 37.4736884897949, 127.0544061006252 37.47368423036663)))"
570,ㅼ궗618433,120.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0678940898985 37.48815613139126, 127.0678888979402 37.48905747410436, 127.0690200495035 37.48906160592298, 127.0690252278716 37.48816026307614, 127.0678940898985 37.48815613139126)))"
572,ㅼ궗601443,139.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0486105394703 37.4970976335042, 127.0486051140655 37.49799897250452, 127.0497363975479 37.4980032898224, 127.0497418093567 37.49710195068234, 127.0486105394703 37.4970976335042)))"
573,ㅼ궗604458,181.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0519235554116 37.51063062927191, 127.051918167196 37.51153196661232, 127.0530496554128 37.51153625351208, 127.0530550300233 37.51063491603292, 127.0519235554116 37.51063062927191)))"
574,ㅼ궗589440,51.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0350520840303 37.49434096970485, 127.0350464962211 37.4952423074166, 127.0361777359778 37.49524675429777, 127.036183310193 37.49434541644209, 127.0350520840303 37.49434096970485)))"
575,ㅼ궗612427,87.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0611389029977 37.48272305954083, 127.061133630908 37.48362440227497, 127.0622646995433 37.48362859825589, 127.0622699580466 37.4827272553859, 127.0611389029977 37.48272305954083)))"
576,ㅼ궗580472,16.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0246882086639 37.52314315771319, 127.024682490364 37.52404448967761, 127.0258141631847 37.52404903875401, 127.0258198678713 37.52314770664238, 127.0246882086639 37.52314315771319)))"
577,ㅼ궗599476,15.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0461679364312 37.52683307124288, 127.0461624758136 37.52773440538996, 127.0472942078192 37.52773874901042, 127.0472996548208 37.52683741472278, 127.0461679364312 37.52683307124288)))"
578,ㅼ궗584462,29.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0292714716074 37.51414795523809, 127.0292658102831 37.51504928917549, 127.0303973480102 37.51505379342196, 127.0304029957271 37.51415245933879, 127.0292714716074 37.51414795523809)))"
579,ㅼ궗592448,48.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0384013801275 37.50156497868228, 127.0383958311235 37.50246631571623, 127.0395271803977 37.50247073124513, 127.0395327158027 37.50156939406828, 127.0384013801275 37.50156497868228)))"
580,ㅼ궗594438,60.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0407192562604 37.49256041780456, 127.0407137369132 37.49346175650962, 127.0418449507177 37.49346614894717, 127.0418504564719 37.49256481009992, 127.0407192562604 37.49256041780456)))"
581,ㅼ궗596452,194.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.042904744404 37.50518792480302, 127.0428992488168 37.50608926185228, 127.0440306534755 37.50609363460859, 127.0440361354613 37.50519229741781, 127.042904744404 37.50518792480302)))"
582,ㅼ궗588434,60.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0339544612972 37.48892848382135, 127.0339488613907 37.48982982222027, 127.0350800193433 37.48983427906757, 127.0350856056594 37.48893294052439, 127.0339544612972 37.48892848382135)))"
584,ㅼ궗611462,35.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0598227093672 37.51426576138854, 127.0598174154445 37.51516709913869, 127.0609489597513 37.51517131071567, 127.0609542400664 37.51426997282923, 127.0598227093672 37.51426576138854)))"
585,ㅼ궗585447,72.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0304876812998 37.50063243145789, 127.0304820373551 37.50153376762018, 127.0316133712875 37.50153825884615, 127.031619001634 37.50063692253851, 127.0304876812998 37.50063243145789)))"
586,ㅼ궗590438,211.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0361944578785 37.49254274031503, 127.0361888841598 37.49344407844785, 127.0373200969773 37.49344851421002, 127.0373256571031 37.49254717593361, 127.0361944578785 37.49254274031503)))"
587,ㅼ궗601431,33.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0486756254826 37.48628155469478, 127.0486702029769 37.48718289535749, 127.0498013233472 37.48718721099864, 127.0498067322642 37.48628587019623, 127.0486756254826 37.48628155469478)))"
588,ㅼ궗585439,86.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0305328238086 37.49342173717013, 127.0305271818746 37.49432307444116, 127.0316584070381 37.49432756450429, 127.0316640353787 37.49342622708789, 127.0305328238086 37.49342173717013)))"
589,ㅼ궗647433,168.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.1006971825482 37.48827155355746, 127.1006923847082 37.48917290000711, 127.1018235427146 37.48917671776496, 127.1018283269642 37.48827537119174, 127.1006971825482 37.48827155355746)))"
590,ㅼ궗588450,25.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0338648328554 37.50334988157426, 127.0338592289567 37.50425121775583, 127.0349906044381 37.50425567691199, 127.0349961947368 37.50335434058607, 127.0338648328554 37.50334988157426)))"
591,ㅼ궗616438,100.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0656057166294 37.49265454637172, 127.0656004963285 37.49355588812385, 127.0667317153883 37.49356004227395, 127.0667369220961 37.49265870038735, 127.0656057166294 37.49265454637172)))"
592,ㅼ궗607458,61.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0553179799644 37.5106434570412, 127.0553126325642 37.51154479479681, 127.0564441214975 37.51154904918176, 127.0564494552926 37.51064771128848, 127.0553179799644 37.5106434570412)))"
593,ㅼ궗597466,20.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0439593654343 37.51781100547903, 127.0439538800288 37.51871234072981, 127.045085475415 37.51871670462688, 127.0450909472107 37.51781536923487, 127.0439593654343 37.51781100547903)))"
594,ㅼ궗646437,77.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0995467913382 37.49187310956625, 127.0995419790504 37.4927744553384, 127.1006731912109 37.49277828442179, 127.1006779899058 37.49187693852571, 127.0995467913382 37.49187310956625)))"
595,ㅼ궗644418,8.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0973763038985 37.47473982792006, 127.0973714685188 37.47564117607263, 127.0985024220897 37.4756450244505, 127.0985072438881 37.47474367617335, 127.0973763038985 37.47473982792006)))"
597,ㅼ궗591479,67.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0370974887429 37.52950193162793, 127.0370919184536 37.53040326422207, 127.0382236893475 37.53040769502869, 127.0382292460191 37.52950636229116, 127.0370974887429 37.52950193162793)))"
598,ㅼ궗582463,39.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0270027355861 37.51504024816405, 127.0269970467939 37.51594158167024, 127.0281285976239 37.51594610774218, 127.0281342728082 37.51504477408952, 127.0270027355861 37.51504024816405)))"
599,ㅼ궗639415,44.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0917363157413 37.47201638088835, 127.0917314131102 37.47291772882783, 127.0928623248562 37.47292163094909, 127.0928672139079 37.47202028288327, 127.0917363157413 37.47201638088835)))"
600,ㅼ궗584449,59.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0293450458791 37.5024306014379, 127.0293393878322 37.50333193717727, 127.0304707487115 37.50333643952896, 127.030476393159 37.50243510364388, 127.0293450458791 37.5024306014379)))"
601,ㅼ궗616447,105.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0655587255495 37.50076661715528, 127.0655535031555 37.50166795766098, 127.0666848445808 37.50167211302148, 127.0666900533762 37.50077077238128, 127.0655587255495 37.50076661715528)))"
