,STAT_CDE,MGRNU,A062_KND_C,SPRT_STD_C,EVE_CDE,SPRT_HOTDI,CSS_CDE,ESB_YMD,CAE_YMD,OD_PE_CDE,GU_CDE,CTRL_YNO_C,DONG_CDE,JIBUN,RMK,NW_PE_CDE,WORK_CDE,VIEW_CDE,SPRT_MET_C,ROB_GBN_CD,TFC_BSS_CD,XGEO,SIXID,LINK_ID,HISID,CTK_MGRNU,SPRT_MGRNU,FRM_CDE,RN_CDE,MNG_AGEN,MGRNU_1,STAT_CDE_1,A057_KND_C,ASN_LENX_C,EVE_CDE_1,SNLP_KND_C,BSNLP_KND_,ESB_YMD_1,CAE_YMD_1,A062_MGRNU,SP_RN_CDE,MK_CPY,WORK_CDE_1,VIEW_CDE_1,SIXID_1,CTK_MGRNU_,ASN_MGRNU,HISID_1,A062_POS,XCE,YCE,FB_CDE,FRM_CDE_1,MNG_AGEN_1,XGEO_1,ASN_DRN,SNLP_QUA,BSNLP_QUA,field_59,field_60,field_61,field_62,field_63,field_64,field_65,field_66,field_67,field_68,field_69,field_70,field_71,field_72,field_73,gid,geometry
2706,1,02-0000037553,1,4,1,2,4810.0,20000101,20000101,410.0,680,1.0,10200,659-1 도,,410,1,2,2,2,106,MDSYS.SDO_GEOMETRY(2001,2093,MDSYS.SDO_POINT_TYPE(204636.84634169,542327.444690347,NULL),NULL,NULL),,,210538,2005-0101-050,02-037553,2.0,,,03-0000013309,1.0,3.0,7.0,1.0,1,1.0,,,02-0000037553,2,,1,2,,2009-0101-095,03-013309,98430,,204636.84634169,542327.444690347,,,,MDSYS.SDO_GEOMETRY(2002,2093,NULL,MDSYS.SDO_ELEM_INFO_ARRAY(1,2,1),MDSYS.SDO_ORDINATE_ARRAY(204636.84634169,542327.444690347,204640.960838456,542321.781571386)),306.0,4,2.0,ㅼ궗604424,MULTIPOINT (127.0524242016029 37.48037632795432)
2707,1,02-0000039408,1,4,1,2,1738.0,20000101,20000101,280.0,680,1.0,10500,130 대,,280,1,2,2,1,106,MDSYS.SDO_GEOMETRY(2001,2093,MDSYS.SDO_POINT_TYPE(204661.543675529,545154.686186432,NULL),NULL,NULL),4196982.0,,211200,2010-0101-060,02-039408,5.0,,,03-0000029768,1.0,2.0,999.0,1.0,7,,,,02-0000039408,2,,1,2,,2000-0000-000,03-029768,31291,,204661.543675529,545154.686186432,2.0,,,MDSYS.SDO_GEOMETRY(2002,2093,NULL,MDSYS.SDO_ELEM_INFO_ARRAY(1,2,1),MDSYS.SDO_ORDINATE_ARRAY(204661.543675529,545154.686186432,204661.54554856196,545154.681550513)),292.0,1,0.0,ㅼ궗604452,MULTIPOINT (127.0527213321877 37.50584984176694)
2708,1,02-0000039504,1,2,1,2,184.0,20000101,20020901,280.0,680,1.0,10100,805-24 도,,410,1,2,2,2,106,MDSYS.SDO_GEOMETRY(2001,2093,MDSYS.SDO_POINT_TYPE(204481.69648611,544585.023604483,NULL),NULL,NULL),,,211201,2006-1101-019,02-039504,1.0,,,03-0000013724,1.0,2.0,999.0,1.0,7,,,,02-0000039504,2,,1,2,,2006-1101-019,03-013724,84626,,204481.69648611,544585.023604483,,,,MDSYS.SDO_GEOMETRY(2002,2093,NULL,MDSYS.SDO_ELEM_INFO_ARRAY(1,2,1),MDSYS.SDO_ORDINATE_ARRAY(204481.69648611,544585.023604483,204481.700941143,544585.025874435)),27.0,1,0.0,ㅼ궗602447,MULTIPOINT (127.0506838194899 37.50071804218879)
2709,1,02-0000039527,1,6,1,2,184.0,20000101,20020901,410.0,680,1.0,10600,896 대,,410,1,2,2,1,106,MDSYS.SDO_GEOMETRY(2001,2093,MDSYS.SDO_POINT_TYPE(204501.07878779,544586.563322113,NULL),NULL,NULL),4195662.0,,211202,2005-0101-055,02-039527,1.0,,,03-0000013736,1.0,3.0,7.0,1.0,3,,,,02-0000039527,2,,1,2,,2006-1101-019,03-013736,18287,,204501.07878779,544586.563322113,,,,MDSYS.SDO_GEOMETRY(2002,2093,NULL,MDSYS.SDO_ELEM_INFO_ARRAY(1,2,1),MDSYS.SDO_ORDINATE_ARRAY(204501.07878779,544586.563322113,204494.500939444,544584.16918111)),200.0,2,0.0,ㅼ궗603447,MULTIPOINT (127.0509030246359 37.50073182088379)
2710,1,02-0000039527,1,6,1,2,184.0,20000101,20020901,410.0,680,1.0,10600,896 대,,410,1,2,2,1,106,MDSYS.SDO_GEOMETRY(2001,2093,MDSYS.SDO_POINT_TYPE(204501.07878779,544586.563322113,NULL),NULL,NULL),4195662.0,,211202,2005-0101-055,02-039527,1.0,,,03-0000013737,1.0,2.0,999.0,1.0,7,,,,02-0000039527,2,,1,2,,2006-1101-019,03-013737,52967,,204501.07878779,544586.563322113,,,,MDSYS.SDO_GEOMETRY(2002,2093,NULL,MDSYS.SDO_ELEM_INFO_ARRAY(1,2,1),MDSYS.SDO_ORDINATE_ARRAY(204501.07878779,544586.563322113,204501.074151871,544586.56144908)),202.0,1,0.0,ㅼ궗603447,MULTIPOINT (127.0509030246359 37.50073182088379)
2711,1,02-0000039526,1,3,1,2,184.0,20000101,20020901,410.0,680,1.0,10600,896-7 대,,410,1,2,2,1,106,MDSYS.SDO_GEOMETRY(2001,2093,MDSYS.SDO_POINT_TYPE(204520.016779004,544585.98592147,NULL),NULL,NULL),4195667.0,,211203,2006-1101-019,02-039526,1.0,,,03-0000013735,1.0,2.0,999.0,1.0,7,,,,02-0000039526,2,,1,2,,2006-1101-019,03-013735,19149,,204520.016779004,544585.98592147,2.0,,,MDSYS.SDO_GEOMETRY(2002,2093,NULL,MDSYS.SDO_ELEM_INFO_ARRAY(1,2,1),MDSYS.SDO_ORDINATE_ARRAY(204520.016779004,544585.98592147,204520.018324089,544585.981166187)),288.0,1,0.0,ㅼ궗603447,MULTIPOINT (127.05111719212 37.500726525991)
2712,1,02-0000039512,1,6,1,2,184.0,20000101,20020901,280.0,680,1.0,10600,896-6 대,,410,1,2,2,1,106,MDSYS.SDO_GEOMETRY(2001,2093,MDSYS.SDO_POINT_TYPE(204519.469764652,544566.458878563,NULL),NULL,NULL),,,211204,2005-0101-055,02-039512,1.0,,,03-0000013729,1.0,2.0,999.0,1.0,7,,,,02-0000039512,2,,1,2,,2006-1101-019,03-013729,52963,,204519.46976465202,544566.458878563,2.0,,,MDSYS.SDO_GEOMETRY(2002,2093,NULL,MDSYS.SDO_ELEM_INFO_ARRAY(1,2,1),MDSYS.SDO_ORDINATE_ARRAY(204519.469764652,544566.458878563,204519.468054551,544566.463577026)),110.0,1,0.0,ㅼ궗603446,MULTIPOINT (127.0511108859735 37.50055058890415)
2713,1,02-0000039512,1,6,1,2,184.0,20000101,20020901,280.0,680,1.0,10600,896-6 대,,410,1,2,2,1,106,MDSYS.SDO_GEOMETRY(2001,2093,MDSYS.SDO_POINT_TYPE(204519.469764652,544566.458878563,NULL),NULL,NULL),,,211204,2005-0101-055,02-039512,1.0,,,03-0000013728,1.0,3.0,7.0,1.0,3,,,,02-0000039512,2,,1,2,,2006-1101-019,03-013728,52962,,204519.46976465202,544566.458878563,2.0,,,MDSYS.SDO_GEOMETRY(2002,2093,NULL,MDSYS.SDO_ELEM_INFO_ARRAY(1,2,1),MDSYS.SDO_ORDINATE_ARRAY(204519.469764652,544566.458878563,204516.961189005,544572.993941549)),111.0,2,0.0,ㅼ궗603446,MULTIPOINT (127.0511108859735 37.50055058890415)
2714,1,02-0000039429,1,7,1,2,184.0,20060811,20060811,410.0,680,1.0,10100,897-27 대,,410,1,2,2,1,106,MDSYS.SDO_GEOMETRY(2001,2093,MDSYS.SDO_POINT_TYPE(204490.895540089,544550.245196614,NULL),NULL,NULL),4195664.0,,211205,2005-0101-055,02-039429,2.0,,,03-0000013739,1.0,2.0,999.0,1.0,7,,,,02-0000039429,2,,1,2,,2006-1101-019,03-013739,70525,,204490.895540089,544550.245196614,,,,MDSYS.SDO_GEOMETRY(2002,2093,NULL,MDSYS.SDO_ELEM_INFO_ARRAY(1,2,1),MDSYS.SDO_ORDINATE_ARRAY(204490.895540089,544550.245196614,204490.900142613,544550.24715027)),23.0,1,0.0,ㅼ궗602446,MULTIPOINT (127.0507876399596 37.50040464207629)
2715,1,02-0000039429,1,7,1,2,184.0,20060811,20060811,410.0,680,1.0,10100,897-27 대,,410,1,2,2,1,106,MDSYS.SDO_GEOMETRY(2001,2093,MDSYS.SDO_POINT_TYPE(204490.895540089,544550.245196614,NULL),NULL,NULL),4195664.0,,211205,2005-0101-055,02-039429,2.0,,,03-0000013738,1.0,3.0,11.0,1.0,3,,,,02-0000039429,2,,1,2,,2006-1101-019,03-013738,70524,,204490.895540089,544550.245196614,,,,MDSYS.SDO_GEOMETRY(2002,2093,NULL,MDSYS.SDO_ELEM_INFO_ARRAY(1,2,1),MDSYS.SDO_ORDINATE_ARRAY(204490.895540089,544550.245196614,204501.094562489,544554.365869142)),22.0,2,0.0,ㅼ궗602446,MULTIPOINT (127.0507876399596 37.50040464207629)
