,gid,geometry
4909,ㅼ궗632427,MULTIPOINT (127.08395520171 37.48315238607517)
4910,ㅼ궗628400,MULTIPOINT (127.0796504956779 37.45891483650404)
4911,ㅼ궗648432,MULTIPOINT (127.102393616476 37.48776987936026)
4912,ㅼ궗648432,MULTIPOINT (127.102393616476 37.48776987936026)
4913,ㅼ궗575435,MULTIPOINT (127.0197148843942 37.48985273274278)
4914,ㅼ궗550417,MULTIPOINT (126.991196661432 37.47424268597058)
4915,ㅼ궗659420,MULTIPOINT (127.114844028224 37.47709909726573)
4916,ㅼ궗659420,MULTIPOINT (127.114844028224 37.47709909726573)
4917,ㅼ궗659420,MULTIPOINT (127.1151296210513 37.4771137847763)
4918,ㅼ궗639425,MULTIPOINT (127.0922350348402 37.48139248719719)
4919,ㅼ궗639425,MULTIPOINT (127.0922350348402 37.48139248719719)
4920,ㅼ궗641427,MULTIPOINT (127.0946756302154 37.48363442508609)
4921,ㅼ궗609429,MULTIPOINT (127.0582738731863 37.48467246021528)
4922,ㅼ궗609429,MULTIPOINT (127.0582738731863 37.48467246021528)
4923,ㅼ궗606391,MULTIPOINT (127.054744441153 37.45062633717437)
4924,ㅼ궗614396,MULTIPOINT (127.0643860763641 37.45515915109725)
4925,ㅼ궗655416,MULTIPOINT (127.110584452275 37.47337902828881)
4926,ㅼ궗655416,MULTIPOINT (127.110584452275 37.47337902828881)
4927,ㅼ궗653416,MULTIPOINT (127.1077692233134 37.47369044808418)
4928,ㅼ궗653417,MULTIPOINT (127.1079669513384 37.47395241629629)
4929,ㅼ궗651413,MULTIPOINT (127.1060527308854 37.47083218081691)
4930,ㅼ궗651413,MULTIPOINT (127.1060527308854 37.47083218081691)
4931,ㅼ궗651413,MULTIPOINT (127.1060527308854 37.47083218081691)
4932,ㅼ궗603394,MULTIPOINT (127.0513742562481 37.45302111561209)
4933,ㅼ궗603394,MULTIPOINT (127.0513742562481 37.45302111561209)
4934,ㅼ궗618444,MULTIPOINT (127.0687328876844 37.49821462051851)
4935,ㅼ궗602395,MULTIPOINT (127.0507721013192 37.4545431109346)
4936,ㅼ궗585453,MULTIPOINT (127.0312955232467 37.50664596412004)
4937,ㅼ궗608431,MULTIPOINT (127.0568734114324 37.4863506720864)
4938,ㅼ궗653417,MULTIPOINT (127.1077074879461 37.47391230043072)
4939,ㅼ궗590436,MULTIPOINT (127.0366702620518 37.49121694089907)
4940,ㅼ궗602395,MULTIPOINT (127.0507056791039 37.45467100497752)
4941,ㅼ궗631402,MULTIPOINT (127.0831199426165 37.46086287579008)
4942,ㅼ궗598458,MULTIPOINT (127.0461502186261 37.51082837348138)
4943,ㅼ궗598458,MULTIPOINT (127.0459761312385 37.51102783874596)
4944,ㅼ궗594437,MULTIPOINT (127.040874254022 37.49213535959605)
4945,ㅼ궗594437,MULTIPOINT (127.040874254022 37.49213535959605)
4946,ㅼ궗619444,MULTIPOINT (127.0692557607763 37.49829849968951)
4947,ㅼ궗619444,MULTIPOINT (127.0692557607763 37.49829849968951)
4948,ㅼ궗591433,MULTIPOINT (127.0376698468723 37.48856996086916)
4949,ㅼ궗612435,MULTIPOINT (127.0614680757237 37.49075413199486)
4950,ㅼ궗612435,MULTIPOINT (127.0614680757237 37.49075413199486)
4951,ㅼ궗612435,MULTIPOINT (127.0613438603086 37.49076036176567)
4952,ㅼ궗584463,MULTIPOINT (127.0301135621425 37.51565957336005)
4953,ㅼ궗584463,MULTIPOINT (127.0301135621425 37.51565957336005)
4954,ㅼ궗583466,MULTIPOINT (127.0288825382334 37.51828719414129)
4955,ㅼ궗647407,MULTIPOINT (127.1014501720074 37.46556896995764)
4956,ㅼ궗647407,MULTIPOINT (127.1014501720074 37.46556896995764)
4957,ㅼ궗610395,MULTIPOINT (127.0598270742243 37.45411703596039)
4958,ㅼ궗610398,MULTIPOINT (127.0598146757025 37.45738477420708)
4959,ㅼ궗610398,MULTIPOINT (127.0598146757025 37.45738477420708)
4960,ㅼ궗610398,MULTIPOINT (127.0596582415677 37.45698646029999)
4961,ㅼ궗610398,MULTIPOINT (127.0596582415677 37.45698646029999)
4962,ㅼ궗612395,MULTIPOINT (127.0619353766399 37.45452770390076)
4963,ㅼ궗612395,MULTIPOINT (127.0619353766399 37.45452770390076)
4964,ㅼ궗661417,MULTIPOINT (127.1170749803977 37.47444326124434)
4965,ㅼ궗652414,MULTIPOINT (127.1065801088068 37.47138789426781)
4966,ㅼ궗651413,MULTIPOINT (127.1061285322985 37.47072455065332)
4967,ㅼ궗652414,MULTIPOINT (127.1071369677865 37.47168710516117)
4968,ㅼ궗641425,MULTIPOINT (127.0942249181344 37.48177790687578)
4969,ㅼ궗641425,MULTIPOINT (127.0942249181344 37.48177790687578)
4970,ㅼ궗641425,MULTIPOINT (127.0941196277474 37.48192014548917)
4971,ㅼ궗641426,MULTIPOINT (127.0946442072516 37.48251709366821)
4972,ㅼ궗641426,MULTIPOINT (127.0946442072516 37.48251709366821)
4973,ㅼ궗596425,MULTIPOINT (127.0440171010918 37.4810612539289)
4974,ㅼ궗596425,MULTIPOINT (127.0440171010918 37.4810612539289)
4975,ㅼ궗546444,MULTIPOINT (126.9870012087621 37.4984099717763)
4976,ㅼ궗604390,MULTIPOINT (127.0530770637034 37.44984037791728)
4977,ㅼ궗605390,MULTIPOINT (127.0534580465849 37.44985081381807)
4978,ㅼ궗608396,MULTIPOINT (127.0577450089554 37.45561455421483)
4979,ㅼ궗605392,MULTIPOINT (127.0541313125646 37.45185237264683)
4980,ㅼ궗605392,MULTIPOINT (127.0540839563376 37.45199512407277)
4981,ㅼ궗605392,MULTIPOINT (127.0540839563376 37.45199512407277)
4982,ㅼ궗608388,MULTIPOINT (127.0574301888841 37.44790140628005)
4983,ㅼ궗608388,MULTIPOINT (127.0574301888841 37.44790140628005)
4984,ㅼ궗608388,MULTIPOINT (127.0574301888841 37.44790140628005)
4985,ㅼ궗608388,MULTIPOINT (127.0573340327671 37.44782713210039)
4986,ㅼ궗608388,MULTIPOINT (127.0573340327671 37.44782713210039)
4987,ㅼ궗592412,MULTIPOINT (127.0392869475851 37.46989065527929)
4988,ㅼ궗558419,MULTIPOINT (127.0011714781895 37.47591822664853)
4989,ㅼ궗607387,MULTIPOINT (127.0567573534574 37.44749256115305)
4990,ㅼ궗607387,MULTIPOINT (127.0566345567729 37.44737532821312)
4991,ㅼ궗607387,MULTIPOINT (127.0566345567729 37.44737532821312)
4992,ㅼ궗605391,MULTIPOINT (127.0541032811994 37.45043914123313)
4993,ㅼ궗607392,MULTIPOINT (127.0562467551375 37.45159730895568)
4994,ㅼ궗608391,MULTIPOINT (127.056840338952 37.45076953017299)
4995,ㅼ궗608391,MULTIPOINT (127.0568399552871 37.45093448881066)
4996,ㅼ궗609391,MULTIPOINT (127.0580308310718 37.45050636262373)
4997,ㅼ궗614395,MULTIPOINT (127.0646012588408 37.45446621203541)
4998,ㅼ궗614395,MULTIPOINT (127.0646012588408 37.45446621203541)
4999,ㅼ궗613395,MULTIPOINT (127.0632868562715 37.45436963055114)
5000,ㅼ궗613395,MULTIPOINT (127.0632868562715 37.45436963055114)
5001,ㅼ궗613395,MULTIPOINT (127.063257136349 37.45450315360771)
5002,ㅼ궗613395,MULTIPOINT (127.063257136349 37.45450315360771)
5003,ㅼ궗613395,MULTIPOINT (127.063257136349 37.45450315360771)
5004,ㅼ궗610396,MULTIPOINT (127.0595673630382 37.45503494431033)
5005,ㅼ궗610396,MULTIPOINT (127.0597748805693 37.45509159357749)
5006,ㅼ궗615396,MULTIPOINT (127.0649594103705 37.45514415899931)
