gid,acci_cnt,2030val,과속방지턱,무인카메라,신호등,버스아침승차,버스아침하차,버스저녁승차,버스저녁하차,관광여가오락,부동산,생활서비스,소매점,숙박,스포츠,음식점,학교,교육,출근시간자전거,퇴근시간자전거,지하철아침승차,지하철아침하차,지하철저녁승차,지하철저녁하차
다사589426,0.5,0,0,0,0.166666667,0.062516869,0.055925837,0.145458506,0.095918933,0,0,0,0,0,0,0,0,0,0.298969072,0.14418811,0,0,0,0
다사589446,1,0,0,0,0,0.008539453,0.04216692,0.090557697,0.073273612,0,0.035714286,0.019607843,0.008746356,0,0,0.003984064,0,0,0.149484536,0.053682343,0,0,0,0
다사589455,0.5,0.060240964,0,0,0.033333333,0,0,0,0,0,0,0.215686275,0.023323615,0,0,0.059760956,0,0.019230769,0.118556701,0.112244898,0,0,0,0
다사590447,0.5,0,0,0,0.366666667,0.22067907,0.381647627,0.442927289,0.631260139,0.076923077,0.035714286,0.039215686,0.008746356,0,0,0.06374502,0,0,0.077319588,0.028393966,0.133479697,0.857931248,0.737358546,0.206284129
다사590448,0.5,0,0,0,0.133333333,0.132674575,0.418035037,0.253380034,0.524862868,0.076923077,0.107142857,0.196078431,0.020408163,0.2,0,0.03187251,0,0,0.12371134,0.054569654,0,0,0,0
다사591453,0.5,0.205823293,0,0,0,0,0,0,0,0.076923077,0,0.137254902,0.008746356,0,0,0.039840637,0,0,0.038659794,0.034161491,0,0,0,0
다사591457,0.5,0.092369478,0,0,0,0,0,0,0,0,0.035714286,0.058823529,0.008746356,0,0,0.007968127,0,0,0.041237113,0.040372671,0,0,0,0
다사592441,0.5,0,0,0,0.533333333,0,0,0,0,0.230769231,0.071428571,0.078431373,0.002915452,0,0.333333333,0.039840637,0,0.019230769,0.201030928,0.067879326,0,0,0,0
다사592475,0.5,0,0,0,0,0,0,0,0,0.076923077,0.035714286,0.058823529,0.005830904,0,0.333333333,0.107569721,0,0.038461538,0.149484536,0.169476486,0,0,0,0
다사594467,0.5,0.045180723,0,0,0.033333333,0,0,0,0,0,0,0.137254902,0.020408163,0,0,0.015936255,0,0,0.113402062,0.114019521,0,0,0,0
다사595463,0.5,0.032128514,0,0,0.166666667,0.056352589,0.114749334,0.166982106,0.229737529,0.076923077,0.071428571,0.176470588,0.014577259,0,0,0.119521912,0,0,0.090206186,0.094942325,0,0,0,0
다사596449,0.5,0,0,0,0.133333333,0.01615987,0.101676896,0.143165357,0.056563768,0,0,0,0.020408163,0,0,0.011952191,0,0,0.105670103,0.030168589,0,0,0,0
다사601450,0.5,0.016064257,0,0,0.133333333,0,0,0,0,0,0.25,0.392156863,0.017492711,0,0,0.027888446,0,0,0.255154639,0.116237799,0,0,0,0
다사603464,0.5,0.009036145,0,0,0.233333333,0,0,0,0,0,0.035714286,0.039215686,0,0,0,0,0,0,0.067010309,0.062999113,0,0,0,0
다사606456,0.5,0.023092369,0,0,0,0,0,0,0,0,0,0.039215686,0.005830904,0,0.333333333,0.023904382,0,0,0.082474227,0.042590949,0,0,0,0
다사608454,0.5,0,0,0.5,0.133333333,0.005007123,0.237796064,0.096846049,0.033545883,0,0.071428571,0.137254902,0.020408163,0,0.666666667,0.035856574,0,0.019230769,0.190721649,0.062555457,0,0,0,0
다사608468,1,0,0,0,0.5,0.134053263,0.166846786,0.126005134,0.517904528,0,0.035714286,0,0,0,0,0.007968127,0,0,0.087628866,0.076308784,0,0,0,0
다사609443,0.5,0.012048193,0,0,0,0,0,0,0,0.076923077,0,0.078431373,0.011661808,0,0,0.039840637,0,0.346153846,0.074742268,0.042147294,0,0,0,0
다사610452,0.5,0.076305221,0,0,0,0,0,0,0,0,0,0.019607843,0.008746356,0,0,0.067729084,0,0.038461538,0.347938144,0.1472937,0,0,0,0
다사611453,0.5,0.068273092,0,0,0,0,0,0,0,0.076923077,0.107142857,0.019607843,0,0,0,0.023904382,0,0.019230769,0.280927835,0.126885537,0,0,0,0
다사612444,0.5,0,0,0,0.133333333,0,0,0,0,0,0.035714286,0.019607843,0.011661808,0,0,0.035856574,0,0.115384615,0.090206186,0.050576752,0,0,0,0
