,gid,acci_cnt,lm_nb.step
140,다사575458,0.0,0.015681954860826
141,다사597444,0.0,0.0156327927130423
142,다사604473,0.0,0.0156276959608662
143,다사563460,0.0,0.0153385276542323
144,다사591471,0.0,0.0152656824260319
145,다사567438,0.0,0.0152293070479877
146,다사552424,0.0,0.0151851626754966
147,다사583466,0.0,0.015155292948868
148,다사622436,0.0,0.0151508730531819
149,다사578444,0.0,0.015006959360626
150,다사592437,0.0,0.0149089518415172
151,다사588410,0.0,0.0148535360469798
152,다사654417,0.0,0.0146835146655906
153,다사554427,0.0,0.0146620430113353
154,다사545432,0.0,0.0143184623320942
155,다사569442,0.0,0.0140835592059284
156,다사605460,0.0,0.0137786601543955
157,다사556446,0.0,0.013764287067014
158,다사587435,0.0,0.0136735693096642
159,다사596457,0.0,0.0136116736136456
160,다사602467,0.0,0.0135864993902689
161,다사606457,0.0,0.0134916917311974
162,다사593473,0.0,0.0134614172585847
163,다사546436,0.0,0.013443113241771
164,다사556460,0.0,0.0134334165554171
165,다사548431,0.0,0.0134290066650892
166,다사617457,0.0,0.0132391952051607
167,다사584428,0.0,0.0130986098957697
168,다사623433,0.0,0.013096812773692
169,다사545430,0.0,0.0130889922307411
170,다사564461,0.0,0.0130188488764021
171,다사573447,0.0,0.0129688536482123
172,다사598441,0.0,0.0128577401391841
173,다사586434,0.5,0.0127121446428585
174,다사574470,0.0,0.0126820765980107
175,다사575402,0.0,0.0125980235294676
176,다사653416,0.0,0.0125970329849544
177,다사631431,0.0,0.0124998837648341
178,다사585414,0.0,0.0124777575597509
179,다사554448,0.0,0.012430082783727
180,다사588452,0.0,0.0123646419609984
181,다사597427,0.0,0.0123328508417033
182,다사601449,0.0,0.012318370162601
183,다사613445,0.5,0.0122904253574174
184,다사646433,0.0,0.011964769913696
185,다사567465,0.0,0.0119526801749681
186,다사595428,0.0,0.0119276580065484
187,다사599422,0.0,0.0117743124349272
188,다사553450,0.0,0.0117675853187899
189,다사570463,0.0,0.011739569513884
190,다사582415,0.0,0.0117305580453393
191,다사574463,0.0,0.0116819875614313
192,다사607436,0.0,0.0116814808862229
193,다사599439,0.0,0.0116793683512553
194,다사587429,0.0,0.0116714076510101
195,다사581448,0.5,0.0116668646887243
196,다사650426,0.0,0.011634171655967
197,다사592421,0.0,0.0116139395605077
198,다사553430,0.0,0.0115658409841178
199,다사635437,0.0,0.0114237893798085
200,다사555459,0.0,0.0114119179669823
201,다사595438,0.0,0.0112877940504964
202,다사604452,0.0,0.0111977949230591
203,다사564437,0.0,0.0111584899598557
204,다사641428,0.0,0.0110302400880342
205,다사603432,0.0,0.0110196786964689
206,다사597428,0.0,0.0109992626594204
207,다사615451,0.0,0.0109660135167639
208,다사601422,0.0,0.0109358992773053
209,다사562436,0.0,0.0109091416825971
210,다사602466,0.0,0.0108259802244341
211,다사610462,0.0,0.0108153496470306
212,다사595451,0.0,0.0107856852433142
213,다사608459,0.0,0.0107686965170228
214,다사561456,0.0,0.0107486660013037
215,다사545449,0.0,0.0107267998334512
216,다사610397,0.0,0.0106596266439888
217,다사612443,0.0,0.0106317242748979
218,다사589427,0.0,0.0106253921635777
219,다사570433,0.0,0.0105778449978907
220,다사561448,0.0,0.0105764971401086
221,다사582433,0.0,0.0105696340999555
222,다사577458,0.0,0.01050088932483
223,다사589470,0.0,0.0104269737106468
224,다사600449,0.0,0.0104244284571914
225,다사594464,0.0,0.0104233168830306
226,다사651418,0.0,0.010396426799169
227,다사605425,0.0,0.0103451240084583
228,다사570435,0.0,0.0103229944203188
229,다사616456,0.0,0.0103033722371478
230,다사570439,0.0,0.0102773593527396
231,다사570464,0.0,0.0102672251669967
232,다사553449,0.0,0.0102536195718477
233,다사587462,0.5,0.0102349762655386
234,다사575471,0.0,0.0101815893086121
235,다사587455,0.0,0.0101597555988921
236,다사609457,0.0,0.0101426237199809
237,다사604443,0.0,0.0100629105134351
238,다사618444,0.0,0.0100394782986495
239,다사613439,0.0,0.0100274756005143
240,다사585468,0.0,0.00999412510960687
241,다사552432,0.0,0.00991877072949307
242,다사559418,0.0,0.00991560540424414
243,다사568428,0.0,0.00991359795876946
244,다사571466,0.0,0.00989155467734459
245,다사580451,0.0,0.00983662664520714
246,다사596446,0.0,0.00977286312426658
247,다사600417,0.0,0.00974685078358417
248,다사605431,0.0,0.00972809240673733
249,다사569432,0.0,0.00968608971337415
250,다사589405,0.0,0.00968374521365147
251,다사611461,0.0,0.00961054551137509
252,다사542422,0.0,0.00960691907150227
253,다사607453,0.0,0.00958157052915512
254,다사617447,0.0,0.00941062187933732
255,다사613456,0.0,0.00936332247163603
256,다사592416,0.0,0.00934539183202814
257,다사575463,0.0,0.00931460786806452
258,다사648432,0.5,0.00929133342439491
259,다사595420,0.0,0.00925403477243745
260,다사593456,0.0,0.00918778371923899
261,다사584434,0.0,0.00907340981167011
262,다사653407,0.0,0.00906946868477356
263,다사577447,0.0,0.00906805933143544
264,다사594419,0.0,0.00906670411243008
265,다사567451,0.0,0.00901473017669174
266,다사583468,0.0,0.00900673905753613
267,다사565454,0.0,0.00897358991319781
268,다사616459,0.0,0.00896613586790656
269,다사586431,0.0,0.0089482034290062
270,다사637405,0.0,0.00893687232532956
271,다사590420,0.0,0.00892305653990284
272,다사560455,0.0,0.00891491412013625
273,다사579474,0.0,0.00887459722035804
274,다사608453,0.0,0.00884499371350961
275,다사616434,0.0,0.00880645141862867
276,다사606474,0.0,0.00880049779532324
277,다사565437,0.0,0.00878167790112725
278,다사581444,0.5,0.00877548400229012
279,다사576461,0.0,0.00875436734458207
280,다사569444,0.0,0.00873651350075947
281,다사583472,0.0,0.00869090258756677
282,다사567462,0.0,0.00863681281860449
283,다사610398,0.0,0.00862862556750306
284,다사646415,0.0,0.0085973004943354
285,다사607470,0.0,0.00856993132094932
286,다사626439,0.0,0.00856898745450153
287,다사562435,0.0,0.0085641417692487
288,다사572463,0.0,0.00854193236012913
289,다사616462,0.0,0.00853018520072713
290,다사600451,0.0,0.00850523611217243
291,다사588417,0.0,0.00842902980427557
292,다사600472,0.0,0.00842441271324742
293,다사658421,0.0,0.00839518121400268
294,다사609449,0.0,0.00836492846196365
295,다사655420,0.0,0.00833863633675449
296,다사570429,0.0,0.00830289531879917
297,다사576435,0.0,0.00830177566015065
298,다사617430,0.0,0.00829261501296449
299,다사558452,0.0,0.00829150762744276
300,다사558420,0.0,0.00824111921130023
301,다사574430,0.0,0.00817439139463254
302,다사601417,0.0,0.00812494190679179
303,다사593469,0.0,0.00812441016892474
304,다사605474,0.0,0.00810022220920206
305,다사619442,0.0,0.00806288220645011
306,다사606389,0.0,0.00804139332801849
307,다사632427,0.0,0.00797412304144425
308,다사587470,0.0,0.00793832902520115
309,다사546447,0.0,0.00792932099723756
