"","pre"
"629",-6.01466429204438
"630",-4.64791376211153
"631",-4.67095508656017
"632",-3.69905954640906
"633",-5.55180621731314
"634",-4.44975052141597
"635",-6.08140137310028
"636",-6.02195839477479
"637",-5.02014363714476
"638",-5.80773233083463
"639",-3.94683599148917
"640",-4.8383779826195
"641",-6.14500817458486
"642",-4.52580645728295
"643",-5.42049891202532
"644",-5.31149409978527
"645",-6.16324343141088
"646",-18.3253010957538
"647",-5.89283019602271
"648",-5.46082186917046
"649",-5.49530159721553
"650",-4.78009740274191
"651",-5.97915769088848
"652",-3.68189751158974
"653",-5.66917692760175
"654",-21.139389583718
"655",-5.96238988914313
"656",-5.58256511279886
"657",-5.00653920430373
"658",-4.89061195772932
"659",-6.77363335729878
"660",-5.19133564698435
"661",-4.72790366211112
"662",-5.17462699351374
"663",-5.03983870880883
"664",-5.82951574557353
"665",-3.59512994295577
"666",-5.34885073789166
"667",-5.48784308782885
"668",-5.53106376192333
"669",-5.63192501918473
"670",-6.1863414233905
"671",-5.19848619034174
"672",-5.83595877514941
"673",-4.15838447405237
"674",-5.54472699056681
"675",-5.50327994937123
"676",-4.66591624049883
"677",-5.4514746059866
"678",-5.32876939784762
"679",-5.73338181091004
"680",-4.91064910988541
"681",-5.24433930244178
"682",-5.35766361194464
"683",-5.62902681393966
"684",-5.44830846171163
"685",-5.6251560566514
"686",-4.87703349894754
"687",-4.88556141261406
"688",-3.42464557381559
"689",-4.38203593353135
"690",-5.49963289800603
"691",-6.02560544614
"692",-5.7604718405339
"693",-4.83922902584152
"694",-5.58703417998748
"695",-5.04229963604796
"696",-5.49877335703703
"697",-4.32457351542982
"698",-2.18181528910107
"699",-3.35296757090389
"700",-5.15734150404
"701",-6.53178630617621
"702",-4.94393085594919
"703",-5.36744124714
"704",-4.56629310887437
"705",-5.6399974811488
"706",-5.14587627948298
"707",-4.99624454658778
"708",-5.94077329813347
"709",-6.02074271098639
"710",-5.20141011293155
"711",-6.17661595308329
"712",-5.18435226456638
"713",-5.43965123367684
"714",-5.57100341897635
"715",-3.94746365902899
"716",-5.68399830159926
"717",-3.79277668521715
"718",-5.2937918708917
"719",-5.14645031833469
"720",-5.5426912032815
"721",-4.08839078062373
"722",-4.75630702100703
"723",-6.0419189118712
"724",-4.57528403566636
"725",-3.92690057701121
"726",-6.0292524975052
"727",-5.00618330021822
"728",-5.54704456575367
"729",-4.45061321862102
"730",-4.5910085647848
"731",-5.99790930543865
"732",-5.84228436416765
"733",-5.81222450368009
"734",-6.0776988791128
"735",-5.86271501098279
"736",-3.35620327002677
"737",-4.44479013357975
"738",-4.68269563094755
"739",-5.11682904520128
"740",-5.36939201162156
"741",-4.18743646763551
"742",-5.20508654435583
"743",-3.8884761897909
"744",-3.01218666435744
"745",-5.86955723021677
"746",-6.59206868362991
"747",-5.87304150815477
"748",-4.22249323266209
"749",-6.41440333366329
"750",-6.04853916114944
"751",-4.3452046694331
"752",-6.12926249093747
"753",-6.20351854670678
"754",-6.02275577253243
"755",-5.7276040197278
"756",-4.89155967832723
"757",-4.61607394880215
"758",-6.176387015991
"759",-4.70240714154999
"760",-5.59787747597485
"761",-4.24620550226028
"762",-6.57844048186574
"763",-2.48631696804148
"764",-3.95591417426072
"765",-5.83910426428559
"766",-5.06031505759234
"767",-6.07806064789315
"768",-6.04583839544603
"769",-5.01232434944783
"770",-6.82894061524128
"771",-4.67287190936322
"772",-6.18727370458973
"773",-6.47022986363957
"774",-5.83612304959776
"775",-3.61853354481423
"776",-6.71726647842171
"777",-4.38763571348862
"778",-5.86760365659451
"779",-5.14531751258629
"780",-5.63506588051122
"781",-3.84340012781002
"782",-4.57338140400935
"783",-5.48846244087179
"784",-6.23532504059498
"785",-4.79128585210322
"786",-5.39213372244231
"787",-5.31871111644947
"788",-4.85482912617503
"789",-5.97807434315572
"790",-5.70126234985643
"791",-5.09370774413633
"792",-6.91077877406839
"793",-5.55721069560659
"794",-5.0283555720823
"795",-5.89567132108818
"796",-6.71707042622926
"797",-5.27527744133368
"798",-5.04112443167953
"799",-4.09907295147712
"800",-4.44970714812873
"801",-6.69552475465334
"802",-5.1737413595632
"803",-6.39083101332143
"804",-6.48889217864284
"805",-6.84558479935737
"806",-5.76837067566199
"807",-6.48259356325782
"808",-5.75808233839901
"809",-5.92418940253181
"810",-4.71911672966197
"811",-6.22187949872668
"812",-6.09589563138861
"813",-3.25619836293539
"814",-5.11136303822444
"815",-6.58157442849621
"816",-5.97431051041806
"817",-2.55633732315638
"818",-5.22781377871029
"819",-5.33783949754024
"820",-4.34135705806097
"821",-5.63622112649811
"822",-6.80652376971889
"823",-5.46009893224004
"824",-5.52890144384834
"825",-5.89670333787467
"826",-5.78721179231471
"827",-5.61450558686378
"828",-6.86998315707586
"829",-4.31033823506367
"830",-5.79282637482411
"831",-5.70450359122752
"832",-5.8938132720891
"833",-4.96488253225762
"834",-4.86767848162374
"835",-5.79422257760458
"836",-6.16062736960001
"837",-6.3654198023867
"838",-5.70917288899182
"839",-3.31068661994869
"840",-4.61332628376288
"841",-4.73508778468197
"842",-6.1079849725922
"843",-5.21462200130509
"844",-5.49126466781445
"845",-6.00164651710404
"846",-6.27733341955
"847",-4.42679974332911
"848",-5.36725637139631
"849",-6.00905225709141
"850",-5.97260590192922
"851",-5.79439375281355
"852",-6.50150657659007
"853",-5.98880959718272
"854",-5.50667733305484
"855",-6.20462241115651
"856",-6.03048436882071
"857",-5.67544009272173
"858",-3.99983811121904
"859",-5.68264150909088
"860",-4.30928833069963
"861",-5.43420921858977
"862",-5.03691835189822
"863",-4.6370644728751
"864",-6.23813356325564
"865",-5.64478697888732
"866",-5.33283643189584
"867",-5.27429305580442
"868",-4.96348076724044
"869",-6.23920322309765
"870",-5.84473909750943
"871",-5.68667621556586
"872",-5.6392105137525
"873",-7.32019884232972
"874",-4.70299700341271
"875",-6.23801676172625
"876",-5.07400103585564
"877",-5.58087671934444
"878",-6.71673289645269
"879",-5.75885004834211
"880",-5.08174238662728
"881",-6.51725929961185
"882",-3.23509054833566
"883",-4.61384793308487
"884",-5.98093581370575
"885",-5.34344102649472
"886",-5.40869009376532
"887",-7.16994728776906
"888",-6.44399078788967
"889",-5.25331414130622
"890",-5.75392045111062
"891",-3.2826912994028
"892",-4.58012450677306
"893",-3.40967235753487
"894",-3.73379523083797
"895",-5.78531576275523
"896",-6.04871029764654
"897",-5.75005534351551
"898",-4.45969926790449
"899",-4.82315291130204
"900",-5.65618281711529
"901",-4.28567793489984
"902",-5.21551245564614
"903",-5.54445926890902
"904",-4.80674901211058
"905",-4.54977009654463
"906",-5.40282684169183
"907",-5.95018272174531
"908",-5.94064982620184
"909",-5.52709106793619
"910",-6.30121489664394
"911",-6.31195883143154
"912",-6.38833850846129
"913",-6.22808265617208
"914",-6.03604533221017
"915",-4.03365356239222
"916",-4.88281593356214
"917",-5.89707849764377
"918",-5.21499763675272
"919",-6.06672196237193
"920",-6.70258606364695
"921",-6.5428691587261
"922",-5.96217204721242
"923",-5.39635260123132
"924",-6.08274991012119
"925",-6.25559144348161
"926",-4.19924122810127
"927",-3.74594280069974
"928",-6.22808265617208
"929",-5.364287770874
"930",-5.94195033167546
"931",-5.61801075608915
"932",-4.76017135429994
"933",-5.75707439852286
"934",-6.43297319817488
"935",-5.80757094342937
"936",-5.86472389204615
"937",-6.96392705262284
"938",-5.24866331924519
"939",-4.5350100116099
"940",-6.65319010027191
"941",-5.05890584590015
"942",-6.02473220917462
"943",-4.8371878715626
"944",-5.44019968371644
"945",-6.54899652648035
"946",-5.01968802984456
"947",-5.86660596196559
"948",-6.49846570538573
"949",-6.06810065060197
"950",-5.57138631420748
"951",-6.29862183801627
"952",-5.92293281846201
"953",-6.17691254837626
"954",-6.46681962116172
"955",-5.93925564982356
"956",-6.02808897860494
"957",-6.05075634383741
"958",-5.66336882046027
"959",-6.50515482796244
"960",-5.79183045796642
"961",-4.54129188487508
"962",-5.4426311032468
"963",-5.47725423342185
"964",-5.66698058258973
"965",-2.52416052113952
"966",-5.2332294257753
"967",-5.94219194585007
"968",-5.89511161987986
"969",-6.34345516190553
"970",-6.13613468726551
"971",-5.10356527749094
"972",-5.98992461850247
"973",-5.49360351919902
"974",-4.15524459958514
"975",-5.27171059209348
"976",-6.04975465892306
"977",-5.32245750255242
"978",-5.80641850345977
"979",-6.27380981857197
"980",-5.15052272451577
"981",-6.74392806459908
"982",-5.60860319599315
"983",-3.62866199302922
"984",-4.95786268847231
"985",-5.49306945691178
"986",-4.91271234168779
"987",-5.82459304433125
"988",-5.41220052610897
"989",-7.18005281509597
"990",-7.06533383797493
"991",-6.73781403542545
"992",-2.45106665544671
"993",-6.71228860575197
"994",-5.98474174362981
"995",-6.35684223707716
"996",-5.2362929699004
"997",-6.19626350515645
"998",-6.47166898405056
"999",-5.03191050334469
"1000",-5.76846231360999
"1001",-4.33598368974542
"1002",-5.78537020825451
"1003",-5.98609245501297
"1004",-5.73265874382214
"1005",-6.44954177193675
"1006",-6.84823192319046
"1007",-6.09879761835369
"1008",-4.54899355969965
"1009",-3.42683563705789
"1010",-3.22749854914757
"1011",-5.44646009359189
"1012",-3.86849174024136
"1013",-5.72261266172397
"1014",-4.99228048981578
"1015",-5.6565914473632
"1016",-2.761795423708
"1017",-6.04186809545959
"1018",-5.77392446171344
"1019",-6.69151006797136
"1020",-3.43616360224899
"1021",-5.47605989468249
"1022",-6.01289948848526
"1023",-4.10764730149745
"1024",-5.38033302247395
"1025",-6.00007608658357
"1026",-5.28118299496006
"1027",-5.21611898446555
"1028",-4.79861911767109
"1029",-5.17894932732301
"1030",-3.98038544935744
"1031",-6.67201211853664
"1032",-6.09302949776093
"1033",-5.43287852449778
"1034",-4.64527170350018
"1035",-6.01289948848526
"1036",-5.89770828451305
"1037",-5.98348064134548
"1038",-4.93145702640746
"1039",-5.90425385977285
"1040",-5.38787953124295
"1041",-6.6562849589289
"1042",-4.85041152103294
"1043",-4.445558043251
"1044",-5.61893828705265
"1045",-6.27902589333723
"1046",-5.61948011486509
"1047",-5.41534128380167
"1048",-6.77847636050747
"1049",-6.18853367155352
"1050",-6.20943308360074
"1051",-5.71535883214973
"1052",-6.22940816028878
"1053",-6.39772046162441
"1054",-5.01608653260901
"1055",-7.65087199558674
"1056",-5.86071754632245
"1057",-5.55300068524708
"1058",-6.58087184944254
"1059",-6.79615938446164
"1060",-5.36196686890123
"1061",-5.53881525747488
"1062",-3.89570743710054
"1063",-3.17374550775607
"1064",-6.19120415854411
"1065",-5.46356388647855
"1066",-5.84420284448667
"1067",-4.1064991894411
"1068",-4.95262548001927
"1069",-5.03444313819735
"1070",-42.0372298961836
"1071",-6.19241984233251
"1072",-4.71756960276316
"1073",-5.15263158394859
"1074",-6.09881219062562
"1075",-7.76101225932882
"1076",-5.35063522639579
"1077",-5.51140947897385
"1078",-3.66871671459811
"1079",-5.12275202079461
"1080",-7.57446414740417
"1081",-5.54989282795895
"1082",-5.76205293501532
"1083",-5.86608515267789
"1084",-5.82956279747202
"1085",-6.11461607987483
"1086",-4.94908095692248
"1087",-5.91984095654909
"1088",-5.40116251114553
"1089",-5.89404587981111
"1090",-5.79002850837172
"1091",-5.84863539947376
"1092",-5.88622853605841
"1093",-5.00852626348298
"1094",-2.11972089445039
"1095",-5.23434811495302
"1096",-6.18998847475571
"1097",-3.41186295414105
"1098",-4.18453361225836
"1099",-5.89769293117632
"1100",-4.79252346540028
"1101",-4.70314646430985
"1102",-5.50232998276438
"1103",-5.67209553297403
"1104",-5.87035771522621
"1105",-5.34888810824428
"1106",-5.89641403859954
"1107",-4.13556544710915
"1108",-6.29281282893079
"1109",-6.1814786882369
"1110",-4.96959476626311
"1111",-4.75172165095775
"1112",-5.45465259783518
"1113",-5.71543582574839
"1114",-2.89626850941034
"1115",-5.89404587981111
"1116",-6.24209841467199
"1117",-5.24435328104192
"1118",-5.58397998892165
"1119",-6.04262501917761
"1120",-5.93323018270713
"1121",-5.29201668737098
"1122",-6.07610512254993
"1123",-5.85514399858228
"1124",-6.04140933538921
"1125",-5.97367167346013
"1126",-5.65550614010293
"1127",-5.9247036917027
"1128",-4.77607360205333
"1129",-3.90534894681481
"1130",-6.26398072286322
"1131",-4.79115099141833
"1132",-6.15230227731527
"1133",-3.41315819618147
"1134",-3.91126562092879
"1135",-4.76276802510023
"1136",-6.00858587310238
"1137",-5.9796751793623
"1138",-5.35036950921424
"1139",-5.54947593333048
"1140",-5.7241143859999
"1141",-3.9951877152713
"1142",-6.1802630044485
"1143",-3.09050127358686
"1144",-4.99009329631306
"1145",-4.94482456917182
"1146",-5.17037698110606
"1147",-3.12544901558853
"1148",-5.71951884864445
"1149",-5.71385896194619
"1150",-5.27286973926567
"1151",-3.75348283945746
"1152",-6.18877279096731
