,gid,pre,경도,위도
448,다사584464,0.00575724000763851,127.02982309686602,37.51640354294032
449,다사622443,0.00575698427908676,127.07293032776722,37.497638736096874
450,다사595449,0.0057491112410715,127.04235280386855,37.502932390911376
451,다사641426,0.00574253436614957,127.09450755862727,37.48239161168774
452,다사562427,0.00571675359245276,127.00514901152454,37.48295250018433
453,다사577427,0.00571211398823995,127.02211478137009,37.48302234116239
454,다사594438,0.00570044600000296,127.04128210009465,37.493013284242956
455,다사579442,0.00568242624806454,127.02429115513014,37.49655152557053
456,다사634439,0.00568176718433434,127.08652560144478,37.494081658144665
457,다사583430,0.00566857116832611,127.02888412650167,37.48575361097596
458,다사561431,0.00566334053938539,127.00399412741453,37.486553098068505
459,다사590455,0.00565832711308829,127.03666260051725,37.508318357583995
460,다사612462,0.0056555058176488895,127.0615173687817,37.514722743010445
461,다사600440,0.00564539320162267,127.04805848407,37.49484212245244
462,다사607388,0.00563392271447775,127.05625430698558,37.44800226692108
463,다사596425,0.00562495888368111,127.04361580370357,37.481304627828806
464,다사603394,0.00561248010962211,127.0516999102209,37.453393280976236
465,다사595480,0.00560356506769315,127.04218213482831,37.530873783540365
466,다사652416,0.0055944895909543,127.10699638012983,37.473420168524335
467,다사605392,0.00559271470854757,127.05397183865396,37.45159914378886
468,다사574471,0.00556960756017417,127.01846698408615,37.522667278695444
469,다사607454,0.00556456954871033,127.05590240782097,37.507490901574144
470,다사614455,0.00552492177338917,127.063817163074,37.50842175169678
471,다사592471,0.0055141393418738785,127.03883674084521,37.52274857260057
472,다사599429,0.00550879092397915,127.0469871296458,37.484923049732465
473,다사605391,0.005496244143246971,127.05397719058669,37.45069779702999
474,다사550444,0.005488575415151561,126.99147256935758,37.49821752641071
475,다사594472,0.00547761402501023,127.04109453137647,37.52365872254034
476,다사585417,0.0054713816246201785,127.03121952432932,37.47404519660507
477,다사586439,0.0054541668989157,127.03222683052104,37.49387913627833
478,다사557456,0.00545340093502461,126.99931929192857,37.509067329420716
479,다사551435,0.00543648807354143,126.99265872365015,37.490110401692164
480,다사563421,0.0054344463194102785,127.00631564237116,37.47754921519087
481,다사563461,0.0054316492838107295,127.00607825363204,37.513602566548684
482,다사581441,0.00542835583087453,127.02655936104809,37.49565927833355
483,다사630433,0.00542323474717501,127.08203081997887,37.488657670827735
484,다사580481,0.00539466436849073,127.02519976878027,37.53170808182761
485,다사651426,0.00539037003828351,127.10581811739493,37.482429888269095
486,다사613396,0.005383122687798021,127.06299555050921,37.45523832266153
487,다사618447,0.00538198930140983,127.06838445138483,37.50122765487552
488,다사640410,0.00537401278801003,127.09345463056403,37.467966161061604
489,다사584469,0.00537385405905767,127.02979481859549,37.52091020987294
490,다사604434,0.0053726789944018,127.05261568691908,37.48945130452649
491,다사593419,0.00536524209673913,127.04025584552326,37.4758834274097
492,다사586453,0.00536420386460387,127.03214810436349,37.5064978475413
493,다사630434,0.00534659077092399,127.08202579778627,37.48955901511834
494,다사555445,0.00533626437650439,126.99712291425152,37.499143072406895
495,다사595461,0.00533476824286006,127.04228676638864,37.51374842966288
496,다사592464,0.00533086009745382,127.0388755699887,37.51643923177952
497,다사583411,0.00533029809312735,127.02899162205036,37.46862815826938
498,다사600416,0.00531994151079969,127.04818876986981,37.473209938254406
499,다사661417,0.00531230501143138,127.11717008304917,37.47435493394946
500,다사598449,0.00529148533760795,127.04574687540386,37.50294549144197
501,다사600473,0.00528617329467475,127.0478791135342,37.52458624542634
502,다사607461,0.00527730724705806,127.0558650244699,37.513800266830266
503,다사573426,0.0052772334782067104,127.01759636539826,37.482102617787596
504,다사607434,0.00527590516213675,127.05600915319128,37.48946410629739
505,다사606388,0.00527404191098366,127.0551237758513,37.447998016828606
506,다사651430,0.00527229636186362,127.105799174882,37.486035279048494
507,다사599458,0.0052594760490889,127.04682919795229,37.51106187263277
508,다사556441,0.00525453734603941,126.99827832817914,37.49554255314449
509,다사575474,0.0052310995709525295,127.01958129601326,37.52537588086929
510,다사569449,0.00523015616803949,127.01293761136547,37.50281476825944
511,다사590478,0.00520398912321607,127.03653439865761,37.52904904544706
512,다사588469,0.0052010857287065285,127.03432132536236,37.52092814391482
513,다사602459,0.0052009825267948,127.0502182309226,37.51197618398596
514,다사585461,0.00519368302744805,127.03097157824769,37.513704039725596
515,다사645438,0.00518056955294622,127.09897396343128,37.49322320906955
516,다사608471,0.00517812307542735,127.05694325862629,37.52281788467664
517,다사650427,0.00516445400034896,127.10468231166071,37.483327457113184
518,다사629445,0.00516445400034896,127.08083922839052,37.49946978440793
519,다사578405,0.0051602549473277,127.02337177208531,37.46319744149097
520,다사609456,0.00515574439887914,127.05815463837095,37.50930206446095
521,다사583477,0.00515543896647875,127.02861782528525,37.52811635797365
522,다사579480,0.00514917539094014,127.02407370762383,37.53080219536467
523,다사542424,0.005134819474591421,126.98254672579529,37.48015159154307
524,다사589484,0.0051290672243831294,127.03536910127882,37.53445259119503
525,다사595408,0.00512887091141429,127.0425781657942,37.46597744130475
526,다사591422,0.00512157609726513,127.0379773017951,37.4785786270996
527,다사570431,0.00511653697249934,127.01417406907845,37.48659539790271
528,다사641427,0.00511578595918755,127.09450268745051,37.48329295835095
529,다사555452,0.00511389330382005,126.99708059581324,37.50545239296315
530,다사546410,0.00510760779900232,126.98715697001333,37.46755263578068
531,다사566431,0.00508641003470681,127.00964964793519,37.48657670625966
532,다사564421,0.00507996763227928,127.00744661062328,37.477553935300776
533,다사604427,0.00505747346785417,127.05265331069735,37.483141915990814
534,다사588470,0.00505740356679056,127.03431572339998,37.52182947746586
535,다사613455,0.0050352867018201,127.06268572022289,37.5084175682347
536,다사566464,0.00503160285105181,127.00945509175615,37.51632070648915
537,다사595464,0.00502267875588446,127.04227025150266,37.51645243623282
538,다사650418,0.00501192248338428,127.10472504413269,37.47521532211159
539,다사615462,0.00497927614396179,127.06491198305058,37.5147352962404
540,다사559451,0.0049415024879359,127.00161213915788,37.50457024237289
541,다사577473,0.0049393691351224105,127.02185043316916,37.5244837348249
542,다사575449,0.0049366279006214,127.01972571745183,37.502842562032995
543,다사609437,0.0049345484993050795,127.05825554103366,37.49217661031023
544,다사611445,0.004904960340033461,127.06047567816026,37.499395773993555
545,다사569457,0.00489906398075478,127.01289076111927,37.51002543251745
546,다사633441,0.00488902237827624,127.0853844058904,37.495880381035356
547,다사581408,0.00488074453282926,127.02674699370264,37.4659150989529
548,다사611426,0.00485003480462566,127.06057601491827,37.482270285704764
549,다사608452,0.00484919595146965,127.05704448726712,37.50569247261191
550,다사652419,0.00484492863857633,127.10698222063093,37.47612421633313
551,다사554433,0.00483034960526521,126.99606430057314,37.48832225909396
552,다사643415,0.00481839413969035,127.09682293847018,37.47248452843546
553,다사550428,0.00480624340184393,126.99157033067318,37.48379620708067
554,다사646431,0.00479988827233348,127.10013881697525,37.486917620369795
555,다사613450,0.00479454540089511,127.06271200861447,37.50391087120407
556,다사583432,0.00477939635272629,127.0288728058881,37.48755628729811
557,다사591414,0.00477860392591392,127.0380216888728,37.47136789814651
558,다사598458,0.00477373809987548,127.04569771786561,37.51105752619308
559,다사610449,0.00475620240746348,127.05932318327285,37.50299691842331
560,다사631430,0.00475361100633283,127.08317699205428,37.48595763312084
561,다사541427,0.00475343336553135,126.98139703428059,37.48285063025459
562,다사560457,0.00474639683797861,127.00270764031796,37.50998299953212
563,다사554452,0.00474513580633396,126.99594920862302,37.5054475705935
564,다사613441,0.00472722169674389,127.06275931296808,37.49579880782308
565,다사608431,0.00471190208890274,127.0571562719278,37.48676432741244
566,다사598419,0.0047118290714255285,127.04591059161777,37.475905294554956
567,다사545442,0.00469166912849948,126.98582854678398,37.49639038026914
568,다사588436,0.0046897806451106794,127.03450605020566,37.4911840589759
569,다사594437,0.00468423123073365,127.04128761252257,37.49211194539749
570,다사545446,0.00468079285063145,126.9858038258262,37.49999570249267
571,다사542425,0.00466691805108946,126.9825405101689,37.48105292432461
572,다사616441,0.00466605533089181,127.06615307105615,37.49581132002685
573,다사550436,0.00465696182841006,126.99152145872402,37.49100687118441
574,다사618436,0.00464684135830761,127.06844150977822,37.49131289724307
575,다사604447,0.00463971106815166,127.05254578305866,37.501168722370814
576,다사612435,0.00462236483696144,127.0616596680003,37.490386567751905
577,다사587471,0.004608221408554021,127.03317846689612,37.52272634334138
578,다사548422,0.00460628767722176,126.98934501731722,37.478378448724165
579,다사612444,0.0045849426846964105,127.06161225394094,37.49849863739049
580,다사596417,0.00457165712112162,127.04365965340857,37.47409389650869
581,다사609468,0.00455484036745005,127.05809086636094,37.520118115001104
582,다사543422,0.00455224972827848,126.98369013237902,37.47835387315307
583,다사563440,0.00455171282208374,127.00620293545454,37.49467458474996
584,다사592419,0.0045330847941501,127.03912489703974,37.47587902150765
585,다사578472,0.00453006588061266,127.02298785100653,37.5235869794092
586,다사600458,0.00452780903596609,127.04796067828173,37.511066208234446
587,다사604433,0.0045209363397573,127.05262106246275,37.48854996372264
588,다사584417,0.00451133341767449,127.03008860499622,37.47404070439955
589,다사565435,0.004503831312387,127.00849492160646,37.49017734707284
590,다사566433,0.00447750147876201,127.00963786479038,37.48837937723865
591,다사648416,0.00447429455741999,127.102472696539,37.47340503602621
592,다사573471,0.00446411124831077,127.01733533335157,37.522662659363995
593,다사559426,0.0044618110689239295,127.00176184986705,37.48203690448196
594,다사578459,0.00445608265367896,127.02306243276901,37.511869655035674
595,다사608384,0.00444941867523607,127.0574060781056,37.444401114466714
596,다사571469,0.0044478195849166,127.01508369964507,37.520850726221326
597,다사566454,0.00444769295901094,127.00951407837627,37.507307389032995
598,다사581475,0.00442493844202983,127.02636575388401,37.52630463861316
599,다사586413,0.00442197744331902,127.03237290606494,37.470444314728645
600,다사589440,0.00441420546273941,127.03561490660942,37.494793862868015
601,다사612458,0.00440296902630587,127.06153846094756,37.51111739008446
602,다사605419,0.0043951226074566896,127.05382724633469,37.475935453934866
603,다사612395,0.00437049709557087,127.0618701673539,37.454332789202404
604,다사608385,0.00436468516871348,127.05740076852312,37.445302462607685
605,다사599445,0.00435418026454042,127.04690002014611,37.49934448367247
606,다사617434,0.00434099700032076,127.06732072278541,37.489506074936564
607,다사569463,0.00433861683310319,127.01285561247718,37.51543342488707
608,다사607386,0.00433508370865802,127.05626495445728,37.44619957160591
609,다사590418,0.00432808064953303,127.03686856290207,37.47496883632406
610,다사588454,0.00432399212711671,127.03440532486131,37.507408124016386
611,다사598439,0.00431368312030595,127.04580147178363,37.493932106333595
612,다사557422,0.00431154015741572,126.9995238273653,37.47842200277448
613,다사662408,0.0043035782046183,127.11834226692534,37.46624643226584
614,다사601459,0.0042987772450496795,127.04908673650412,37.51197186992078
615,다사616452,0.0042899740029187,127.06609570079142,37.50572606709141
616,다사592463,0.00428395023669246,127.03888111602092,37.51553789682213
617,다사584416,0.00427636214115769,127.03009424806892,37.47313936408334
618,다사653419,0.004271188305942771,127.108113182799,37.47612797276334
619,다사586458,0.00426604812731865,127.0321199759791,37.511004523551854
620,다사578401,0.00425906811105121,127.02339465652604,37.459592076262915
621,다사594418,0.004253134951834271,127.04139230201778,37.47498648100962
622,다사648407,0.00425006131466532,127.10251565247445,37.46529288953822
623,다사591441,0.00424477455202633,127.03787181907725,37.49570407282476
624,다사570465,0.00423842353576622,127.01397546220713,37.51724074969667
625,다사664412,0.00423587857847269,127.12058567552144,37.469859122184694
626,다사612459,0.0042187610455513,127.06153318825842,37.512018728523735
627,다사596444,0.004218460537895021,127.04351159801308,37.498430079179066
628,다사601403,0.00420915881451084,127.04939001642558,37.461496788904654
629,다사602446,0.00419944443141922,127.05028852580294,37.500258791368694
630,다사616451,0.00419912173472148,127.06610091743167,37.504824727141646
631,다사591418,0.00418683152704803,127.03799949731092,37.47497326373139
632,다사556424,0.00418578970179885,126.99838079730127,37.48021987713641
633,다사592415,0.004180793435214321,127.03914703526938,37.47227365590496
634,다사582443,0.00418046808118265,127.02767925236877,37.497466479507246
635,다사592455,0.00416510642428764,127.03892547538642,37.508327212173796
636,다사587439,0.00414152712305935,127.03335804926355,37.49388361002185
637,다사613440,0.00413675718042932,127.06276456783684,37.49489746675491
638,다사548439,0.0041341958605445395,126.98924070937589,37.493701108111644
639,다사639413,0.0041306150460996794,127.09230910815396,37.47066631050699
640,다사609444,0.00412546811173544,127.05821837630302,37.49848599397289
641,다사578404,0.004122627122204061,127.02337749357767,37.462296100391804
642,다사571398,0.00411519335992505,127.01549720501264,37.456855867607054
643,다사595462,0.00411486571970736,127.04228126167186,37.514649765324776
644,다사595425,0.0041129961771144,127.04248477298472,37.481300253550124
645,다사628445,0.00410601791521657,127.07970791810423,37.499465764804256
646,다사598475,0.00409178752373688,127.04560481095284,37.52638022787694
647,다사613424,0.00408827197581942,127.06284861391437,37.48047599082966
648,다사613376,0.00408805301592584,127.06310039309271,37.437211350372486
649,다사582467,0.00408458790562433,127.0275429332291,37.51909851202863
650,다사578445,0.00407726041601503,127.02314270330685,37.499250971816025
