gid,acci_cnt,2030val,과속방지턱,무인카메라,신호등,버스아침승차,버스아침하차,버스저녁승차,버스저녁하차,관광여가오락,부동산,생활서비스,소매점,숙박,스포츠,음식점,학교,교육,출근시간자전거,퇴근시간자전거,지하철아침승차,지하철아침하차,지하철저녁승차,지하철저녁하차
다사584462,0.0,29.0,0.0,0.0,0.0,5790.833333333333,1828.0,1834.625,2775.9166666666665,1.0,2.0,1.0,4.0,0.0,0.0,12.0,0.0,1.0,66,399,0.0,0.0,0.0,0.0
다사592448,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,0.0,10.0,0.0,0.0,79,179,0.0,0.0,0.0,0.0
다사594438,0.0,60.0,0.0,0.0,3.0,1514.6833333333336,2225.9666666666667,2729.1000000000004,1214.1333333333332,0.0,0.0,2.0,3.0,0.0,0.0,9.0,0.0,1.0,40,103,0.0,0.0,0.0,0.0
다사596452,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,3.0,0.0,0.0,53,133,0.0,0.0,0.0,0.0
다사588434,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,5.0,0.0,1.0,39,81,0.0,0.0,0.0,0.0
다사577472,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,69,429,0.0,0.0,0.0,0.0
다사611462,0.0,35.0,0.0,0.0,10.0,1732.7916666666667,834.6488095238095,2289.434523809524,1047.5238095238094,2.0,3.0,15.0,11.0,0.0,0.0,7.0,0.0,3.0,67,183,0.0,0.0,0.0,0.0
다사585447,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,18,66,0.0,0.0,0.0,0.0
다사590438,0.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,3.0,0.0,1.0,51,110,0.0,0.0,0.0,0.0
다사601431,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134,404,0.0,0.0,0.0,0.0
다사585439,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,8.0,6.0,0.0,0.0,11.0,0.0,0.0,34,90,0.0,0.0,0.0,0.0
다사647433,0.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,101,0.0,0.0,0.0,0.0
다사588450,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,7.0,0.0,2.0,51,177,0.0,0.0,0.0,0.0
다사616438,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164,502,0.0,0.0,0.0,0.0
다사607458,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,53,251,0.0,0.0,0.0,0.0
