gid,acci_cnt,2030val,신호등,버스저녁하차,생활서비스,소매점,음식점,퇴근시간자전거
다사566432,0.5,0.0090361445783132,0.1,0.0,0.0,0.0145772594752186,0.0,0.0177462289263531
다사569441,0.5,0.0,0.2333333333333333,0.0,0.0196078431372549,0.0029154518950437,0.0079681274900398,0.0239574090505767
다사573440,0.5,0.0,0.1333333333333333,0.0,0.0,0.0058309037900874,0.0199203187250996,0.0314995563442768
다사574471,0.5,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.3123336291038154
다사575464,0.5,0.0,0.5333333333333333,0.1788019893291388,0.0,0.0,0.0159362549800796,0.4676131322094055
다사576472,0.5,0.0481927710843373,0.0666666666666666,0.1042488245644806,0.0196078431372549,0.0058309037900874,0.0039840637450199,0.1135758651286601
다사577436,0.5,0.1014056224899598,0.1333333333333333,0.0,0.0784313725490196,0.0087463556851311,0.0079681274900398,0.0514640638864241
다사578453,0.5,0.0,0.4,0.4317868164357133,0.0784313725490196,0.0087463556851311,0.047808764940239,0.0887311446317657
다사578453,0.5,0.0100401606425702,0.4,0.4317868164357133,0.0784313725490196,0.0087463556851311,0.047808764940239,0.0887311446317657
다사579427,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0288376220053238
다사580447,0.5,0.0,0.0666666666666666,0.0,0.0588235294117647,0.0087463556851311,0.1553784860557769,0.2031943212067435
다사581444,0.5,0.0,0.0333333333333333,0.0,0.1176470588235294,0.0204081632653061,0.0916334661354581,0.0337178349600709
다사581448,0.5,0.0,0.0666666666666666,0.0,0.0980392156862745,0.0291545189504373,0.1274900398406374,0.0266193433895297
다사583441,0.5,0.0,0.7333333333333333,0.2240978897796988,0.2156862745098039,0.0145772594752186,0.0159362549800796,0.220053238686779
다사583441,0.5,0.0190763052208835,0.7333333333333333,0.2240978897796988,0.2156862745098039,0.0145772594752186,0.0159362549800796,0.220053238686779
다사586434,0.5,0.0,0.3333333333333333,0.0,0.0,0.0029154518950437,0.0119521912350597,0.1517302573203194
다사587462,0.5,0.0090361445783132,0.1333333333333333,0.0,0.0392156862745098,0.0116618075801749,0.0756972111553784,0.05678793256433
다사587471,0.5,0.0,0.0666666666666666,0.101839016726735,0.0196078431372549,0.0087463556851311,0.0039840637450199,0.2187222715173025
다사589426,0.5,0.0,0.1666666666666666,0.0959189331402091,0.0,0.0,0.0,0.1441881100266193
다사589455,0.5,0.0602409638554216,0.0333333333333333,0.0,0.2156862745098039,0.0233236151603498,0.0597609561752988,0.1122448979591836
다사590447,0.5,0.0,0.3666666666666666,0.6312601393594699,0.0392156862745098,0.0087463556851311,0.0637450199203187,0.028393966282165
다사590448,0.5,0.0,0.1333333333333333,0.5248628677675372,0.196078431372549,0.0204081632653061,0.0318725099601593,0.0545696539485359
다사592441,0.5,0.0,0.5333333333333333,0.0,0.0784313725490196,0.0029154518950437,0.0398406374501992,0.0678793256433008
다사594467,0.5,0.0451807228915662,0.0333333333333333,0.0,0.1372549019607843,0.0204081632653061,0.0159362549800796,0.1140195208518189
다사595463,0.5,0.0321285140562249,0.1666666666666666,0.2297375285018359,0.1764705882352941,0.0145772594752186,0.1195219123505976,0.0949423247559893
다사596449,0.5,0.0,0.1333333333333333,0.0565637677305465,0.0,0.0204081632653061,0.0119521912350597,0.0301685891748003
다사601450,0.5,0.0160642570281124,0.1333333333333333,0.0,0.392156862745098,0.0174927113702623,0.0278884462151394,0.1162377994676131
다사603464,0.5,0.0090361445783132,0.2333333333333333,0.0,0.0392156862745098,0.0,0.0,0.0629991126885536
다사608454,0.5,0.0,0.1333333333333333,0.0335458830052675,0.1372549019607843,0.0204081632653061,0.0358565737051792,0.0625554569653948
다사608468,1.0,0.0,0.5,0.5179045280435434,0.0,0.0,0.0079681274900398,0.0763087843833185
다사612444,0.5,0.0,0.1333333333333333,0.0,0.0196078431372549,0.0116618075801749,0.0358565737051792,0.0505767524401064
다사613445,0.5,0.0,0.1333333333333333,0.2263738875089819,0.0784313725490196,0.0262390670553935,0.0597609561752988,0.1446317657497781
다사648432,0.5,0.0240963855421686,0.1666666666666666,0.2097989736510073,0.5686274509803921,0.1720116618075801,0.2669322709163346,0.1663708961845607
다사595438,0.0,0.0,0.1333333333333333,0.2795154546431824,0.0196078431372549,0.0029154518950437,0.0119521912350597,0.1011535048802129
다사628425,0.0,0.0210843373493975,0.1,0.0,0.0,0.0,0.0,0.0146406388642413
다사584464,0.0,0.0130522088353413,0.1,0.0,0.0196078431372549,0.0058309037900874,0.0438247011952191,0.0625554569653948
다사603445,0.0,0.0451807228915662,0.0333333333333333,0.1313333484211538,0.0196078431372549,0.0174927113702623,0.0159362549800796,0.0949423247559893
다사598450,0.0,0.0,0.1,0.0,0.1176470588235294,0.0466472303206997,0.0876494023904382,0.1015971606033717
다사596460,0.0,0.0502008032128514,0.1,0.0885862523551144,0.0784313725490196,0.0116618075801749,0.0199203187250996,0.0377107364685004
다사647409,0.0,0.1536144578313253,0.3333333333333333,0.0564265628624613,0.0196078431372549,0.0087463556851311,0.0119521912350597,0.0039929015084294
다사593437,0.0,0.0130522088353413,0.1,0.0,0.0784313725490196,0.0291545189504373,0.0677290836653386,0.0456965394853593
다사596459,0.0,0.0562248995983935,0.0333333333333333,0.0,0.0,0.0262390670553935,0.0278884462151394,0.1149068322981366
다사592437,0.0,0.0,0.1333333333333333,0.3720147332567625,0.0392156862745098,0.0174927113702623,0.047808764940239,0.0714285714285714
다사605432,0.0,1.0,0.1333333333333333,0.0,0.1372549019607843,0.0349854227405247,0.0836653386454183,0.0856255545696539
다사610449,0.0,0.0512048192771084,0.1333333333333333,0.0,0.0392156862745098,0.0087463556851311,0.0358565737051792,0.080301685891748
다사654413,0.0,0.0431726907630522,0.0666666666666666,0.0,0.0,0.0,0.0079681274900398,0.0039929015084294
다사602449,0.0,0.0532128514056224,0.2,0.1929317332699644,0.1372549019607843,0.032069970845481,0.1314741035856573,0.0448092280390417
다사611450,0.0,0.0702811244979919,0.0333333333333333,0.0,0.0196078431372549,0.0029154518950437,0.0079681274900398,0.0887311446317657
다사605474,0.0,0.038152610441767,0.1333333333333333,0.0,0.0,0.0029154518950437,0.0199203187250996,0.3327417923691215
다사611445,0.0,0.0070281124497991,0.2,0.0,0.0,0.0087463556851311,0.0239043824701195,0.0505767524401064
다사601422,0.0,0.0441767068273092,0.1333333333333333,0.3132193825686636,0.0196078431372549,0.0029154518950437,0.0199203187250996,0.0891748003549245
다사599466,0.0,0.0,0.2333333333333333,0.0,0.0392156862745098,0.0116618075801749,0.0199203187250996,0.0554569653948536
다사604424,0.0,0.0110441767068273,0.0333333333333333,0.101797525220235,0.0,0.0116618075801749,0.0,0.121561668145519
다사634428,0.0,0.1526104417670682,0.2,0.0,0.0,0.0,0.0,0.0297249334516415
다사584469,0.0,0.0,0.0666666666666666,0.0,0.0784313725490196,0.0145772594752186,0.0278884462151394,0.2062999112688553
다사618428,0.0,0.0843373493975903,0.1333333333333333,0.0484829457268222,0.0196078431372549,0.0029154518950437,0.0,0.0075421472937
다사598465,0.0,0.1024096385542168,0.0333333333333333,0.0,0.0,0.0,0.0,0.1064773735581189
다사610428,0.0,0.0,0.0333333333333333,0.0,0.0196078431372549,0.0029154518950437,0.0239043824701195,0.0820763087843833
다사609450,0.0,0.036144578313253,0.0333333333333333,0.1415784500659148,0.0,0.0,0.0079681274900398,0.0381543921916592
다사582480,0.0,0.0622489959839357,0.0333333333333333,0.0,0.0196078431372549,0.0029154518950437,0.0,0.0869565217391304
다사598441,0.0,0.0060240963855421,0.1333333333333333,0.1141695380675142,0.1372549019607843,0.0116618075801749,0.0358565737051792,0.0953859804791481
다사582452,0.0,0.0853413654618473,0.1333333333333333,0.0,0.0,0.0029154518950437,0.0039840637450199,0.0261756876663708
다사588435,0.0,0.0,0.1333333333333333,0.0,0.0196078431372549,0.0262390670553935,0.0199203187250996,0.0359361135758651
다사587456,0.0,0.072289156626506,0.1333333333333333,0.0,0.0588235294117647,0.0087463556851311,0.0119521912350597,0.0377107364685004
다사615446,0.0,0.145582329317269,0.1333333333333333,0.0,0.0588235294117647,0.0,0.0039840637450199,0.0527950310559006
다사605425,0.0,0.0130522088353413,0.4,0.0,0.0,0.0,0.0,0.0266193433895297
다사592464,0.0,0.0,0.1,0.0,0.1176470588235294,0.0174927113702623,0.0239043824701195,0.1503992901508429
다사596465,0.0,0.1385542168674698,0.1,0.1325831453417835,0.0,0.0,0.0,0.1024844720496894
다사630429,0.0,0.072289156626506,0.0333333333333333,0.0,0.0,0.0,0.0,0.0390417036379769
다사583461,0.0,0.1325301204819277,0.1,0.0,0.0196078431372549,0.0058309037900874,0.0278884462151394,0.1144631765749778
