,gid,geometry
33,다사599465,"MULTIPOLYGON (((127.0462279871733 37.5169183864786, 127.0462225292307 37.51781972215006, 127.0473541114939 37.51782406422457, 127.0473595558271 37.5169227284126, 127.0462279871733 37.5169183864786)))"
34,다사608451,"MULTIPOLYGON (((127.0564867852065 37.50433834215661, 127.0564814530742 37.50523968101962, 127.0576128470216 37.50524392360498, 127.057618165553 37.50434258460466, 127.0564867852065 37.50433834215661)))"
35,다사618440,"MULTIPOLYGON (((127.0678577413341 37.49446552747496, 127.0678525477568 37.49536686921873, 127.068983794468 37.49537100197373, 127.0689889744509 37.49446966009619, 127.0678577413341 37.49446552747496)))"
36,다사576468,"MULTIPOLYGON (((127.0201846628286 37.51951952669534, 127.020178891104 37.52042085862202, 127.0213105084527 37.52042545047588, 127.0213162665665 37.5195241184006, 127.0201846628286 37.51951952669534)))"
37,다사590467,"MULTIPOLYGON (((127.0360327192011 37.51868148990252, 127.0360271382781 37.51958282401629, 127.0371587455515 37.51958726394394, 127.0371643128641 37.51868592968648, 127.0360327192011 37.51868148990252)))"
38,다사596442,"MULTIPOLYGON (((127.0429596868154 37.49617454668949, 127.0429541936755 37.49707588512435, 127.0440854623475 37.49708025646552, 127.0440909418921 37.49617891788915, 127.0429596868154 37.49617454668949)))"
39,다사596475,"MULTIPOLYGON (((127.0427782839447 37.52591864187621, 127.0427727827243 37.52681997573811, 127.0439045003824 37.52682435175053, 127.0439099879874 37.52592301774703, 127.0427782839447 37.52591864187621)))"
40,다사596459,"MULTIPOLYGON (((127.0428662701523 37.51149728123785, 127.0428607728512 37.51239861731711, 127.0439922727367 37.51240299106423, 127.0439977564321 37.51150165484342, 127.0428662701523 37.51149728123785)))"
41,다사615445,"MULTIPOLYGON (((127.0644378692409 37.49895976993794, 127.0644326337148 37.4998611105858, 127.0655639477109 37.49986527651108, 127.0655691696397 37.49896393572837, 127.0644378692409 37.49895976993794)))"
42,다사592437,"MULTIPOLYGON (((127.0384624028612 37.49165026216318, 127.0384568565753 37.49255160072139, 127.0395880562946 37.49255601467839, 127.0395935889882 37.49165467597729, 127.0384624028612 37.49165026216318)))"
43,다사611446,"MULTIPOLYGON (((127.0599073800683 37.49984433854711, 127.0599020899172 37.50074567851357, 127.0610334165748 37.50074988791012, 127.061038693128 37.49984854780742, 127.0599073800683 37.49984433854711)))"
44,다사598443,"MULTIPOLYGON (((127.0452167312636 37.49708461697409, 127.0452112650709 37.49798595555306, 127.0463425478264 37.49799030536983, 127.0463480004232 37.49708896665006, 127.0452167312636 37.49708461697409)))"
45,다사646408,"MULTIPOLYGON (((127.0996862544863 37.46573402197849, 127.0996814484103 37.46663537176352, 127.1008122666238 37.46663919725357, 127.1008170591245 37.46573784734468, 127.0996862544863 37.46573402197849)))"
46,다사581454,"MULTIPOLYGON (((127.0259225087896 37.50692370492668, 127.025916808675 37.50782503953367, 127.0270482368025 37.50782957512413, 127.0270539233146 37.50692824037035, 127.0259225087896 37.50692370492668)))"
47,다사631424,"MULTIPOLYGON (((127.0826440288862 37.48009689256178, 127.0826390156106 37.4809982382322, 127.0837700478344 37.48100222810299, 127.0837750475253 37.4801008823034, 127.0826440288862 37.48009689256178)))"
48,다사582446,"MULTIPOLYGON (((127.0270994062941 37.49971755734998, 127.0270937218079 37.50061889321267, 127.0282250413862 37.50062341679497, 127.0282307122747 37.49972208078586, 127.0270994062941 37.49971755734998)))"
49,다사596451,"MULTIPOLYGON (((127.0429102397465 37.5042865876152, 127.042904744404 37.50518792480302, 127.0440361354613 37.50519229741781, 127.044041617203 37.50429096008845, 127.0429102397465 37.5042865876152)))"
50,다사615454,"MULTIPOLYGON (((127.0643907411092 37.50707183078266, 127.0643855034838 37.50797317018401, 127.0655169398835 37.50797733732303, 127.0655221639061 37.5070759977868, 127.0643907411092 37.50707183078266)))"
51,다사644431,"MULTIPOLYGON (((127.0973134271608 37.48645734310944, 127.0973085889806 37.48735868946299, 127.0984397191638 37.48736253946087, 127.0984445437549 37.48646119298269, 127.0973134271608 37.48645734310944)))"
52,다사587481,"MULTIPOLYGON (((127.032559212355 37.53128676441896, 127.0325535870939 37.53218809615883, 127.0336853842287 37.53219257063706, 127.033690995871 37.5312912387524, 127.032559212355 37.53128676441896)))"
53,다사605432,"MULTIPOLYGON (((127.0531946859012 37.48720009294945, 127.0531893175113 37.48810143403036, 127.054320452431 37.48810570649469, 127.0543258072315 37.48720436527548, 127.0531946859012 37.48720009294945)))"
54,다사610449,"MULTIPOLYGON (((127.0587601552883 37.5025441375271, 127.0587548508305 37.50344547694142, 127.0598862180499 37.50344969758189, 127.059891508908 37.50254835803097, 127.0587601552883 37.5025441375271)))"
55,다사602437,"MULTIPOLYGON (((127.049774275148 37.49169391293282, 127.0497688647853 37.49259525290406, 127.0509000669417 37.49259955855266, 127.050905463712 37.49169821844202, 127.049774275148 37.49169391293282)))"
56,다사603423,"MULTIPOLYGON (((127.050980993263 37.47907944234856, 127.0509755998568 37.47998078439845, 127.0521066120153 37.47998507727009, 127.0521119918375 37.47908373508123, 127.050980993263 37.47907944234856)))"
57,다사654413,"MULTIPOLYGON (((127.1087092080761 37.47027107437644, 127.1087045095566 37.47117242445088, 127.1098353973468 37.47117616397802, 127.1098400822879 37.4702748137825, 127.1087092080761 37.47027107437644)))"
58,다사586444,"MULTIPOLYGON (((127.0316358911688 37.49793291278395, 127.0316302615746 37.4988342495074, 127.0327615549649 37.49883872946406, 127.0327671709626 37.49793739259562, 127.0316358911688 37.49793291278395)))"
59,다사595473,"MULTIPOLYGON (((127.0416576090815 37.52411158730591, 127.0416520947371 37.52501292130306, 127.04278378492 37.52501730787572, 127.0427892856503 37.52411597373663, 127.0416576090815 37.52411158730591)))"
60,다사586475,"MULTIPOLYGON (((127.0314612570952 37.52587428675992, 127.0314556197221 37.52677561918644, 127.0325873349023 37.52678010364011, 127.0325929586601 37.52587877106847, 127.0314612570952 37.52587428675992)))"
61,다사602449,"MULTIPOLYGON (((127.0497093348878 37.50250998344458, 127.0497039216325 37.50341132175339, 127.0508352869447 37.50341562907474, 127.0508406866003 37.50251429062653, 127.0497093348878 37.50250998344458)))"
62,다사597440,"MULTIPOLYGON (((127.0441019002492 37.49437624032076, 127.0440964211927 37.49527757917424, 127.0452276629187 37.49528193940051, 127.0452331283811 37.4943806004059, 127.0441019002492 37.49437624032076)))"
63,다사633435,"MULTIPOLYGON (((127.0848512070052 37.49001965881808, 127.0848462184557 37.49092100322382, 127.0859774005976 37.49092497285492, 127.0859823755556 37.49002362832067, 127.0848512070052 37.49001965881808)))"
64,다사611467,"MULTIPOLYGON (((127.0597962373955 37.51877244875394, 127.0597909422936 37.51967378581143, 127.0609225546477 37.51967799806997, 127.0609278361389 37.51877666087618, 127.0597962373955 37.51877244875394)))"
65,다사598432,"MULTIPOLYGON (((127.0452768433175 37.4871698834615, 127.0452713798023 37.48807122356444, 127.0464025130355 37.48807557183262, 127.0464079629614 37.48717423158891, 127.0452768433175 37.4871698834615)))"
66,다사611450,"MULTIPOLYGON (((127.0598862180499 37.50344969758189, 127.0598809269561 37.50435103699431, 127.0610123080115 37.50435524693589, 127.0610175855049 37.50345390738722, 127.0598862180499 37.50344969758189)))"
67,다사621444,"MULTIPOLYGON (((127.0712308288225 37.49808326058886, 127.0712256751102 37.49898460217899, 127.0723569768954 37.49898870296877, 127.0723621170108 37.49808736124589, 127.0712308288225 37.49808326058886)))"
68,다사591430,"MULTIPOLYGON (((127.0373701291949 37.485336464734, 127.03736457105 37.48623780411894, 127.0384956753892 37.48624222790416, 127.0385012199461 37.48534088837604, 127.0373701291949 37.485336464734)))"
69,다사601474,"MULTIPOLYGON (((127.0484422394981 37.52503907808708, 127.0484368065966 37.52594041279207, 127.0495685118554 37.52594473444375, 127.0495739311422 37.5250433995989, 127.0484422394981 37.52503907808708)))"
70,다사607421,"MULTIPOLYGON (((127.0555156664238 37.47729386270257, 127.0555103278289 37.47819520558327, 127.0566413137748 37.4781994548758, 127.056646638787 37.47729811185755, 127.0555156664238 37.47729386270257)))"
71,다사613463,"MULTIPOLYGON (((127.0620805042934 37.51517551145296, 127.0620752373514 37.51607684933683, 127.0632067957363 37.51608103936999, 127.0632120490701 37.51517970135051, 127.0620805042934 37.51517551145296)))"
72,다사582447,"MULTIPOLYGON (((127.0270937218079 37.50061889321267, 127.0270880370686 37.50152022893674, 127.028219370245 37.50152475266546, 127.0282250413862 37.50062341679497, 127.0270937218079 37.50061889321267)))"
73,다사593432,"MULTIPOLYGON (((127.0396212487602 37.48714798039347, 127.0396157172986 37.48804931978734, 127.040746849309 37.4880537222009, 127.0407523671813 37.48715238266452, 127.0396212487602 37.48714798039347)))"
74,다사605474,"MULTIPOLYGON (((127.0529690075203 37.52505629907336, 127.0529636290779 37.52595763433564, 127.0540953352988 37.52596191261189, 127.0541007001263 37.52506057721114, 127.0529690075203 37.52505629907336)))"
75,다사599444,"MULTIPOLYGON (((127.0463425478264 37.49799030536983, 127.0463370949868 37.49889164395104, 127.0474683915818 37.49889598307531, 127.0474738308248 37.49799464435366, 127.0463425478264 37.49799030536983)))"
76,다사590445,"MULTIPOLYGON (((127.0361554366342 37.49885210433474, 127.0361498611775 37.49975344149753, 127.0372811691618 37.4997578782649, 127.0372867310215 37.4988565409585, 127.0361554366342 37.49885210433474)))"
77,다사609442,"MULTIPOLYGON (((127.0576660216761 37.49623052736847, 127.0576607052764 37.49713186761544, 127.0587919770741 37.49713609813239, 127.0587972798783 37.49623475774847, 127.0576660216761 37.49623052736847)))"
78,다사606428,"MULTIPOLYGON (((127.0543472240486 37.48359899901352, 127.054341870202 37.48450034078677, 127.0554729510063 37.48450460187014, 127.0554782912659 37.48360325995895, 127.0543472240486 37.48359899901352)))"
79,다사591442,"MULTIPOLYGON (((127.037303415114 37.49615252820782, 127.0372978539975 37.49705386592995, 127.0384291214401 37.49705829143396, 127.0384346689613 37.49615695356857, 127.037303415114 37.49615252820782)))"
80,다사594467,"MULTIPOLYGON (((127.0405590953387 37.51869918399258, 127.0405535688575 37.51960051867898, 127.0416851771193 37.51960491524134, 127.0416906899901 37.51870358041265, 127.0405590953387 37.51869918399258)))"
81,다사592449,"MULTIPOLYGON (((127.0383958311235 37.50246631571623, 127.0383902818724 37.50336765261159, 127.0395216447461 37.50337206828343, 127.0395271803977 37.50247073124513, 127.0383958311235 37.50246631571623)))"
82,다사606450,"MULTIPOLYGON (((127.0542293843219 37.50342848602827, 127.0542240252265 37.50432982475411, 127.0553554050974 37.50433408887309, 127.0553607505925 37.50343275000924, 127.0542293843219 37.50342848602827)))"
83,다사584455,"MULTIPOLYGON (((127.0293110938168 37.50783861379499, 127.0293054342575 37.5087399487027, 127.0304368767461 37.50874445192883, 127.0304425227024 37.50784311687538, 127.0293110938168 37.50783861379499)))"
84,다사590465,"MULTIPOLYGON (((127.0360438803013 37.51687882125917, 127.0360382998755 37.51778015565014, 127.0371698799287 37.51778459529043, 127.0371754467453 37.51688326075576, 127.0360438803013 37.51687882125917)))"
85,다사615463,"MULTIPOLYGON (((127.0643435940808 37.51518388040835, 127.0643383543552 37.51608521856308, 127.0654699132076 37.51608938691609, 127.0654751393248 37.51518804862646, 127.0643435940808 37.51518388040835)))"
86,다사579463,"MULTIPOLYGON (((127.0236081254425 37.5150266053507, 127.0236023958267 37.51592793841535, 127.0247339458947 37.5159324970068, 127.0247396619026 37.51503116379463, 127.0236081254425 37.5150266053507)))"
87,다사589439,"MULTIPOLYGON (((127.0350576715906 37.49343963185454, 127.0350520840303 37.49434096970485, 127.036183310193 37.49434541644209, 127.0361888841598 37.49344407844785, 127.0350576715906 37.49343963185454)))"
88,다사600476,"MULTIPOLYGON (((127.0472996548208 37.52683741472278, 127.0472942078192 37.52773874901042, 127.0484259400674 37.52774308178635, 127.048431373453 37.52684174735849, 127.0472996548208 37.52683741472278)))"
89,다사603422,"MULTIPOLYGON (((127.050986386429 37.47817810016018, 127.050980993263 37.47907944234856, 127.0521119918375 37.47908373508123, 127.0521173714202 37.47818239275387, 127.050986386429 37.47817810016018)))"
90,다사595453,"MULTIPOLYGON (((127.0417678444028 37.50608487825988, 127.0417623349688 37.50698621502869, 127.0428937529847 37.50699059876297, 127.0428992488168 37.50608926185228, 127.0417678444028 37.50608487825988)))"
91,다사599478,"MULTIPOLYGON (((127.0461570149528 37.52863573939845, 127.0461515538487 37.52953707326837, 127.0472833130881 37.52954141716996, 127.0472887605749 37.52864008315948, 127.0461570149528 37.52863573939845)))"
92,다사586455,"MULTIPOLYGON (((127.0315739518394 37.50784760911904, 127.0315683194863 37.5087489443179, 127.0326997624773 37.50875342586989, 127.0327053812273 37.507852090526, 127.0315739518394 37.50784760911904)))"
93,다사605456,"MULTIPOLYGON (((127.0530657785261 37.50883224065898, 127.0530604043944 37.50973357841522, 127.054191865641 37.50973785419993, 127.0541972261689 37.5088365163053, 127.0530657785261 37.50883224065898)))"
94,다사601421,"MULTIPOLYGON (((127.048729837259 37.47726814044908, 127.0487244171678 37.47816948249697, 127.049855401678 37.47817379674121, 127.0498608081865 37.47727245455363, 127.048729837259 37.47726814044908)))"
95,다사604448,"MULTIPOLYGON (((127.0519774243695 37.5016172482479, 127.0519720385534 37.50251858697373, 127.0531033907463 37.50252287248619, 127.0531087629633 37.50162153362165, 127.0519774243695 37.5016172482479)))"
96,다사611445,"MULTIPOLYGON (((127.0599126699839 37.49894299844213, 127.0599073800683 37.49984433854711, 127.061038693128 37.49984854780742, 127.0610439694462 37.49894720756618, 127.0599126699839 37.49894299844213)))"
97,다사601422,"MULTIPOLYGON (((127.0487244171678 37.47816948249697, 127.0487189968353 37.47907082440636, 127.0498499949287 37.47907513879027, 127.049855401678 37.47817379674121, 127.0487244171678 37.47816948249697)))"
98,다사602438,"MULTIPOLYGON (((127.0497688647853 37.49259525290406, 127.0497634541816 37.49349659273679, 127.050894669931 37.49350089852476, 127.0509000669417 37.49259955855266, 127.0497688647853 37.49259525290406)))"
99,다사620446,"MULTIPOLYGON (((127.0700892060154 37.49988183187433, 127.070084038246 37.50078317305442, 127.0712153669971 37.50078728494384, 127.0712205211684 37.49988594363065, 127.0700892060154 37.49988183187433)))"
100,다사591459,"MULTIPOLYGON (((127.0372088424383 37.5114752506373, 127.0372032771092 37.51237658600353, 127.0383347757643 37.51238101394328, 127.0383403274877 37.51147967843375, 127.0372088424383 37.5114752506373)))"
101,다사588444,"MULTIPOLYGON (((127.0338984510066 37.49794186157441, 127.0338928486053 37.49884319858752, 127.0350241424953 37.49884765687774, 127.0350297313001 37.49794631972033, 127.0338984510066 37.49794186157441)))"
102,다사585440,"MULTIPOLYGON (((127.0305271818746 37.49432307444116, 127.0305215396894 37.49522441157362, 127.0316527784468 37.49522890178208, 127.0316584070381 37.49432756450429, 127.0305271818746 37.49432307444116)))"
103,다사629427,"MULTIPOLYGON (((127.0803668702694 37.48279291641782, 127.0803618291506 37.48369426141355, 127.0814929016853 37.48369827332699, 127.0814979292174 37.48279692820139, 127.0803668702694 37.48279291641782)))"
104,다사633440,"MULTIPOLYGON (((127.0848262620358 37.49452637946251, 127.0848212723753 37.49542772317609, 127.0859525224838 37.49543169344974, 127.0859574985498 37.49453034960763, 127.0848262620358 37.49452637946251)))"
105,다사584448,"MULTIPOLYGON (((127.029350703674 37.50152926555994, 127.0293450458791 37.5024306014379, 127.030476393159 37.50243510364388, 127.0304820373551 37.50153376762018, 127.029350703674 37.50152926555994)))"
106,다사629434,"MULTIPOLYGON (((127.0803315777223 37.48910232848078, 127.0803265350315 37.49000367250746, 127.0814577026895 37.49000768533014, 127.0814627317894 37.48910634117356, 127.0803315777223 37.48910232848078)))"
107,다사608444,"MULTIPOLYGON (((127.0565241034829 37.498028966237, 127.0565187730129 37.49893030606965, 127.0576500717666 37.49893454769386, 127.0576553886399 37.49803320772391, 127.0565241034829 37.498028966237)))"
108,다사599466,"MULTIPOLYGON (((127.0462225292307 37.51781972215006, 127.046217071045 37.51872105768294, 127.0473486669181 37.51872539989797, 127.0473541114939 37.51782406422457, 127.0462225292307 37.51781972215006)))"
109,다사604424,"MULTIPOLYGON (((127.0521066120153 37.47998507727009, 127.0521012319534 37.48088641932046, 127.0532322579359 37.48089070150476, 127.0532376244133 37.47998935931578, 127.0521066120153 37.47998507727009)))"
110,다사579475,"MULTIPOLYGON (((127.0235393532055 37.52584259297596, 127.0235336205262 37.52674392437685, 127.0246653339358 37.52674848473895, 127.0246710529999 37.52584715319048, 127.0235393532055 37.52584259297596)))"
111,다사634428,"MULTIPOLYGON (((127.0860171940574 37.48371421270509, 127.0860122206503 37.4846155582083, 127.087143307886 37.48461951611199, 127.0871482677057 37.48371817048066, 127.0860171940574 37.48371421270509)))"
112,다사582478,"MULTIPOLYGON (((127.0269173770903 37.52856023620021, 127.0269116844958 37.52946156762683, 127.028043439517 37.52946609589637, 127.0280491184946 37.52856476432322, 127.0269173770903 37.52856023620021)))"
113,다사625440,"MULTIPOLYGON (((127.0757763779755 37.49449422835773, 127.0757712795591 37.49539557103056, 127.0769025278727 37.49539962796112, 127.0769076126946 37.49449828515696, 127.0757763779755 37.49449422835773)))"
114,다사594444,"MULTIPOLYGON (((127.0406861364895 37.49796844795656, 127.0406806156671 37.49886978583026, 127.0418119110417 37.49887417912099, 127.0418174182675 37.49797284110507, 127.0406861364895 37.49796844795656)))"
115,다사603450,"MULTIPOLYGON (((127.0508352869447 37.50341562907474, 127.0508298870485 37.50431696738443, 127.0519612662014 37.50432126400978, 127.0519666524974 37.50341992556102, 127.0508352869447 37.50341562907474)))"
116,다사587444,"MULTIPOLYGON (((127.0327671709626 37.49793739259562, 127.0327615549649 37.49883872946406, 127.0338928486053 37.49884319858752, 127.0338984510066 37.49794186157441, 127.0327671709626 37.49793739259562)))"
117,다사647425,"MULTIPOLYGON (((127.1007355575763 37.48106077697863, 127.1007307614455 37.48196212453531, 127.1018618107454 37.48196594130454, 127.1018665932906 37.4810645936243, 127.1007355575763 37.48106077697863)))"
118,다사605451,"MULTIPOLYGON (((127.0530926455943 37.50432554979967, 127.0530872726594 37.50522688824861, 127.0542186658925 37.50523116334141, 127.0542240252265 37.50432982475411, 127.0530926455943 37.50432554979967)))"
119,다사584469,"MULTIPOLYGON (((127.0292318370417 37.52045728988885, 127.029226173952 37.52135862285588, 127.0303578069472 37.52136312812286, 127.0303634564254 37.52046179501003, 127.0292318370417 37.52045728988885)))"
120,다사583454,"MULTIPOLYGON (((127.028185338093 37.50693276497768, 127.0281796651833 37.50783409987791, 127.0293110938168 37.50783861379499, 127.029316753124 37.50693727874865, 127.028185338093 37.50693276497768)))"
121,다사609470,"MULTIPOLYGON (((127.0575170729361 37.52146800192192, 127.0575117499017 37.52236933829008, 127.058643402619 37.52237357264261, 127.0586487120409 37.52147223613743, 127.0575170729361 37.52146800192192)))"
122,다사601444,"MULTIPOLYGON (((127.0486051140655 37.49799897250452, 127.0485996884191 37.49890031136627, 127.049730985498 37.49890462882392, 127.0497363975479 37.4980032898224, 127.0486051140655 37.49799897250452)))"
123,다사618438,"MULTIPOLYGON (((127.0678681277946 37.49266284357202, 127.06786293468 37.49356418559274, 127.0689941542031 37.49356831808019, 127.0689993337245 37.49266697592569, 127.0678681277946 37.49266284357202)))"
124,다사618428,"MULTIPOLYGON (((127.0679200462211 37.48364941574869, 127.067914855419 37.48455075915415, 127.0690459390377 37.48455489030403, 127.0690511162527 37.48365354676485, 127.0679200462211 37.48364941574869)))"
125,다사623437,"MULTIPOLYGON (((127.0735292846653 37.49178205420589, 127.0735241597449 37.49268339703042, 127.0746553668222 37.49268747522907, 127.07466047815 37.49178613227254, 127.0735292846653 37.49178205420589)))"
126,다사598465,"MULTIPOLYGON (((127.0450964187626 37.5169140337043, 127.0450909472107 37.51781536923487, 127.0462225292307 37.51781972215006, 127.0462279871733 37.5169183864786, 127.0450964187626 37.5169140337043)))"
127,다사603448,"MULTIPOLYGON (((127.0508460860155 37.50161295203975, 127.0508406866003 37.50251429062653, 127.0519720385534 37.50251858697373, 127.0519774243695 37.5016172482479, 127.0508460860155 37.50161295203975)))"
128,다사591432,"MULTIPOLYGON (((127.0373590126575 37.48713914336528, 127.0373534540175 37.48804048247308, 127.0384845855345 37.48804490654473, 127.0384901305853 37.48714356729373, 127.0373590126575 37.48713914336528)))"
129,다사649408,"MULTIPOLYGON (((127.1030786690408 37.46574546561506, 127.1030739036907 37.46664681577063, 127.1042047225428 37.46665060879763, 127.1042094743176 37.46574925851925, 127.1030786690408 37.46574546561506)))"
130,다사612447,"MULTIPOLYGON (((127.0610334165748 37.50074988791012, 127.0610281397865 37.50165122787433, 127.0621594802777 37.50165542657268, 127.0621647434674 37.50075408647257, 127.0610334165748 37.50074988791012)))"
