gid,acci_cnt,2030val,신호등,버스저녁하차,생활서비스,소매점,음식점,퇴근시간자전거
다사603415,0,67,1,163.5277778,2,3,0,20
다사589402,0,0,16,1401.333333,0,0,0,20
다사651406,0,0,2,73.41666667,0,0,0,20
다사663410,0,0,2,0,0,0,0,20
다사549417,0,0,1,0,0,0,0,20
다사606400,0,0,1,0,0,0,0,20
다사641415,0,66,5,0,0,0,0,21
다사606420,0,41,1,562.2916667,0,0,0,21
다사636425,0,25,5,1468.333333,0,0,0,21
다사649411,0,0,2,0,0,0,0,21
다사620426,0,0,2,0,0,0,0,21
다사602395,0,6,4,182.375,1,1,2,22
다사603394,0,0,7,599.625,0,1,0,22
다사578404,0,134,8,0,3,0,1,23
다사560426,0,123,1,0,0,3,1,23
다사564427,0,56,2,0,5,2,5,23
다사651414,0,28,1,0,1,2,0,23
다사652414,0,7,16,0,0,1,6,23
다사578405,0,0,4,1173.055556,0,0,0,23
다사555417,0,0,2,64.72916667,0,0,0,23
다사564428,0,0,2,0,0,0,0,23
다사634425,0,27,2,0,0,0,0,24
다사573426,0,0,6,470.6666667,0,0,0,24
다사559419,0,88,6,0,1,1,0,25
다사558419,0,6,1,0,0,0,0,25
다사608421,0,0,1,0,0,0,0,25
다사609422,0,0,1,0,0,0,0,25
다사609423,0,0,1,0,0,0,0,25
다사554427,0,33,6,0,9,13,30,26
다사555426,0,26,4,3069.125,12,12,23,26
다사554425,0,21,4,6925.729167,4,2,6,26
다사555425,0,0,6,0,2,8,8,26
다사624430,0,0,8,0,0,0,0,26
다사624431,0,0,2,0,0,0,0,26
다사551426,0,123,4,418.9166667,2,5,2,27
다사557422,0,78,5,224.5416667,3,1,4,27
다사654417,0,41,15,0,1,0,0,27
다사653416,0,17,7,0,4,0,8,27
다사653417,0,0,5,0,0,0,0,27
다사578427,0,0,3,0,0,0,0,27
다사579426,0,0,1,0,0,0,0,27
다사576431,0,25,4,1365.508333,0,2,6,28
다사546424,0,7,2,0,0,0,0,28
다사556423,0,0,2,0,2,0,0,28
다사562425,0,151,2,0,0,1,2,29
다사572399,0,0,1,804.2666667,0,0,0,29
다사571399,0,0,4,0,0,1,0,30
다사664412,0,0,5,0,1,0,0,31
다사575401,0,0,4,0,0,0,0,31
다사576400,0,0,2,0,0,0,0,31
다사545421,0,113,2,0,2,0,3,32
다사546421,0,36,4,1035.083333,6,11,6,32
다사575435,0,98,4,636.4166667,4,2,0,33
다사657416,0,26,5,0,0,0,0,33
다사628425,0,21,3,0,0,0,0,33
다사576435,0,18,4,2878.111111,3,8,9,33
다사641426,0,18,5,1150.666667,1,2,3,33
다사561432,0,16,3,0,1,1,0,33
다사641427,0,0,5,552.9166667,0,0,1,33
다사641428,0,0,7,0,1,0,9,33
다사561433,0,0,1,0,0,0,0,33
다사571398,0,162,4,34.16666667,4,2,13,34
다사577405,0,28,4,821.3333333,0,0,0,34
다사605419,0,14,3,1040.08,1,0,0,34
다사571397,0,0,1,195.6666667,0,0,0,34
다사608400,0,0,1,0,0,0,0,34
다사636428,0,171,4,183.7107438,1,0,0,35
다사545427,0,113,2,0,1,2,1,35
다사574400,0,105,2,0,0,0,0,35
다사596413,0,98,2,0,3,3,4,35
다사581414,0,88,5,0,0,0,1,35
다사570398,0,80,2,0,0,0,0,35
다사651413,0,28,5,423,1,3,0,35
다사590404,0,0,1,91.25,4,72,18,35
다사582414,0,0,1,0,0,0,0,35
다사620432,0,103,1,0,0,0,0,36
다사605401,0,0,3,0,0,0,0,36
다사635430,0,0,1,0,0,0,0,36
다사578432,0,29,2,0,0,0,4,37
