,gid,아침총승객수
1,다사540452,290.6483333333333
2,다사541419,1642.1818181818182
3,다사541421,4109.416666666667
4,다사541423,1936.2244897959183
5,다사542418,2066.666666666667
6,다사542420,6156.583333333333
7,다사542421,1079.9166666666665
8,다사542426,991.9611111111111
9,다사542430,1075.361111111111
10,다사542432,3281.4430555555555
11,다사542435,455.76666666666665
12,다사542439,589.9761904761905
13,다사543430,92.70833333333331
14,다사543436,285.66666666666663
15,다사544430,1387.8461538461538
16,다사544432,220.29166666666666
17,다사544443,988.4166666666666
18,다사544444,975.6166666666667
19,다사545420,1008.8055555555555
20,다사545429,39.583333333333336
21,다사545430,188.44444444444446
22,다사545439,1196.2499999999998
23,다사545441,616.9166666666666
24,다사545443,1129.833333333333
25,다사546419,705.59375
26,다사546421,842.9444444444443
27,다사546427,149.5
28,다사546428,5.833333333333333
29,다사546430,326.15384615384613
30,다사546434,135.5
31,다사546436,426.91666666666663
32,다사546437,1465.4444444444448
33,다사546443,728.75
34,다사546447,1321.3777777777777
35,다사547408,470.4537037037037
36,다사547422,658.6111111111112
37,다사547441,194.41666666666666
38,다사547442,2025.5
39,다사547444,226.38888888888889
40,다사548420,179.75
41,다사548421,109.66666666666666
42,다사548422,837.2361111111111
43,다사548431,1498.7799145299145
44,다사548437,1591.6944444444446
45,다사548441,360.58333333333337
46,다사548448,837.7277777777779
47,다사549418,2346.215277777778
48,다사549423,758.75
49,다사549429,178.55555555555554
50,다사549431,1094.3076923076924
51,다사549437,144.00000000000003
52,다사549438,1525.3749999999998
53,다사549439,897.1666666666666
54,다사549444,688.4583333333334
55,다사549448,283.95
56,다사550427,596.25
57,다사550428,615.2777777777778
58,다사550435,2173.472222222222
59,다사550436,387.4375
60,다사550437,1998.0
61,다사550438,1766.4166666666663
62,다사550444,1318.1944444444443
63,다사551417,3392.25
64,다사551418,327.83333333333337
65,다사551424,939.1250000000001
66,다사551425,1279.1666666666665
67,다사551426,456.0
68,다사551432,1318.5384615384614
69,다사551434,2255.083333333333
70,다사551444,1136.2777777777778
71,다사552424,3071.5416666666665
72,다사552431,6003.069444444444
73,다사552439,1388.5833333333333
74,다사552444,442.3888888888889
75,다사553417,93.16666666666667
76,다사553430,2879.958333333333
77,다사553433,857.6666666666666
78,다사553449,1203.3564814814813
79,다사553456,0.0
80,다사554425,6285.4375
81,다사554428,2944.375
82,다사554439,1978.3333333333335
83,다사554444,253.5
84,다사554445,1252.7446808510638
85,다사554446,620.25
86,다사554450,478.9555555555555
87,다사555417,261.0416666666667
88,다사555426,2420.2083333333335
89,다사555433,863.1666666666667
90,다사555440,817.0833333333333
91,다사555450,127.45833333333336
92,다사555459,485.58333333333337
93,다사556424,1048.8263888888887
94,다사556425,7143.354166666666
95,다사556434,1381.9166666666667
96,다사556441,2342.0833333333335
97,다사556442,2765.083333333333
98,다사556444,3347.583333333333
99,다사556445,2517.75
100,다사556446,290.0833333333333
101,다사556458,517.4166666666667
102,다사557422,300.5416666666667
103,다사557423,477.3333333333333
104,다사557451,83.91666666666666
105,다사557454,901.8055555555557
106,다사558418,1953.2083333333335
107,다사558420,518.4375
108,다사558421,972.3333333333334
109,다사558447,163.33333333333331
110,다사558451,309.41666666666663
111,다사558454,307.0833333333333
112,다사559418,1723.4166666666667
113,다사559426,3589.791666666667
114,다사559451,3184.1944444444443
115,다사560419,418.4583333333333
116,다사560452,2791.75
117,다사560455,261.75
118,다사561427,1778.0
119,다사561430,1329.8055555555554
120,다사561431,2613.75
121,다사561434,648.0
122,다사561445,696.5
