,gid,저녁총승객수
1,다사540452,507.37
2,다사541419,848.7685950413226
3,다사541421,1874.736111111111
4,다사541423,1591.408163265306
5,다사542418,2929.583333333333
6,다사542420,4518.583333333334
7,다사542421,1089.2916666666665
8,다사542426,733.35
9,다사542430,2115.1944444444443
10,다사542432,3083.8930555555557
11,다사542435,422.5111111111112
12,다사542439,448.7202380952381
13,다사543430,150.625
14,다사543436,155.91666666666669
15,다사544430,3379.4615384615386
16,다사544432,445.37499999999994
17,다사544443,1058.2083333333333
18,다사544444,504.5916666666667
19,다사545420,1560.6111111111113
20,다사545429,12.083333333333332
21,다사545430,191.88888888888889
22,다사545439,1938.4166666666667
23,다사545441,910.5
24,다사545443,900.25
25,다사546419,371.40625
26,다사546421,1035.0833333333335
27,다사546427,467.25
28,다사546428,13.166666666666666
29,다사546430,168.3846153846154
30,다사546434,277.375
31,다사546436,1155.0833333333333
32,다사546437,1667.75
33,다사546443,747.5
34,다사546447,924.9777777777778
35,다사547408,159.3425925925926
36,다사547422,838.8194444444445
37,다사547441,479.6666666666667
38,다사547442,2596.4166666666665
39,다사547444,354.69444444444446
40,다사548420,432.16666666666663
41,다사548421,879.8333333333333
42,다사548422,1843.875
43,다사548431,3100.846153846154
44,다사548437,1412.9166666666667
45,다사548441,295.91666666666663
46,다사548448,471.8277777777778
47,다사549418,1316.5763888888887
48,다사549423,485.79166666666663
49,다사549429,363.4444444444444
50,다사549431,456.69230769230774
51,다사549437,125.16666666666666
52,다사549438,941.3958333333333
53,다사549439,1101.9791666666665
54,다사549444,912.3958333333333
55,다사549448,897.1444444444444
56,다사550427,729.3333333333333
57,다사550428,1677.9166666666665
58,다사550435,1391.4722222222222
59,다사550436,496.8125
60,다사550437,678.3333333333333
61,다사550438,1097.4166666666667
62,다사550444,615.9166666666666
63,다사551417,3168.333333333333
64,다사551418,488.5833333333333
65,다사551424,2603.9166666666665
66,다사551425,1544.0
67,다사551426,418.9166666666667
68,다사551432,2393.3846153846152
69,다사551434,1490.25
70,다사551444,475.25
71,다사552424,2686.9444444444443
72,다사552431,5730.11111111111
73,다사552439,938.4166666666666
