,gid,저녁총승객수
1,다사540452,530.1466666666668
2,다사541419,1891.3801652892562
3,다사541421,3695.9305555555557
4,다사541423,1792.2857142857142
5,다사542418,125.58333333333334
6,다사542420,6633.083333333334
7,다사542421,993.1666666666665
8,다사542426,700.9333333333333
9,다사542430,50.638888888888886
10,다사542432,4490.808333333333
11,다사542435,329.54999999999995
12,다사542439,342.7619047619047
13,다사543430,806.0833333333334
14,다사543436,415.4583333333334
15,다사544430,2028.230769230769
16,다사544432,7.791666666666666
17,다사544443,1201.9583333333333
18,다사544444,1086.9916666666668
19,다사545420,1277.1944444444446
20,다사545429,18.166666666666664
21,다사545430,218.2777777777778
22,다사545439,1225.0833333333335
23,다사545441,954.2499999999999
24,다사545443,211.83333333333331
25,다사546419,320.46875
26,다사546421,811.9861111111111
27,다사546427,137.83333333333334
28,다사546428,21.75
29,다사546430,543.7692307692307
30,다사546434,168.0
31,다사546436,624.25
32,다사546437,1205.1388888888887
33,다사546443,333.49999999999994
34,다사546447,922.7611111111112
35,다사547408,462.7962962962963
36,다사547422,753.875
37,다사547441,386.91666666666663
38,다사547442,2141.1388888888887
39,다사547444,420.13888888888897
40,다사548420,53.75
41,다사548421,27.666666666666668
42,다사548422,709.5555555555555
43,다사548431,1255.9594017094018
44,다사548437,1504.4444444444443
45,다사548441,152.16666666666669
46,다사548448,521.2388888888889
47,다사549418,969.5
48,다사549423,586.4583333333333
49,다사549429,75.88888888888889
50,다사549431,396.07692307692304
51,다사549437,1667.2500000000002
52,다사549438,1441.1666666666665
53,다사549439,1053.0
54,다사549444,1049.2708333333333
55,다사549448,1127.2833333333333
56,다사550427,132.75
57,다사550428,425.16666666666663
58,다사550435,1200.4166666666667
59,다사550436,712.9791666666667
60,다사550437,56.583333333333336
61,다사550438,1543.25
62,다사550444,1709.1944444444443
63,다사551417,1914.8333333333335
64,다사551418,463.58333333333326
65,다사551424,596.1666666666666
66,다사551425,620.0
67,다사551426,161.16666666666669
68,다사551432,1882.0
69,다사551434,2071.333333333333
