,gid,아침총승객수
1,다사540452,95.91499999999999
2,다사541419,2123.280991735537
3,다사541421,933.5138888888889
4,다사541423,957.3061224489795
5,다사542418,200.0
6,다사542420,10481.75
7,다사542421,248.16666666666669
8,다사542426,891.061111111111
9,다사542430,148.69444444444446
10,다사542432,6247.125
11,다사542435,590.0555555555557
12,다사542439,616.5238095238094
13,다사543430,917.7083333333333
14,다사543436,1157.9166666666667
15,다사544430,2101.9999999999995
16,다사544432,29.5
17,다사544443,966.6666666666665
18,다사544444,988.125
19,다사545420,1693.6944444444446
20,다사545429,15.416666666666668
21,다사545430,342.05555555555554
22,다사545439,2501.1666666666665
23,다사545441,990.9166666666666
24,다사545443,216.25
25,다사546419,361.76041666666663
26,다사546421,1241.875
27,다사546427,320.9166666666667
28,다사546428,27.916666666666668
29,다사546430,1123.4615384615386
30,다사546434,293.0833333333333
31,다사546436,1148.25
32,다사546437,1452.861111111111
33,다사546443,302.25
34,다사546447,1137.1333333333332
35,다사547408,1510.2407407407409
36,다사547422,1572.7916666666665
37,다사547441,296.9166666666667
38,다사547442,2574.75
39,다사547444,775.4444444444445
40,다사548420,68.16666666666667
41,다사548421,75.08333333333334
42,다사548422,1160.8749999999998
43,다사548431,2001.9551282051282
44,다사548437,1163.7777777777778
45,다사548441,150.0
46,다사548448,590.7222222222222
47,다사549418,1792.9930555555557
48,다사549423,691.4999999999999
49,다사549429,160.88888888888889
50,다사549431,989.9230769230769
51,다사549437,1013.5833333333333
52,다사549438,1071.9166666666667
53,다사549439,828.6041666666667
54,다사549444,770.0625
55,다사549448,591.9666666666667
56,다사550427,216.75
57,다사550428,1053.1944444444443
58,다사550435,1140.6666666666665
59,다사550436,744.0624999999999
60,다사550437,36.41666666666667
61,다사550438,925.1666666666667
62,다사550444,1467.1388888888887
63,다사551417,2486.7500000000005
64,다사551418,553.5833333333333
65,다사551424,1463.375
66,다사551425,1110.9166666666667
67,다사551426,351.8333333333333
68,다사551432,655.4615384615385
69,다사551434,1971.8333333333335
70,다사551444,63.638888888888886
71,다사552424,3316.1111111111113
72,다사552431,13186.25
73,다사552439,431.25000000000006
74,다사552444,257.97222222222223
75,다사553417,68.94444444444446
76,다사553430,848.0000000000001
77,다사553433,2095.9166666666665
78,다사553449,1579.8287037037037
79,다사553456,0.0
80,다사554425,4921.3125
81,다사554428,2173.8333333333335
82,다사554439,1068.75
83,다사554444,578.4722222222222
84,다사554445,77.93617021276596
85,다사554446,1165.2499999999998
86,다사554450,405.3
87,다사555417,24.479166666666668
88,다사555426,5636.874999999999
89,다사555433,258.0
90,다사555440,569.0833333333334
91,다사555450,159.50000000000003
92,다사555459,77.45833333333334
93,다사556424,5524.333333333333
94,다사556425,8754.395833333334
95,다사556434,165.66666666666666
96,다사556441,470.49999999999994
97,다사556442,1239.6666666666665
98,다사556444,1212.4166666666665
99,다사556445,706.3333333333333
100,다사556446,570.8333333333333
101,다사556458,328.4166666666667
102,다사557422,407.625
103,다사557423,37.83333333333333
104,다사557451,20.916666666666664
105,다사557454,18.13888888888889
106,다사558418,386.875
107,다사558420,1752.8125
108,다사558421,303.19444444444446
109,다사558447,484.1666666666667
110,다사558451,367.9166666666667
111,다사558454,858.0833333333334
112,다사559418,134.16666666666666
113,다사559426,1414.6160714285716
114,다사559451,3014.6111111111113
115,다사560419,730.4166666666666
116,다사560452,1561.25
117,다사560455,246.91666666666669
118,다사561427,721.3333333333333
119,다사561430,743.8333333333333
120,다사561431,323.0833333333333
121,다사561434,105.33333333333333
122,다사561445,1056.5416666666665
123,다사561446,378.19444444444446
124,다사561447,536.3611111111111
125,다사561452,3673.5694444444443
126,다사562424,541.3333333333334
127,다사562426,1296.0
128,다사562427,865.8973214285713
129,다사562434,457.875
130,다사562444,208.79166666666669
131,다사562449,641.8333333333333
132,다사562453,1589.5763546798028
133,다사562459,1959.0833333333335
134,다사563421,1006.7055555555557
135,다사563422,1037.4166666666665
136,다사563424,1356.7083333333333
137,다사563436,166.83333333333331
138,다사563437,2146.0
139,다사563440,526.1388888888889
140,다사563441,26.958333333333336
141,다사563450,1129.9166666666667
142,다사564421,107.16666666666667
143,다사564436,3956.7222222222235
144,다사564438,2663.3999999999996
145,다사564453,2754.916666666667
146,다사564459,137.16666666666669
147,다사564461,1768.083333333333
148,다사565422,608.7916666666667
