,gid,TL_cnt
354,다사576439,1
355,다사576451,2
356,다사576458,3
357,다사576464,1
358,다사576465,1
359,다사576466,2
360,다사576467,1
361,다사576468,2
362,다사576469,1
363,다사577408,1
364,다사577430,1
365,다사577434,1
366,다사577435,1
367,다사577443,5
368,다사577448,4
369,다사577449,2
370,다사577450,1
371,다사577451,1
372,다사577452,2
373,다사577453,1
374,다사577454,1
375,다사577455,2
376,다사577456,3
377,다사577458,5
378,다사577459,2
379,다사577463,2
380,다사577464,9
381,다사577466,1
382,다사577467,1
383,다사577469,1
384,다사577471,1
385,다사577472,1
386,다사578428,1
387,다사578432,1
388,다사578443,4
389,다사578446,2
390,다사578448,2
391,다사578451,1
392,다사578452,1
393,다사578453,1
394,다사578454,6
395,다사578455,2
396,다사578458,2
397,다사578463,4
398,다사578466,1
399,다사579399,1
400,다사579406,1
401,다사579414,4
402,다사579436,2
403,다사579442,4
404,다사579443,3
405,다사579444,2
406,다사579446,2
407,다사579447,3
408,다사579448,3
409,다사579449,1
410,다사579450,4
411,다사579453,2
412,다사579457,1
413,다사579458,2
414,다사579461,1
415,다사579466,1
416,다사579468,1
417,다사579470,3
418,다사579472,1
419,다사579473,1
420,다사579474,1
421,다사579476,4
422,다사579478,1
423,다사580412,1
424,다사580414,5
425,다사580435,1
426,다사580437,2
427,다사580441,2
428,다사580442,1
429,다사580444,3
430,다사580445,4
431,다사580447,1
432,다사580448,4
433,다사580449,1
434,다사580450,1
435,다사580451,1
436,다사580452,2
437,다사580453,1
438,다사580454,1
439,다사580456,3
440,다사580457,3
441,다사580460,1
442,다사580461,1
443,다사580466,1
444,다사580471,3
445,다사580474,3
446,다사580475,1
447,다사581415,1
448,다사581432,1
449,다사581435,2
450,다사581441,4
451,다사581444,1
452,다사581446,1
453,다사581448,1
454,다사581449,1
455,다사581450,2
456,다사581452,1
457,다사581453,1
458,다사581454,5
459,다사581456,2
460,다사581465,1
461,다사581466,3
462,다사581469,1
463,다사581470,1
464,다사581471,3
465,다사582407,1
466,다사582415,1
467,다사582433,1
468,다사582439,5
469,다사582440,2
470,다사582441,1
471,다사582442,3
472,다사582443,1
473,다사582446,5
474,다사582448,1
475,다사582453,1
476,다사582454,1
477,다사582457,4
478,다사582460,1
479,다사582470,3
480,다사582472,2
481,다사582473,1
482,다사582474,1
483,다사582475,1
484,다사582481,2
485,다사583429,3
486,다사583430,1
487,다사583432,1
488,다사583436,3
489,다사583437,8
490,다사583438,3
491,다사583440,1
492,다사583443,2
493,다사583444,2
494,다사583445,1
495,다사583447,1
496,다사583449,1
497,다사583452,2
498,다사583453,1
499,다사583457,1
500,다사583458,1
501,다사583459,3
502,다사583460,1
503,다사583462,2
504,다사583467,1
505,다사583475,3
506,다사583482,1
507,다사583483,2
508,다사584429,1
509,다사584431,3
510,다사584435,3
511,다사584436,3
512,다사584437,2
513,다사584438,1
514,다사584441,8
515,다사584442,7
516,다사584443,28
517,다사584445,1
518,다사584452,1
519,다사584461,1
520,다사584462,2
521,다사584467,1
522,다사584469,1
523,다사584476,2
524,다사584478,1
525,다사584482,1
526,다사585429,2
527,다사585430,1
528,다사585431,3
529,다사585432,2
530,다사585434,1
531,다사585435,3
532,다사585437,8
533,다사585438,1
534,다사585439,6
535,다사585440,2
536,다사585441,1
537,다사585442,1
538,다사585443,5
539,다사585445,1
540,다사585451,1
541,다사585454,1
542,다사585456,2
543,다사585462,1
544,다사585463,1
545,다사585464,1
546,다사585466,1
547,다사585467,2
548,다사585469,1
549,다사585471,1
550,다사585472,2
551,다사585475,2
552,다사585476,1
553,다사585477,2
554,다사586429,1
555,다사586430,1
556,다사586434,1
557,다사586435,1
558,다사586436,5
559,다사586437,10
560,다사586440,1
561,다사586441,1
562,다사586442,3
563,다사586443,1
564,다사586444,8
565,다사586445,4
566,다사586446,11
567,다사586448,1
568,다사586449,1
569,다사586452,1
570,다사586454,2
571,다사586455,1
572,다사586456,1
573,다사586457,1
574,다사586458,3
575,다사586461,1
576,다사586464,2
577,다사586468,1
578,다사586470,3
579,다사586471,1
580,다사586477,1
581,다사587429,2
582,다사587431,1
583,다사587433,1
584,다사587439,2
585,다사587440,3
586,다사587441,2
587,다사587443,1
588,다사587444,7
589,다사587445,5
590,다사587447,1
591,다사587448,3
592,다사587452,1
593,다사587454,2
594,다사587456,1
595,다사587457,1
596,다사587460,1
597,다사587461,1
598,다사587462,2
599,다사587463,1
600,다사587464,1
601,다사587465,1
602,다사588405,2
603,다사588408,1
604,다사588428,2
605,다사588429,1
606,다사588430,2
607,다사588431,1
608,다사588435,3
609,다사588436,2
610,다사588437,2
611,다사588438,3
612,다사588439,1
613,다사588440,1
614,다사588442,1
615,다사588444,3
616,다사588445,2
617,다사588449,1
618,다사588450,1
619,다사588453,2
620,다사588455,2
621,다사588456,1
622,다사588457,1
623,다사588460,2
624,다사588467,1
625,다사588475,2
626,다사588477,1
627,다사588478,1
628,다사589403,4
629,다사589431,2
630,다사589436,2
631,다사589438,3
632,다사589439,3
633,다사589441,2
634,다사589444,2
635,다사589446,1
636,다사589448,5
637,다사589449,2
638,다사589450,1
639,다사589451,2
640,다사589452,1
641,다사589454,2
642,다사589456,3
643,다사589457,3
644,다사589459,1
645,다사589464,2
646,다사589478,4
647,다사589481,1
648,다사590420,3
649,다사590427,2
650,다사590429,1
651,다사590431,1
652,다사590432,1
653,다사590436,1
654,다사590439,1
655,다사590442,1
656,다사590444,1
657,다사590447,1
658,다사590448,3
659,다사590449,1
660,다사590452,1
661,다사590454,1
662,다사590455,1
663,다사590456,2
664,다사590457,1
665,다사590459,1
666,다사590462,1
667,다사590464,2
668,다사590465,2
669,다사590469,3
670,다사590471,1
671,다사590473,1
672,다사590474,1
673,다사591426,1
674,다사591427,1
675,다사591428,2
676,다사591429,2
677,다사591431,1
678,다사591436,1
679,다사591439,1
680,다사591440,1
681,다사591441,1
682,다사591445,3
683,다사591448,3
684,다사591454,1
685,다사591455,2
686,다사591456,2
687,다사591457,1
688,다사591458,2
689,다사591463,1
690,다사591464,2
691,다사591465,1
692,다사591466,2
693,다사591468,3
694,다사591470,1
695,다사591472,1
696,다사591473,1
697,다사591474,2
698,다사591476,3
699,다사591477,4
700,다사592413,1
701,다사592422,2
702,다사592424,1
703,다사592425,1
704,다사592426,2
705,다사592429,1
706,다사592431,2
707,다사592436,2
708,다사592437,1
709,다사592438,3
710,다사592440,1
711,다사592441,2
712,다사592442,2
713,다사592444,3
714,다사592447,3
715,다사592448,1
716,다사592449,1
717,다사592450,3
718,다사592451,3
719,다사592453,1
720,다사592456,1
721,다사592457,2
722,다사592460,3
723,다사592463,1
724,다사592464,1
725,다사592467,1
726,다사592468,1
727,다사592472,1
728,다사592473,1
729,다사592474,1
730,다사592475,1
731,다사592477,5
732,다사593412,1
733,다사593415,1
734,다사593417,1
735,다사593422,2
736,다사593426,2
737,다사593428,1
738,다사593432,3
739,다사593433,3
740,다사593434,1
741,다사593436,2
742,다사593437,4
743,다사593440,1
744,다사593441,1
745,다사593442,1
746,다사593446,6
747,다사593447,1
748,다사593452,2
749,다사593454,1
750,다사593456,1
751,다사593457,2
752,다사593460,3
753,다사593463,2
754,다사593464,2
755,다사593465,3
756,다사593466,1
757,다사593470,1
758,다사593475,1
759,다사593476,1
760,다사594411,1
761,다사594412,2
762,다사594414,1
763,다사594417,1
764,다사594423,2
765,다사594425,2
766,다사594427,1
767,다사594436,6
768,다사594441,1
769,다사594442,4
770,다사594443,1
771,다사594444,1
772,다사594445,1
773,다사594447,2
774,다사594452,1
775,다사594453,2
776,다사594456,3
777,다사594458,3
778,다사594460,1
779,다사594461,2
780,다사594462,1
781,다사594463,2
782,다사594464,5
783,다사594465,1
784,다사594470,1
785,다사594471,1
786,다사594476,1
787,다사595410,3
788,다사595411,1
789,다사595412,2
790,다사595413,1
791,다사595416,1
792,다사595417,4
793,다사595429,1
794,다사595437,1
795,다사595438,1
796,다사595439,1
797,다사595442,1
798,다사595446,1
799,다사595450,2
800,다사595451,3
801,다사595452,1
802,다사595453,1
803,다사595458,1
804,다사595459,1
805,다사595461,3
806,다사595463,2
807,다사595464,4
808,다사595467,2
809,다사595471,1
810,다사596410,2
811,다사596411,1
812,다사596412,1
813,다사596413,4
814,다사596414,2
815,다사596417,2
816,다사596419,1
817,다사596420,2
818,다사596426,1
819,다사596439,1
820,다사596442,1
821,다사596444,1
822,다사596445,4
823,다사596448,6
824,다사596451,1
825,다사596456,1
826,다사596458,2
827,다사596459,1
828,다사596460,1
829,다사596463,2
830,다사596466,1
831,다사596471,1
832,다사597411,2
833,다사597412,3
834,다사597415,1
835,다사597418,2
836,다사597419,1
837,다사597420,5
838,다사597422,1
839,다사597426,1
840,다사597430,1
841,다사597431,1
842,다사597432,1
843,다사597440,1
844,다사597442,1
845,다사597445,2
846,다사597446,1
847,다사597447,1
848,다사597448,2
849,다사597449,7
850,다사597450,25
851,다사597451,2
852,다사597457,2
853,다사597458,1
854,다사597460,1
855,다사597461,1
856,다사597466,1
857,다사597471,1
858,다사598414,1
859,다사598415,4
860,다사598416,1
861,다사598417,1
862,다사598418,1
863,다사598420,2
864,다사598422,2
865,다사598428,1
866,다사598429,2
867,다사598434,2
868,다사598441,3
869,다사598449,1
870,다사598450,7
871,다사598451,3
872,다사598452,3
873,다사598457,2
874,다사598462,1
875,다사598466,1
876,다사598474,1
