,gid,TL_cnt
354,다사564437,2
355,다사564438,2
356,다사564439,2
357,다사564451,41
358,다사564453,66
359,다사564454,5
360,다사564456,33
361,다사564457,5
362,다사564461,5
363,다사564466,1
364,다사565423,1
365,다사565424,1
366,다사565427,9
367,다사565428,1
368,다사565430,1
369,다사565431,6
370,다사565432,15
371,다사565433,8
372,다사565434,10
373,다사565435,5
374,다사565436,22
375,다사565437,3
376,다사565438,3
377,다사565446,3
378,다사565447,1
379,다사565454,1
380,다사565456,2
381,다사565459,6
382,다사565461,2
383,다사566421,13
384,다사566427,2
385,다사566428,5
386,다사566429,6
387,다사566430,1
388,다사566431,3
389,다사566433,7
390,다사566434,12
391,다사566435,12
392,다사566436,15
393,다사566437,18
394,다사566438,13
395,다사566439,7
396,다사566447,1
397,다사566448,1
398,다사566449,1
399,다사566450,11
400,다사566451,3
401,다사566454,3
402,다사566456,4
403,다사566457,5
404,다사566461,1
405,다사567425,10
406,다사567426,4
407,다사567427,2
408,다사567428,1
409,다사567429,2
410,다사567431,2
411,다사567432,1
412,다사567433,2
413,다사567434,2
414,다사567435,4
415,다사567436,11
416,다사567437,13
417,다사567438,8
418,다사567439,1
419,다사567440,1
420,다사567444,2
421,다사567445,2
422,다사567446,3
423,다사567447,9
424,다사567448,18
425,다사567449,12
426,다사567450,6
427,다사567459,6
428,다사567460,7
429,다사567464,2
430,다사568399,3
431,다사568400,2
432,다사568424,1
433,다사568425,2
434,다사568426,4
435,다사568427,5
436,다사568428,7
437,다사568429,9
438,다사568430,4
439,다사568431,3
440,다사568432,6
441,다사568433,4
442,다사568434,5
443,다사568435,2
444,다사568436,17
445,다사568437,21
446,다사568438,18
447,다사568439,26
448,다사568440,1
449,다사568445,8
450,다사568446,5
451,다사568447,8
452,다사568448,9
453,다사568449,10
454,다사568455,10
455,다사568458,10
456,다사568461,2
457,다사568462,12
458,다사568463,1
459,다사568465,1
460,다사568467,1
461,다사569397,3
462,다사569425,4
463,다사569426,9
464,다사569427,5
465,다사569428,15
466,다사569429,3
467,다사569430,7
468,다사569431,4
469,다사569432,6
470,다사569433,7
471,다사569434,6
472,다사569435,11
473,다사569436,15
474,다사569437,22
475,다사569438,29
476,다사569439,9
477,다사569440,4
478,다사569441,2
479,다사569442,2
480,다사569446,1
481,다사569449,1
482,다사569452,1
483,다사569456,1
484,다사569457,7
485,다사569460,2
486,다사569465,1
487,다사569466,4
488,다사569467,1
489,다사569469,1
490,다사570424,8
491,다사570425,4
492,다사570426,1
493,다사570427,1
494,다사570428,7
495,다사570429,4
496,다사570430,24
497,다사570431,13
498,다사570432,10
499,다사570433,12
500,다사570434,10
501,다사570435,14
502,다사570436,6
503,다사570437,11
504,다사570438,5
505,다사570439,2
506,다사570440,13
507,다사570441,18
508,다사570442,10
509,다사570443,24
510,다사570453,1
511,다사570462,1
512,다사570463,4
513,다사570464,5
514,다사570468,1
515,다사570469,1
516,다사571398,13
517,다사571426,5
518,다사571427,6
519,다사571428,12
520,다사571429,5
521,다사571430,6
522,다사571431,12
523,다사571432,3
524,다사571433,6
525,다사571436,3
526,다사571437,7
527,다사571438,15
528,다사571439,16
529,다사571440,10
530,다사571441,7
531,다사571442,3
532,다사571443,1
533,다사571450,2
534,다사571463,1
535,다사571466,5
536,다사571467,2
537,다사571469,1
538,다사571470,3
539,다사572398,3
540,다사572426,2
541,다사572427,1
542,다사572429,4
543,다사572430,3
544,다사572431,8
545,다사572433,8
546,다사572437,11
547,다사572438,17
548,다사572439,19
549,다사572440,2
550,다사572441,9
551,다사572446,1
552,다사572458,3
553,다사572459,2
554,다사572461,8
555,다사572462,9
556,다사572463,4
557,다사572473,3
558,다사573427,2
559,다사573428,7
560,다사573429,13
561,다사573430,18
562,다사573431,1
563,다사573432,3
564,다사573433,8
565,다사573437,3
566,다사573438,4
567,다사573439,11
568,다사573440,5
569,다사573441,4
570,다사573446,9
571,다사573457,1
572,다사573458,6
573,다사573459,2
574,다사573460,14
575,다사573461,6
576,다사573462,10
577,다사573463,10
578,다사573464,4
579,다사573465,5
580,다사573466,8
581,다사573477,1
582,다사574407,2
583,다사574427,5
584,다사574428,4
585,다사574429,2
586,다사574430,13
587,다사574434,1
588,다사574435,4
589,다사574436,1
590,다사574437,1
591,다사574439,13
592,다사574440,8
593,다사574441,4
594,다사574452,1
595,다사574453,1
596,다사574455,3
597,다사574456,5
598,다사574457,2
599,다사574458,8
600,다사574459,12
601,다사574460,16
602,다사574461,18
603,다사574462,16
604,다사574463,15
605,다사574464,41
606,다사574465,13
607,다사574466,9
608,다사574473,1
609,다사574480,2
610,다사575408,1
611,다사575427,5
612,다사575428,6
613,다사575430,6
614,다사575431,3
615,다사575432,1
616,다사575434,2
617,다사575436,2
618,다사575437,1
619,다사575439,3
620,다사575440,9
621,다사575441,36
622,다사575442,2
623,다사575450,6
624,다사575451,6
625,다사575452,3
626,다사575454,2
627,다사575456,11
628,다사575457,12
629,다사575458,17
630,다사575459,16
631,다사575460,5
632,다사575461,3
633,다사575462,4
634,다사575463,8
635,다사575464,4
636,다사575465,13
637,다사575466,8
638,다사575467,14
639,다사575468,9
640,다사575469,13
641,다사575470,4
642,다사575473,5
643,다사575478,3
644,다사576405,3
645,다사576407,10
646,다사576408,4
647,다사576427,2
648,다사576428,3
649,다사576430,8
650,다사576431,6
651,다사576432,1
652,다사576435,9
653,다사576436,1
654,다사576439,3
655,다사576440,2
656,다사576441,2
657,다사576442,6
