,gid,TL_cnt
354,다사564438,2
355,다사564439,1
356,다사564451,2
357,다사564453,8
358,다사564454,7
359,다사564456,2
360,다사564461,2
361,다사565424,1
362,다사565426,1
363,다사565427,5
364,다사565428,2
365,다사565429,1
366,다사565431,4
367,다사565432,11
368,다사565434,4
369,다사565435,4
370,다사565436,6
371,다사565437,9
372,다사565438,7
373,다사565439,1
374,다사565446,7
375,다사565454,5
376,다사565456,1
377,다사565459,7
378,다사565461,1
379,다사566421,1
380,다사566424,1
381,다사566426,1
382,다사566429,1
383,다사566430,2
384,다사566431,4
385,다사566433,4
386,다사566434,4
387,다사566435,1
388,다사566436,1
389,다사566437,16
390,다사566438,2
391,다사566439,7
392,다사566444,1
393,다사566445,2
394,다사566449,1
395,다사566450,3
396,다사566454,14
397,다사566457,1
398,다사567400,1
399,다사567425,4
400,다사567426,2
401,다사567427,1
402,다사567430,3
403,다사567431,2
404,다사567433,1
405,다사567435,1
406,다사567436,4
407,다사567437,1
408,다사567438,4
409,다사567439,5
410,다사567444,3
411,다사567445,2
412,다사567446,4
413,다사567447,4
414,다사567448,4
415,다사567449,7
416,다사567450,1
417,다사567459,6
418,다사567464,7
419,다사568399,1
420,다사568400,2
421,다사568425,1
422,다사568426,3
423,다사568427,3
424,다사568428,2
425,다사568429,1
426,다사568431,2
427,다사568432,1
428,다사568435,4
429,다사568436,1
430,다사568437,2
431,다사568438,9
432,다사568439,3
433,다사568440,3
434,다사568445,2
435,다사568446,8
436,다사568447,1
437,다사568448,6
438,다사568449,4
439,다사568455,1
440,다사568458,7
441,다사568462,12
442,다사569399,1
443,다사569425,1
444,다사569427,3
445,다사569428,7
446,다사569430,5
447,다사569431,5
448,다사569432,3
449,다사569434,1
450,다사569435,3
451,다사569436,1
452,다사569437,4
453,다사569438,7
454,다사569439,4
455,다사569440,6
456,다사569441,1
457,다사569442,3
458,다사569444,1
459,다사569446,1
460,다사569448,1
461,다사569457,1
462,다사569460,4
463,다사569466,4
464,다사569467,1
465,다사569468,2
466,다사570426,2
467,다사570427,2
468,다사570428,2
469,다사570429,2
470,다사570430,5
471,다사570431,10
472,다사570432,1
473,다사570433,5
474,다사570435,4
475,다사570436,1
476,다사570437,5
477,다사570438,3
478,다사570439,1
479,다사570440,5
480,다사570441,6
481,다사570442,5
482,다사570443,2
483,다사570453,1
484,다사570462,1
485,다사570463,8
486,다사570464,11
487,다사570468,2
488,다사571398,4
489,다사571427,2
490,다사571429,4
491,다사571430,5
492,다사571431,1
493,다사571432,3
494,다사571433,4
495,다사571436,2
496,다사571437,1
497,다사571438,10
498,다사571439,1
499,다사571440,7
500,다사571441,2
501,다사571442,1
502,다사571446,1
503,다사571447,1
504,다사571450,3
505,다사571463,1
506,다사571466,6
507,다사571467,3
508,다사571470,6
509,다사572398,4
510,다사572403,1
511,다사572426,1
512,다사572429,3
513,다사572430,1
514,다사572431,4
515,다사572433,1
516,다사572437,3
517,다사572438,2
518,다사572439,2
519,다사572440,2
520,다사572441,1
521,다사572457,2
522,다사572458,2
523,다사572459,1
524,다사572461,6
525,다사572462,2
526,다사572463,3
527,다사572464,1
528,다사573399,1
529,다사573428,4
530,다사573429,15
531,다사573430,2
532,다사573432,1
533,다사573433,2
534,다사573437,2
535,다사573438,3
536,다사573439,7
537,다사573441,1
538,다사573446,4
539,다사573454,1
540,다사573457,2
541,다사573458,7
542,다사573459,4
543,다사573460,6
544,다사573461,7
545,다사573462,3
546,다사573463,1
547,다사573464,3
548,다사573465,5
549,다사573466,5
550,다사574406,2
551,다사574407,2
552,다사574427,3
553,다사574428,3
554,다사574430,2
555,다사574431,1
556,다사574433,1
557,다사574436,1
558,다사574437,1
559,다사574438,4
560,다사574439,5
561,다사574440,6
562,다사574441,5
563,다사574443,7
564,다사574446,1
565,다사574451,3
566,다사574452,1
567,다사574455,3
