,gid,TL_cnt
354,다사561423,1
355,다사561426,9
356,다사561427,3
357,다사561428,1
358,다사561431,2
359,다사561432,1
360,다사561453,14
361,다사561455,4
362,다사561456,2
363,다사562420,1
364,다사562422,1
365,다사562423,2
366,다사562425,1
367,다사562426,6
368,다사562432,1
369,다사562435,4
370,다사562436,4
371,다사562450,334
372,다사562451,2
373,다사562453,177
374,다사562456,1
375,다사562459,4
376,다사563422,1
377,다사563423,3
378,다사563424,2
379,다사563426,2
380,다사563427,3
381,다사563429,1
382,다사563432,1
383,다사563433,2
384,다사563435,1
385,다사563449,11
386,다사563454,4
387,다사563457,47
388,다사564426,3
389,다사564427,2
390,다사564431,4
391,다사564432,1
392,다사564434,1
393,다사564449,1
394,다사564451,4
395,다사564453,315
396,다사564454,17
397,다사564456,40
398,다사564457,10
399,다사564459,1
400,다사564460,1
401,다사564461,1
402,다사565423,1
403,다사565425,1
404,다사565426,2
405,다사565427,6
406,다사565428,3
407,다사565429,1
408,다사565432,7
409,다사565433,4
410,다사565434,1
411,다사565435,4
412,다사565436,7
413,다사565437,2
414,다사565438,5
415,다사565446,4
416,다사565448,1
417,다사565454,5
418,다사565455,10
419,다사565456,4
420,다사565459,6
421,다사565461,5
422,다사565464,2
423,다사566421,6
424,다사566423,2
425,다사566426,3
426,다사566427,3
427,다사566428,6
428,다사566429,2
429,다사566430,3
430,다사566431,2
431,다사566432,5
432,다사566433,8
433,다사566434,5
434,다사566435,2
435,다사566436,2
436,다사566437,3
437,다사566438,4
438,다사566439,3
439,다사566444,5
440,다사566447,1
441,다사566450,4
442,다사566454,10
443,다사566456,2
444,다사567424,3
445,다사567425,3
446,다사567426,11
447,다사567427,9
448,다사567428,5
449,다사567429,5
450,다사567430,2
451,다사567431,1
452,다사567432,2
453,다사567433,3
454,다사567434,4
455,다사567435,1
456,다사567436,2
457,다사567438,1
458,다사567445,2
459,다사567446,5
460,다사567447,6
461,다사567448,2
462,다사567449,6
463,다사567450,1
464,다사567451,1
465,다사567459,3
466,다사567460,1
467,다사567464,3
468,다사568399,1
469,다사568425,4
470,다사568426,5
471,다사568427,4
472,다사568428,1
473,다사568429,4
474,다사568430,1
475,다사568431,2
476,다사568432,4
477,다사568433,1
478,다사568435,2
479,다사568437,1
480,다사568438,3
481,다사568439,4
482,다사568440,1
483,다사568445,4
484,다사568446,3
485,다사568447,5
486,다사568448,7
487,다사568449,2
488,다사568455,3
489,다사568456,1
490,다사568458,11
491,다사568462,12
492,다사568464,1
493,다사568467,1
494,다사569425,2
495,다사569426,3
496,다사569427,2
497,다사569428,5
498,다사569430,5
499,다사569431,2
500,다사569432,2
501,다사569433,2
502,다사569434,1
503,다사569435,1
504,다사569436,1
505,다사569437,2
506,다사569438,4
507,다사569439,2
508,다사569440,4
509,다사569441,1
510,다사569449,2
511,다사569457,5
512,다사569460,1
513,다사569462,1
514,다사569465,4
515,다사569466,3
516,다사569467,1
517,다사569468,1
518,다사570403,1
519,다사570424,1
520,다사570425,2
521,다사570426,3
522,다사570428,2
523,다사570429,3
524,다사570430,3
525,다사570431,7
526,다사570432,2
527,다사570433,4
528,다사570434,3
529,다사570435,2
530,다사570436,3
531,다사570437,8
532,다사570439,4
533,다사570440,8
534,다사570442,4
535,다사570443,7
536,다사570453,2
537,다사570457,1
538,다사570460,1
539,다사570462,1
540,다사570463,7
541,다사570464,8
542,다사570468,1
543,다사570469,2
544,다사571398,2
545,다사571399,1
