newsname
“헬멧 때문에 이용자 반토막 났다” 고사위기 공유킥보드
[이렇게] 전동킥보드 음주운전도 자동차와 동일하게 처벌
공유킥보드 난립... 배경엔 '프랜차이즈'?
전동 킥보드 공용헬멧 "사고 예방 vs 코로나 위험" 의견 갈려
"안전 관광하세요"…경주시 '공유 전동킥보드' 이용법 홍보
풀카본 전동킥보드, 스카츠맨
전동킥보드 법 강화 그 이후...
[IT돋보기] "왜 우리만?"…전동 킥보드 업계, 규제 홍수에 '울상'
대전 시민, 28일부터 전동킥보드 사고 시 보험 혜택
전동킥보드 화재 사고 주의
충주署 "전동킥보드 법규·안전수칙 준수해야"
경주시, 공유 전동킥보드 안전·보행자 불편 해소  간담회
공유 전동 킥보드 '헬멧' 뜨거운 감자...대구시 "헬멧 보관함 시스템 개발 중...
임정수 청주시의원, "공유 전동킥보드 문제 청주시 미온적 태도"
만취 상태 전동킥보드 타다 행인과 충돌…'윤창호법' 적용 입건
경주시, 공유 전동킥보드 이용자 안전과 보행자 불편 해소 위한 간담회 개최
부천시, 자전거‧킥보드 안전사고 예방 캠페인 실시
"지각해도 안탄다"…헬멧 규제 열흘째, 전동킥보드 '스톱'
이렇게 전동킥보드 타면 과태료!
"뭐가 이렇게 많아?" 킥보드 도로교통법 총정리
전동킥보드 헬멧 안쓰면 범칙금 2만원…현장에선?
전동킥보드 ‘무법지대’ 대학 캠퍼스 어쩌나?
킥보드·공공자전거 '헬멧 딜레마'
[친절한 경제] "내일부터 전동 킥보드 무면허 안 돼요"
공유킥보드 업계, 헬멧착용법·견인조례 비판…“현실성있는 규제와 육성안 동...
헬멧 안쓰고, 인도로 쌩쌩… 전동킥보드 탄 21명중 규정 준수 ‘0’
충남소방, 전통킥보드 화재·벌쏘임 사고 주의 당부
“2인 탑승 금지 몰랐다” 전동킥보드 단속 첫날, 홍대 앞 가보니
음주측정거부, 그 자체만으로도 처벌 대상… “차량은 물론 전동킥보드도 예외...
모레부터 전동 킥보드 면허·헬멧 '필수', 잘 될까?
"강화된 전동 킥보드 규제, '킥라니' 사라질까"
“헬멧 써도 인도 주행 안 돼요”…전동킥보드 단속 현장 가보니
킥보드 규제 첫날, 시민 대부분 안전모 없거나 인도주행
"헬멧 써야 하나요?"…전동킥보드 단속 첫날 벌어진 풍경
전동킥보드 무면허 운전하면 10만원
"킥보드 헬멧 의무화? 차라리 안 타"…따릉이 '데자뷔'
청주동부소방서, 전동킥보드 배터리 폭발 화재 주의
전동킥보드 만취 사고 윤창호법 적용 검토
경찰 "전동킥보드 음주·중앙선 침범 등 일주일간 170건 단속"
[그래픽뉴스]길 위의 무법자 '킥라니', 규제 강화됐다
[뉴스Insight] 무법 주행 전동킥보드, 규제하면 달라질까?
도로교통법 개정 첫날 전동 킥보드 타던 20대 승용차 충돌
전동킥보드 안정규정 강화…실효성은 의문
[단독] 헬멧 벗은 '만취 킥보드' 행인에 '쾅'
전동 킥보드의 편리함 뒤에 숨은 위험성
서울시, 전동킥보드 견인료 부과…"이르면 7월 시행"
"전동 킥보드 안전하게" 청주시의회, 제도적 근거 마련
시흥시, 킥보드 이용 안전 최우선…관련 조례 제정
[오늘 이 뉴스] 킥보드도 견인…'내멋대로 주차' 사라지나?
공유킥보드 빔모빌리티, 노원·고양·분당·광주 등 추가 진출
군산서, “ 전동킥보드 등 PM 개정법률 위반 계도·홍보 활동”
[앵커리포트] "無헬멧 2만 원, 인도주행 3만 원"...킥라니 오명 벗을까
‘안전 위협’ 전동킥보드 처벌 강화…면허 없이 타면 범칙금
전북대 전동킥보드 안전관리 만전
전동 킥보드 면허·헬멧 필수…실효성 논란도
전동킥보드 ‘무법지대’ 대학 캠퍼스 어쩌나?
전동 킥보드 이용 강화했지만 현장은 실감 '無'
전동킥보드법 확 바뀐다…"무면허·2인주행, 전부 범칙금"
[사람과 차가 안전한 경기, 속도보다는 안전이 우선] ③ 경기남부청, PM ...
"안전모 안 쓰면 2만 원"...전동 킥보드 단속 첫날
전동 킥보드 법 개정해도 위험 여전
전동킥보드, 이젠 무면허 운전 안된다…범칙금 10만원
오늘부터 전동킥보드 법 강화…실효성은 의문
R]"헬멧 안 쓰면 2만 원"..전동킥보드 사고 위험 여전
헬멧 안쓰고 전동킥보드 '쌩쌩'… 대학캠퍼스 누비는 무법자 킥라니
[팩트맨]면허 없이 못 탄다…전동 킥보드 Q&A
전동킥보드 배터리 폭발 건물에 혼자 있던 8개월 여아 구조
전동 킥보드, 면허 없으면 처벌
대구서 주행 중이던 전동킥보드 화재…원인 조사 중
[IT돋보기] 신사업 성장 역행 vs 안전 위한 조치…킥보드 규제 '갑론을박'
배달 · 킥보드 느는데…헬멧 80% 충격 흡수 미흡
전동킥보드 단속 첫 날 … 여전히 '헬멧없이' 쌩쌩
경찰, 13일부터 '전동킥보드' 등 개인형 이동장치 단속
오늘부터 '전동킥보드 규제 강화'…도로교통공단, 교육자료 개발·배포
13일부터 전동킥보드에 2명 이상 타면 범칙금 4만원
진주시, 전동킥보드 개인형 이동장치 안전 조례 제정
오늘부터 전동킥보드 면허·헬멧 필수···도로에서만 주행해야
(기자의 눈) 탁상행정 그만, 현실적 전동킥보드 정책 필요하다
전동킥보드 운행 규제한다고 사고 줄어들까
광주 북부경찰서, 전동킥보드 헬멧 착용 등 안전수칙 홍보
술 취해 킥보드 타다 사람 친 20대 남성 입건
여수시 '전동 킥보드 안전 이용문화 확산' 나서
13일부터 '공유킥보드 헬멧' 의무화…업계 "개인이 준비해야"
13일부터 헬멧 안쓰고 킥보드 타면 범칙금 무는데… 현장은 ‘준비부족'
[도로위 무법자] ① 시속 90㎞까지 쌩쌩…전동킥보드의 위험한 질주
[집중토론] 전동킥보드, 안전 주행 대책은
전동 킥보드 위험천만 질주, 13일부터는 범칙금
