,gid,COUNT
353,다사549402,1
354,다사549403,4
355,다사549404,3
356,다사549405,3
357,다사549406,3
358,다사549407,6
359,다사549408,3
360,다사549409,3
361,다사549410,4
362,다사549411,1
363,다사549412,1
364,다사549413,1
365,다사549414,2
366,다사549415,1
367,다사549416,1
368,다사549417,20
369,다사549418,19
370,다사549419,10
371,다사549420,16
372,다사549421,33
373,다사549422,17
374,다사549423,17
375,다사549424,42
376,다사549425,25
377,다사549426,13
378,다사549427,28
379,다사549428,54
380,다사549429,26
381,다사549430,26
382,다사549431,162
383,다사549432,56
384,다사549433,56
385,다사549434,162
386,다사549435,301
387,다사549436,139
388,다사549437,139
389,다사549438,348
390,다사549439,138
391,다사549440,138
392,다사549441,221
393,다사549442,375
394,다사549443,154
395,다사549444,154
396,다사549445,445
397,다사549446,154
398,다사549447,154
399,다사549448,473
400,다사549449,319
401,다사549450,155
402,다사549451,155
403,다사549452,846
404,다사549453,481
405,다사549454,481
406,다사549455,727
407,다사549456,246
408,다사549457,246
409,다사549458,246
410,다사549459,494
411,다사549460,248
412,다사549461,248
413,다사550402,1
414,다사550403,1
415,다사550404,3
416,다사550405,3
417,다사550406,3
418,다사550407,6
419,다사550408,3
420,다사550409,3
421,다사550410,3
422,다사550411,1
423,다사550412,1
424,다사550413,1
425,다사550414,2
426,다사550415,1
427,다사550416,10
428,다사550417,10
429,다사550418,19
430,다사550419,25
431,다사550420,16
432,다사550421,23
433,다사550422,23
434,다사550423,35
435,다사550424,29
436,다사550425,25
437,다사550426,40
438,다사550427,28
439,다사550428,41
440,다사550429,121
441,다사550430,106
442,다사550431,162
443,다사550432,136
444,다사550433,242
445,다사550434,162
446,다사550435,245
447,다사550436,316
448,다사550437,210
449,다사550438,348
450,다사550439,209
451,다사550440,292
452,다사550441,221
453,다사550442,237
454,다사550443,374
455,다사550444,291
456,다사550445,445
457,다사550446,291
458,다사550447,455
459,다사550448,318
460,다사550449,319
461,다사550450,529
462,다사550451,365
463,다사550452,846
464,다사550453,691
465,다사550454,1217
466,다사550455,1253
467,다사550456,772
468,다사550457,1046
469,다사550458,520
470,다사550459,768
471,다사550460,522
472,다사550461,746
473,다사551402,0
474,다사551403,0
475,다사551404,0
476,다사551405,0
477,다사551406,0
478,다사551407,0
479,다사551408,0
480,다사551409,0
481,다사551410,0
482,다사551411,0
483,다사551412,0
484,다사551413,0
485,다사551414,0
486,다사551415,0
487,다사551416,9
488,다사551417,9
489,다사551418,9
490,다사551419,15
491,다사551420,6
492,다사551421,6
493,다사551422,6
494,다사551423,18
495,다사551424,12
496,다사551425,12
497,다사551426,27
498,다사551427,15
499,다사551428,15
500,다사551429,95
501,다사551430,80
502,다사551431,80
503,다사551432,80
504,다사551433,186
505,다사551434,106
506,다사551435,106
507,다사551436,177
508,다사551437,71
509,다사551438,71
510,다사551439,71
511,다사551440,154
512,다사551441,83
513,다사551442,83
514,다사551443,220
515,다사551444,137
516,다사551445,137
517,다사551446,137
518,다사551447,301
519,다사551448,164
520,다사551449,164
521,다사551450,374
522,다사551451,210
523,다사551452,210
524,다사551453,210
525,다사551454,1217
526,다사551455,526
527,다사551456,526
528,다사551457,1046
529,다사551458,274
530,다사551459,274
531,다사551460,274
532,다사551461,746
533,다사551462,224
534,다사552403,0
535,다사552404,0
536,다사552405,0
537,다사552406,0
538,다사552407,0
539,다사552408,0
540,다사552409,0
541,다사552410,0
542,다사552411,0
543,다사552412,0
544,다사552413,0
545,다사552414,0
546,다사552415,10
547,다사552416,19
548,다사552417,9
549,다사552418,9
550,다사552419,20
551,다사552420,6
552,다사552421,6
553,다사552422,14
554,다사552423,26
555,다사552424,12
556,다사552425,12
557,다사552426,53
558,다사552427,15
559,다사552428,15
560,다사552429,137
561,다사552430,122
562,다사552431,80
563,다사552432,80
564,다사552433,232
565,다사552434,106
566,다사552435,106
567,다사552436,218
568,다사552437,71
569,다사552438,71
570,다사552439,71
571,다사552440,197
572,다사552441,83
573,다사552442,83
574,다사552443,295
575,다사552444,137
576,다사552445,137
577,다사552446,137
578,다사552447,457
579,다사552448,164
580,다사552449,164
581,다사552450,592
582,다사552451,210
583,다사552452,210
584,다사552453,210
585,다사552454,736
586,다사552455,526
587,다사552456,526
588,다사552457,800
589,다사552458,274
590,다사552459,274
591,다사552460,274
592,다사552461,498
593,다사552462,224
594,다사552463,224
595,다사553403,0
596,다사553404,0
597,다사553405,0
598,다사553406,0
599,다사553407,0
600,다사553408,0
601,다사553409,0
602,다사553410,0
603,다사553411,0
604,다사553412,0
605,다사553413,0
606,다사553414,10
607,다사553415,10
608,다사553416,19
609,다사553417,24
610,다사553418,14
611,다사553419,20
612,다사553420,11
613,다사553421,19
614,다사553422,14
615,다사553423,20
616,다사553424,46
617,다사553425,38
618,다사553426,53
619,다사553427,41
620,다사553428,83
621,다사553429,57
622,다사553430,122
623,다사553431,168
624,다사553432,126
625,다사553433,232
626,다사553434,152
627,다사553435,193
628,다사553436,218
629,다사553437,112
630,다사553438,155
631,다사553439,114
632,다사553440,197
633,다사553441,126
634,다사553442,201
635,다사553443,295
636,다사553444,212
637,다사553445,368
638,다사553446,293
639,다사553447,457
640,다사553448,538
641,다사553449,382
642,다사553450,592
643,다사553451,428
644,다사553452,661
645,다사553453,443
646,다사553454,969
647,다사553455,1319
648,다사553456,1086
649,다사553457,1360
650,다사553458,834
651,다사553459,1389
652,다사553460,829
653,다사553461,1053
654,다사553462,1240
655,다사553463,685
656,다사553464,1220
657,다사554403,0
658,다사554404,0
659,다사554405,0
660,다사554406,0
661,다사554407,0
662,다사554408,0
663,다사554409,0
664,다사554410,0
665,다사554411,0
666,다사554412,0
667,다사554413,0
668,다사554414,10
669,다사554415,10
670,다사554416,10
671,다사554417,15
672,다사554418,5
673,다사554419,5
674,다사554420,5
675,다사554421,13
676,다사554422,8
677,다사554423,8
678,다사554424,34
679,다사554425,26
680,다사554426,26
681,다사554427,26
682,다사554428,68
683,다사554429,42
684,다사554430,42
685,다사554431,88
686,다사554432,46
687,다사554433,46
688,다사554434,46
689,다사554435,87
690,다사554436,41
691,다사554437,41
692,다사554438,84
693,다사554439,43
694,다사554440,43
695,다사554441,43
696,다사554442,118
697,다사554443,75
698,다사554444,75
699,다사554445,231
700,다사554446,156
701,다사554447,156
702,다사554448,374
703,다사554449,218
704,다사554450,218
705,다사554451,218
706,다사554452,451
707,다사554453,233
708,다사554454,233
709,다사554455,1319
710,다사554456,560
711,다사554457,560
712,다사554458,560
713,다사554459,1389
714,다사554460,555
715,다사554461,555
716,다사554462,1240
717,다사554463,461
718,다사554464,461
719,다사554465,461
720,다사555404,0
721,다사555405,0
722,다사555406,0
723,다사555407,0
724,다사555409,0
725,다사555410,0
726,다사555411,0
727,다사555412,0
728,다사555413,1
729,다사555414,11
730,다사555415,10
731,다사555416,10
732,다사555417,23
733,다사555418,13
734,다사555419,5
735,다사555420,12
736,다사555421,20
737,다사555422,8
738,다사555423,8
739,다사555424,54
740,다사555425,26
741,다사555426,26
742,다사555427,48
743,다사555428,90
744,다사555429,42
745,다사555430,42
746,다사555431,113
747,다사555432,46
748,다사555433,46
749,다사555434,88
750,다사555435,129
751,다사555436,41
752,다사555437,41
753,다사555438,114
754,다사555439,43
755,다사555440,43
756,다사555441,80
757,다사555442,155
758,다사555443,75
759,다사555444,75
760,다사555445,324
761,다사555446,156
762,다사555447,156
763,다사555448,515
764,다사555449,218
